date,stock_id,s_prev,s_sell,s_buy,s_ret,s_balance,s_limit,sbl_prev,sbl_sell,sbl_return,sbl_adj,sbl_balance,sbl_limit,note
2024-12-12,00671R,3064000,70000,41000,0,3093000,102346000,11262000,0,0,0,11262000,2189339,
2024-12-12,00673R,220000,0,27000,0,193000,96925750,3184000,0,0,0,3184000,4810213,
2024-12-12,00674R,12000,0,0,0,12000,12775750,344000,0,0,0,344000,294559,
2024-12-12,00675L,1202000,140000,60000,0,1282000,39571500,9466000,44000,471000,0,9039000,1520188,
2024-12-12,00676R,167000,24000,0,0,191000,136752750,0,0,0,0,0,2393112,
2024-12-12,00678,0,0,0,0,0,1862000,199000,0,0,0,199000,131364,
2024-12-12,00680L,1283000,71000,155000,0,1199000,1118019000,257629000,0,368000,0,257261000,19600876,
2024-12-12,00681R,0,0,0,0,0,4148500,73000,0,0,0,73000,114131,
2024-12-12,00682U,0,0,0,0,0,1536000,10000,0,0,0,10000,13920,
2024-12-12,00683L,73000,0,0,0,73000,3733500,177000,0,0,0,177000,49695,
2024-12-12,00684R,0,0,0,0,0,1922000,0,0,0,0,0,18643,
2024-12-12,00685L,143000,15000,6000,0,152000,5784750,973000,0,0,0,973000,330086,
2024-12-12,00686R,8000,1000,1000,0,8000,19444000,20000,0,0,0,20000,633742,
2024-12-12,00688L,1359000,1103000,410000,0,2052000,504153750,107477000,10000,0,0,107487000,8747683,
2024-12-12,00689R,0,0,0,0,0,2847250,0,0,0,0,0,31297,
2024-12-12,00690,1000,0,0,0,1000,20582500,1097000,0,0,0,1097000,390868,
2024-12-12,00692,0,0,0,0,0,172945000,11015000,0,0,0,11015000,862843,
2024-12-12,00693U,3000,0,0,0,3000,8166500,411000,0,0,0,411000,64761,
2024-12-12,00700,0,0,0,0,0,15870750,933000,32000,0,0,965000,147122,
2024-12-12,00701,0,0,0,0,0,40597750,1706000,0,0,0,1706000,174420,
2024-12-12,00702,0,0,0,0,0,1547000,1000,0,0,0,1000,7021,X
2024-12-12,00703,0,0,0,0,0,3637500,31000,0,0,0,31000,67321,
2024-12-12,00706L,223000,0,0,0,223000,0,0,0,0,0,0,0,XV
2024-12-12,00707R,0,0,0,0,0,1588750,0,0,0,0,0,49,X
2024-12-12,00708L,241000,25000,53000,0,213000,10893250,897000,0,0,0,897000,571733,
2024-12-12,00709,0,0,0,0,0,2115000,66000,0,0,0,66000,11775,
2024-12-12,00710B,0,0,0,0,0,73440250,582000,0,0,0,582000,99595,X
2024-12-12,00711B,0,0,0,0,0,236815250,245000,0,0,0,245000,59887,X
2024-12-12,00712,0,0,0,0,0,914002750,41402000,377000,0,0,41779000,5704375,X
2024-12-12,00713,0,0,0,0,0,536128000,41882000,58000,1000,0,41939000,4221643,X
2024-12-12,00714,0,0,0,0,0,7391750,397000,0,0,0,397000,106213,
2024-12-12,00715L,8784000,3760000,232000,0,12312000,177596000,20009000,4000,0,0,20013000,14631978,
2024-12-12,00717,0,0,0,0,0,41401250,492000,0,0,0,492000,49046,
2024-12-12,00728,0,0,0,0,0,12230750,449000,0,0,0,449000,64488,X
2024-12-12,00730,0,0,0,0,0,22636000,1401000,0,0,0,1401000,143648,X
2024-12-12,00731,0,0,0,0,0,16150000,1015000,0,0,0,1015000,456177,
2024-12-12,00733,58000,0,0,0,58000,35241500,2444000,0,0,0,2444000,296664,
2024-12-12,00735,0,0,0,0,0,5697250,237000,0,0,0,237000,61840,
2024-12-12,00736,0,0,0,0,0,1306750,53000,0,0,0,53000,33652,
2024-12-12,00737,0,0,0,0,0,4634500,388000,0,0,0,388000,40058,
2024-12-12,00738U,16000,21000,12000,0,25000,14574750,896000,0,0,0,896000,299139,
2024-12-12,00739,0,0,0,0,0,8497000,132000,0,0,0,132000,35515,
2024-12-12,00752,15000,5000,0,0,20000,94304000,6835000,60000,0,0,6895000,1175763,
2024-12-12,00753L,5668000,357000,112000,0,5913000,303414250,45570000,0,0,0,45570000,14745795,
2024-12-12,00757,102000,3000,0,0,105000,99248500,8220000,0,0,0,8220000,1451067,
