減資恢復交易參考價
恢復買賣日期:102/09/01至115/09/21
恢復買賣日期,股票代號,名稱,最後交易日之收盤價格,減資恢復買賣開始日參考價格,漲停價格,跌停價格,開始交易基準價,除權參考價,減資原因
"1070907","4304","勝昱","5.13","7.31","8.04","6.58","7.31","0.00","彌補虧損"
"1070918","6486","互動","40.70","48.38","53.20","43.55","48.40","0.00","現金減資"
"1070925","4944","兆遠","13.30","17.12","18.80","15.45","17.10","0.00","彌補虧損"
"1070925","5213","亞昕","17.75","18.53","20.35","16.70","18.55","0.00","現金減資"
"1070925","6109","亞元","10.50","10.63","11.65","9.57","10.65","0.00","現金減資"
"1071001","6138","茂達","53.60","72.29","79.50","65.10","72.30","0.00","現金減資"
"1071001","6148","驊宏資","6.46","8.64","9.50","7.78","8.64","0.00","彌補虧損"
"1071001","6161","捷波","16.00","18.57","20.40","16.75","18.55","0.00","現金減資"
"1071003","5309","系統電","6.66","9.41","10.35","8.47","9.41","0.00","彌補虧損"
"1071011","3310","佳穎","41.95","49.94","54.90","44.95","49.95","0.00","現金減資"
"1071015","3498","陽程","31.10","40.14","44.15","36.15","40.15","0.00","現金減資"
"1071022","2061","風青","10.15","10.16","11.15","9.15","10.15","0.00","現金減資"
"1071105","5520","力泰","27.00","30.00","33.00","27.00","30.00","0.00","現金減資"
"1071112","3207","耀勝","10.50","12.35","13.55","11.15","12.35","0.00","彌補虧損"
"1071210","3452","益通","2.91","7.10","7.81","6.39","7.10","0.00","彌補虧損"
"1071217","5481","華韡","17.10","19.00","20.90","17.10","19.00","0.00","現金減資"
"1071224","3219","倚強","11.00","17.34","19.05","15.65","17.35","0.00","彌補虧損"
"1071224","3288","點晶","4.40","11.00","12.10","9.90","11.00","0.00","彌補虧損"
"1080102","3520","振維","5.53","10.54","11.55","9.49","10.55","0.00","彌補虧損"
"1080114","5317","凱美","43.60","50.89","55.90","45.85","50.90","0.00","現金減資"
"1080114","8906","花王","10.70","16.13","17.70","14.55","16.15","0.00","彌補虧損"
"1080218","6148","驊宏資","9.98","9.97","10.95","8.98","9.97","0.00","現金減資"
"1080311","6291","沛亨","5.26","15.47","17.00","13.95","15.45","0.00","彌補虧損"
"1080329","4109","穆拉德加捷","17.45","20.56","22.60","18.55","20.55","0.00","彌補虧損"
"1080930","6276","安鈦克","13.55","14.05","15.45","12.65","14.05","0.00","彌補虧損"
"1080930","5345","天揚","3.93","6.55","7.20","5.90","6.55","0.00","彌補虧損"
"1081007","3071","協禧","16.95","17.58","19.30","15.85","17.60","0.00","現金減資"
"1081007","3490","單井","21.25","22.50","24.75","20.25","22.50","0.00","現金減資"
"1081007","5468","凱鈺","3.95","13.91","15.30","12.55","13.90","0.00","彌補虧損"
"1081007","6169","昱泉","12.55","19.92","21.90","17.95","19.90","0.00","彌補虧損"
"1081007","6204","艾華","21.40","27.81","30.55","25.05","27.80","0.00","現金減資"
"1081007","8289","泰藝","12.30","12.56","13.80","11.35","12.55","0.00","現金減資"
"1081007","3372","典範","3.70","8.75","9.62","7.88","8.75","0.00","彌補虧損"
"1081007","6158","禾昌","24.75","39.50","43.45","35.55","39.50","0.00","現金減資"
"1081021","2719","燦星旅","3.87","7.64","8.40","6.88","7.64","0.00","彌補虧損"
"1081021","6194","育富","22.10","25.73","28.30","23.20","25.75","0.00","現金減資"
"1081021","8040","九暘","11.30","13.95","15.30","12.60","13.95","0.00","彌補虧損"
"1081104","5460","同協","12.00","12.35","13.55","11.15","12.35","0.00","現金減資"
"1081111","5529","志嘉","6.52","9.16","10.05","8.25","9.16","0.00","彌補虧損"
"1081125","6284","佳邦","35.00","36.32","39.95","32.70","36.30","0.00","現金減資"
"1081204","8067","志旭","7.06","10.09","11.05","9.09","10.10","0.00","彌補虧損"
"1081209","4702","中美實","3.40","10.58","11.60","9.53","10.60","0.00","彌補虧損"
"1081223","8933","愛地雅","4.38","6.26","6.88","5.64","6.26","0.00","彌補虧損"
"1081230","6276","安鈦克","19.05","20.13","22.10","18.15","20.15","0.00","現金減資"
"1090113","3073","凱柏實業","5.20","9.76","10.70","8.79","9.76","0.00","彌補虧損"
"1090113","3086","華義","7.06","32.18","35.35","29.00","32.20","0.00","彌補虧損"
"1090117","6222","上揚","10.70","15.09","16.55","13.60","15.10","0.00","彌補虧損"
"1090224","2740","天蔥","8.14","15.57","17.10","14.05","15.55","0.00","彌補虧損"
"1090224","6419","京晨科","6.93","14.64","16.10","13.20","14.65","0.00","彌補虧損"
"1090622","5227","立凱-KY","10.00","18.58","20.40","16.75","18.60","0.00","彌補虧損"
"1090706","3085","新零售","1.98","7.53","8.28","6.78","7.53","0.00","彌補虧損"
"1090824","3169","亞信","34.10","36.78","40.45","33.15","36.80","0.00","現金減資"
"1090828","5301","寶得利","9.98","14.75","16.20","13.30","14.75","0.00","彌補虧損"
"1090914","3438","類比科","30.20","38.86","42.70","35.00","38.85","0.00","現金減資"
"1090921","6144","得利影","6.12","11.69","12.85","10.55","11.70","0.00","彌補虧損"
"1090921","6259","百徽","2.34","16.80","18.45","15.15","16.80","0.00","彌補虧損"
"1090925","6109","亞元","10.50","10.63","11.65","9.57","10.65","0.00","現金減資"
"1090928","5351","鈺創","9.41","18.81","20.65","16.95","18.80","0.00","彌補虧損"
"1090928","6244","茂迪","24.50","37.29","41.00","33.60","37.30","0.00","彌補虧損"
"1090929","4944","兆遠","14.70","34.98","38.45","31.50","35.00","0.00","彌補虧損"
"1090930","3064","泰偉","12.20","38.37","42.20","34.55","38.35","0.00","彌補虧損"
"1090930","4946","辣椒","11.00","22.00","24.20","19.80","22.00","0.00","彌補虧損"
"1091005","3259","鑫創","20.55","25.69","28.25","23.15","25.70","0.00","彌補虧損"
"1091019","3632","研勤","8.50","12.08","13.25","10.90","12.10","0.00","彌補虧損"
"1091019","5493","三聯","41.60","43.62","47.95","39.30","43.60","0.00","現金減資"
"1091019","3339","泰谷","5.76","12.80","14.05","11.55","12.80","0.00","彌補虧損"
"1091019","4153","鈺緯","27.20","30.62","33.65","27.60","30.60","0.00","現金減資"
"1091102","4905","台聯電","46.65","50.78","55.80","45.75","50.80","0.00","現金減資"
"1091130","6198","凌泰","14.60","36.14","39.75","32.55","36.15","0.00","彌補虧損"
"1091231","2719","燦星旅","8.00","9.85","10.80","8.87","9.85","0.00","彌補虧損"
"1100111","8080","永利聯合","3.90","9.75","10.70","8.78","9.75","0.00","彌補虧損"
"1100118","2061","風青","14.45","15.56","17.10","14.05","15.55","0.00","現金減資"
"1100118","6134","萬旭","12.30","17.16","18.85","15.45","17.15","0.00","彌補虧損"
"1100201","8291","尚茂","3.80","7.60","8.36","6.84","7.60","0.00","彌補虧損"
"1100324","3230","錦明","8.17","14.92","16.40","13.45","14.90","0.00","彌補虧損"
"1100329","3526","凡甲","127.00","165.93","182.50","149.50","166.00","0.00","現金減資"
"1100419","5205","中茂","9.97","24.93","27.40","22.45","24.95","0.00","彌補虧損"
"1100419","5475","德宏","5.50","7.86","8.64","7.08","7.86","0.00","彌補虧損"
"1100628","5227","立凱-KY","10.70","18.59","20.40","16.75","18.60","0.00","彌補虧損"
"1100705","3162","精確","27.00","44.64","49.10","40.20","44.65","0.00","彌補虧損"
"1101006","3555","重鵬","30.10","41.53","45.65","37.40","41.55","0.00","彌補虧損"
"1101101","5460","同協","12.10","12.19","13.40","11.00","12.20","0.00","現金減資"
"1101101","6404","通訊-KY","7.40","19.25","21.15","17.35","19.25","0.00","彌補虧損"
"1101129","3523","迎輝","7.34","12.23","13.45","11.05","12.25","0.00","彌補虧損"
"1101206","4905","台聯電","51.30","54.89","60.30","49.45","54.90","0.00","現金減資"
"1101206","6465","威潤","23.50","30.76","33.80","27.70","30.75","0.00","彌補虧損"
"1101207","3067","全域","28.70","41.65","45.80","37.50","41.65","0.00","彌補虧損"
"1101213","5227","立凱-KY","43.50","66.77","73.40","60.10","66.80","0.00","彌補虧損"
"1101220","5465","富驊","15.90","16.56","18.20","14.95","16.55","0.00","現金減資"
"1101227","8085","福華","15.15","17.02","18.70","15.35","17.00","0.00","彌補虧損"
"1101230","5310","天剛","15.95","35.05","38.55","31.55","35.05","0.00","彌補虧損"
"1110110","2724","富驛-KY","8.90","17.80","19.55","16.05","17.80","0.00","彌補虧損"
"1110110","4131","晶宇","6.50","16.52","18.15","14.90","16.50","0.00","彌補虧損"
"1110214","8080","永利聯合","9.03","18.06","19.85","16.30","18.05","0.00","彌補虧損"
"1110801","2719","燦星旅","14.00","25.45","27.95","22.95","25.45","0.00","彌補虧損"
"1110808","6109","亞元","13.40","14.63","16.05","13.20","14.65","0.00","彌補虧損"
"1110815","4198","欣大健康","4.78","23.90","26.25","21.55","23.90","0.00","彌補虧損"
"1110826","3522","御頂","9.33","15.60","17.15","14.05","15.60","0.00","彌補虧損"
"1110831","4944","兆遠","10.20","20.42","22.45","18.40","20.40","0.00","彌補虧損"
"1110905","8093","保銳","8.03","11.47","12.60","10.35","11.45","0.00","彌補虧損"
"1110926","3288","點晶","15.00","22.66","24.90","20.40","22.65","0.00","彌補虧損"
"1110926","6291","沛亨","64.20","96.30","105.50","86.70","96.30","0.00","彌補虧損"
"1110930","4729","熒茂","11.50","15.12","16.60","13.65","15.10","0.00","彌補虧損"
"1111003","6287","元隆","8.06","32.24","35.45","29.05","32.25","0.00","彌補虧損"
"1111011","1799","易威","10.50","15.00","16.50","13.50","15.00","0.00","彌補虧損"
"1111024","6194","育富","21.50","24.38","26.80","21.95","24.40","0.00","現金減資"
"1111031","3095","及成","2.77","30.27","33.25","27.25","30.25","0.00","彌補虧損"
"1111031","8390","金益鼎","28.20","32.75","36.00","29.50","32.75","0.00","現金減資"
"1111121","6207","雷科","25.25","26.05","28.65","23.45","26.05","0.00","現金減資"
"1111202","5314","世紀","4.78","19.51","21.45","17.60","19.50","0.00","彌補虧損"
"1111230","4903","聯光通","10.00","14.52","15.95","13.10","14.50","0.00","彌補虧損"
"1120213","3085","新零售","11.00","22.00","24.20","19.80","22.00","0.00","彌補虧損"
"1120213","8077","洛碁","6.74","33.70","37.05","30.35","33.70","0.00","彌補虧損"
"1120301","4419","元勝","9.00","11.25","12.35","10.15","11.25","0.00","彌補虧損"
"1120301","8067","志旭","8.88","15.40","16.90","13.90","15.40","0.00","彌補虧損"
"1120308","6103","合邦","5.67","37.27","40.95","33.55","37.25","0.00","彌補虧損"
"1120426","5701","劍湖山","3.62","8.95","9.84","8.06","8.95","0.00","彌補虧損"
"1120710","4192","杏國","17.80","66.63","73.20","60.00","66.60","0.00","彌補虧損"
"1120711","6219","富旺","13.45","22.03","24.20","19.85","22.05","0.00","彌補虧損"
"1120828","3259","鑫創","21.05","31.59","34.70","28.45","31.60","0.00","彌補虧損"
"1120925","5345","天揚","4.40","13.75","15.10","12.40","13.75","0.00","彌補虧損"
"1120925","5529","鉅陞","11.25","20.27","22.25","18.25","20.25","0.00","彌補虧損"
"1121011","6228","全譜","11.40","22.67","24.90","20.45","22.65","0.00","彌補虧損"
"1121106","2726","雅茗-KY","22.00","31.49","34.60","28.35","31.50","0.00","彌補虧損"
"1121120","4946","辣椒","28.75","57.50","63.20","51.80","57.50","0.00","彌補虧損"
"1121218","6276","安鈦克","85.00","117.14","128.50","105.50","117.00","0.00","現金減資"
"1130205","3064","泰偉","10.65","35.50","39.05","31.95","35.50","0.00","彌補虧損"
"1130221","3191","和進","10.45","20.90","22.95","18.85","20.90","0.00","彌補虧損"
"1130902","4154","樂威科-KY","14.50","21.00","23.10","18.90","21.00","0.00","彌補虧損"
"1130916","5227","立凱-KY","28.00","34.18","37.55","30.80","34.20","0.00","彌補虧損"
"1130930","4946","辣椒","33.80","46.49","51.10","41.85","46.50","0.00","彌補虧損"
"1130930","5348","正能量智能","13.50","26.45","29.05","23.85","26.45","0.00","彌補虧損"
"1130930","6208","日揚","54.20","65.25","71.70","58.80","65.30","0.00","現金減資"
"1130930","8034","榮群","18.90","19.89","21.85","17.95","19.90","0.00","現金減資"
"1131007","3171","新洲","26.50","43.00","47.30","38.70","43.00","0.00","現金減資"
"1131021","6161","捷波","45.55","57.40","63.10","51.70","57.40","0.00","現金減資"
"1140113","2740","天蔥","21.55","39.18","43.05","35.30","39.20","0.00","彌補虧損"
"1140120","3115","富榮綱","9.50","12.89","14.15","11.65","12.90","0.00","彌補虧損"
"1140811","8291","尚茂","6.82","25.26","27.75","22.75","25.25","0.00","彌補虧損"
"1140825","3290","東浦","28.65","36.64","40.30","33.00","36.65","0.00","現金減資"
"1141003","4806","桂田文創","7.54","15.08","16.55","13.60","15.10","0.00","彌補虧損"
"1141020","6167","久正","11.95","12.17","13.35","11.00","12.15","0.00","現金減資"
"1141111","4950","金耘國際","10.30","26.18","28.75","23.60","26.20","0.00","彌補虧損"
"1141112","5301","寶得利","6.41","13.89","15.25","12.55","13.90","0.00","彌補虧損"
"1141124","6465","威潤","15.65","17.25","18.95","15.55","17.25","0.00","彌補虧損"
"1141229","4530","宏易","12.30","31.32","34.45","28.20","31.30","0.00","彌補虧損"
"1150112","8093","保銳","13.00","21.67","23.80","19.55","21.65","0.00","彌補虧損"
"1150203","4174","浩鼎","27.60","55.20","60.70","49.70","55.20","0.00","彌補虧損"
"1150413","5381","合正","22.50","26.47","29.10","23.85","26.45","0.00","彌補虧損"
"1150630","3152","璟德","208.00","360.24","396.00","324.50","360.00","0.00","現金減資"
"1150825","6241","鑫永洋","13.85","18.98","20.85","17.10","19.00","0.00","彌補虧損"
"1150909","6461","益得","16.65","26.92","29.60","24.25","26.90","0.00","彌補虧損"
"1150914","6129","普誠","13.10","14.76","16.20","13.30","14.75","0.00","彌補虧損"
"1150921","3710","連展投控","5.13","8.32","9.15","7.49","8.32","0.00","彌補虧損"
"1150921","8059","凱碩","13.40","22.33","24.55","20.10","22.35","0.00","彌補虧損"
"1150921","8277","商丞","8.05","18.67","20.50","16.85","18.65","0.00","彌補虧損"
"共284筆"
