# commit=bd3d8e5cb run=2026-09-15 22:10 (Asia/Taipei) prereg=backtest/P4_v3_回溯分析.md centers=centers_v3.json(23be85b004977222)
period,H,type,n_rows,p05,p10,p25,p50,p75,p90,p95,win_rate,excess_pp
副格,120,③純技術＋回檔,11315,-36.80573214416663,-30.17449805540829,-19.491601200055964,-6.821430980669477,10.078115960757577,34.407624647775265,57.06003210469335,0.38214759169244367,-0.6634523273995824
副格,120,④死水,18223,-34.20494340993333,-27.326124073629586,-16.700201681754116,-5.313017278671774,7.5259463667601,23.00068506540808,37.318570860172635,0.3842396970861,-2.5054082490232683
擬合窗／追認格,20,①營收＋回檔,1467,-16.12494025780934,-12.492708297472207,-7.430706704487683,-1.341195730290766,5.380550105080525,13.973449191234552,21.59417102562824,0.44648943421949555,0.2612287088650575
擬合窗／追認格,20,②正在噴出,4972,-16.088712789339972,-12.31712228477045,-7.0862775934050495,-1.4000792888351672,5.769418042464956,16.21810684149732,25.24435861532496,0.4418744971842317,0.9369068065790015
擬合窗／追認格,20,③純技術＋回檔,4338,-15.26899877924133,-12.181389812322854,-7.108558916097037,-1.5285785155786404,4.558624374115906,12.603876169581612,20.371416246657013,0.42208390963577685,-0.08262637216782963
擬合窗／追認格,20,④死水,7249,-12.591192472026602,-9.666250684668253,-5.377143024353947,-1.1749087262863347,3.344459619181784,8.978460680570574,13.77422896084376,0.4247482411367085,-0.5124650853248652
擬合窗／追認格,60,①營收＋回檔,1467,-27.105348671787592,-22.365316440933544,-13.10883919998909,-3.1071819117620523,11.769606808212977,28.6283890353985,47.03345990350129,0.42603953646898435,2.768660130015199
擬合窗／追認格,60,②正在噴出,4972,-25.955022936359484,-20.57293900439338,-12.456397497131938,-3.064119315330564,9.522075243515134,26.85271945220189,43.19236706891594,0.43000804505229284,2.1679295688472138
擬合窗／追認格,60,③純技術＋回檔,4338,-25.91789703837824,-20.950936371889746,-12.915829068162587,-3.7733246129108675,7.663838801648208,23.52673664227055,37.557437400451896,0.3978792070078377,0.0033728282603948576
擬合窗／追認格,60,④死水,7249,-22.9031187873565,-18.126189028469124,-10.79049141748647,-3.2441822322430673,5.3226102974292315,15.92288190293514,24.794550349167444,0.3996413298385984,-1.4797737640567603
