畫法,版本,r,抽出,保留,剔除_硬斷點,剔除_T+1停牌,平均X,中位X,lo,hi,n_eff,判過,判過_正,判過_負
乙,新預設_只排除過去20日,16,2227,2226,0,1,-0.0010151267742983614,-0.0018054279634692654,-0.004219853754061873,0.0021896002054651495,133,False,False,False
乙,新預設_只排除過去20日,17,2227,2226,1,0,0.00012449890520009716,-0.0025571514094645384,-0.003005331756407976,0.00325432956680817,133,False,False,False
乙,新預設_只排除過去20日,18,2227,2227,0,0,0.0007858587582905427,-0.000446376211234719,-0.002293764022372984,0.0038654815389540693,133,False,False,False
乙,新預設_只排除過去20日,19,2227,2227,0,0,-0.001073842997522487,-0.0015885800039971846,-0.0043055063202447775,0.002157820325199804,133,False,False,False
乙,新預設_只排除過去20日,20,2227,2226,1,0,-7.952756511988832e-05,-0.0015049885447621426,-0.00310902520249759,0.0029499700722578136,133,False,False,False
乙,新預設_只排除過去20日,21,2227,2226,1,0,-0.0027667882296732622,-0.0027022770444585682,-0.005625111773397911,9.153531405138669e-05,133,False,False,False
乙,新預設_只排除過去20日,22,2227,2227,0,0,-0.0018504310240223712,-0.004833254375781332,-0.005177431773151418,0.001476569725106675,133,False,False,False
乙,新預設_只排除過去20日,23,2227,2227,0,0,-0.00026843478125424,-0.0019856879222363913,-0.003146114953590881,0.0026092453910824005,133,False,False,False
乙,新預設_只排除過去20日,24,2227,2226,1,0,0.0015799697219480906,9.665527332951903e-05,-0.001284924211748796,0.004444863655644977,133,False,False,False
乙,新預設_只排除過去20日,25,2227,2227,0,0,0.0017175713086110198,-0.0018991595000488965,-0.001300282140073584,0.004735424757295624,133,False,False,False
乙,新預設_只排除過去20日,26,2227,2226,1,0,0.0013237273863412231,-0.00015425743058102145,-0.0018340145391341107,0.004481469311816557,133,False,False,False
乙,新預設_只排除過去20日,27,2227,2227,0,0,-0.0006831744748035194,-0.001992632400057273,-0.004346219742848455,0.0029798707932414156,133,False,False,False
乙,新預設_只排除過去20日,28,2227,2226,1,0,-0.00048163475407925313,-0.0025227809508443933,-0.0036891148427156814,0.0027258453345571747,133,False,False,False
乙,新預設_只排除過去20日,29,2227,2227,0,0,-0.0017512503864613386,-0.0031155598198749183,-0.004597673928829598,0.0010951731559069213,133,False,False,False
乙,不排除（描述）,0,2227,2227,0,0,-0.0010617028599579032,-0.003033102881417865,-0.004086852590570974,0.0019634468706551684,133,False,False,False
乙,不排除（描述）,1,2227,2227,0,0,-0.0033061704823858125,-0.004278261355743804,-0.006375397612104674,-0.00023694335266695064,133,True,False,True
乙,不排除（描述）,2,2227,2226,1,0,0.003405149799530276,0.0012908371552850851,0.00042494634932725315,0.006385353249733298,133,True,True,False
乙,不排除（描述）,3,2227,2227,0,0,-0.0009571842185934653,-0.0011327447482407972,-0.004095332138106233,0.0021809637009193024,133,False,False,False
乙,不排除（描述）,4,2227,2226,0,1,0.0013290024525045834,-0.002279763376628002,-0.0013285856920004454,0.003986590597009612,133,False,False,False
乙,不排除（描述）,5,2227,2227,0,0,-0.0038856814433718733,-0.0037731856167530463,-0.006896469675669809,-0.0008748932110739377,133,True,False,True
乙,不排除（描述）,6,2227,2227,0,0,-0.0005056699817216326,-0.0007383389896101454,-0.003504628309887333,0.0024932883464440676,133,False,False,False
乙,不排除（描述）,7,2227,2226,1,0,8.329290928301907e-05,0.0005835159486028627,-0.0030134526491129012,0.0031800384676789395,133,False,False,False
