period,market,url,self_period,rows,distinct_codes,no_sector
2011-10,tpex,t21sc03_100_10.html,100年10月,1105,633,0
2011-10,twse,t21sc03_100_10.html,100年10月,1222,797,0
2011-11,tpex,t21sc03_100_11.html,100年11月,1109,635,0
2011-11,twse,t21sc03_100_11.html,100年11月,1227,800,0
2011-12,tpex,t21sc03_100_12.html,100年12月,1110,636,0
2011-12,twse,t21sc03_100_12.html,100年12月,1229,801,0
2012-01,tpex,t21sc03_101_1.html,101年1月,657,657,0
2012-01,twse,t21sc03_101_1.html,101年1月,817,817,0
2012-02,tpex,t21sc03_101_2.html,101年2月,658,658,0
2012-02,twse,t21sc03_101_2.html,101年2月,821,821,0
2012-03,tpex,t21sc03_101_3.html,101年3月,660,660,0
2012-03,twse,t21sc03_101_3.html,101年3月,824,824,0
2012-04,tpex,t21sc03_101_4.html,101年4月,662,662,0
2012-04,twse,t21sc03_101_4.html,101年4月,824,824,0
2012-05,tpex,t21sc03_101_5.html,101年5月,665,665,0
2012-05,twse,t21sc03_101_5.html,101年5月,825,825,0
2012-06,tpex,t21sc03_101_6.html,101年6月,665,665,0
2012-06,twse,t21sc03_101_6.html,101年6月,827,827,0
2012-07,tpex,t21sc03_101_7.html,101年7月,666,666,0
2012-07,twse,t21sc03_101_7.html,101年7月,828,828,0
2012-08,tpex,t21sc03_101_8.html,101年8月,669,669,0
2012-08,twse,t21sc03_101_8.html,101年8月,830,830,0
2012-09,tpex,t21sc03_101_9.html,101年9月,673,673,0
2012-09,twse,t21sc03_101_9.html,101年9月,833,833,0
2012-10,tpex,t21sc03_101_10.html,101年10月,674,674,0
2012-10,twse,t21sc03_101_10.html,101年10月,837,837,0
2012-11,tpex,t21sc03_101_11.html,101年11月,674,674,0
2012-11,twse,t21sc03_101_11.html,101年11月,841,841,0
2012-12,tpex,t21sc03_101_12.html,101年12月,675,675,0
2012-12,twse,t21sc03_101_12.html,101年12月,843,843,0
2013-01,tpex,t21sc03_102_1.html,102年1月,629,629,0
