vid,型態,H,年,n,dX̄
K18,十字昏星,120,2019,20,-0.416949417306052
K18,十字昏星,120,2020,27,-0.060314600055345176
K18,十字昏星,120,2021,28,0.04163204721746383
K18,十字昏星,120,2022,30,-0.0678978724884985
K18,十字昏星,120,2023,39,-0.0724752017579099
K18,十字昏星,120,2024,26,-0.03133248370103458
K18,十字昏星,120,2025,34,-0.10085838558980581
K18,十字昏星,120,2026,6,0.15120200245689053
K19,胃部之上,20,2017,4948,-0.0008423071202952454
K19,胃部之上,20,2018,5820,-0.0032551580126001377
K19,胃部之上,20,2019,5087,-0.0011580677206673563
K19,胃部之上,20,2020,6217,-2.8069652410080903e-05
K19,胃部之上,20,2021,6560,0.000607678622876782
K19,胃部之上,20,2022,6919,-0.00036359924994664605
K19,胃部之上,20,2023,6056,0.0022302166195552003
K19,胃部之上,20,2024,7464,-0.001927938124918284
K19,胃部之上,20,2025,7579,0.0011911422705860038
K19,胃部之上,20,2026,4507,0.007731844479423052
K19,胃部之上,60,2017,4905,-0.0026561571947373436
K19,胃部之上,60,2018,5767,-0.004845154520964575
K19,胃部之上,60,2019,5050,-0.0007159911333246073
K19,胃部之上,60,2020,6189,0.005859805974436595
K19,胃部之上,60,2021,6531,-0.0023515582281394016
K19,胃部之上,60,2022,6875,-0.0034345212756678486
K19,胃部之上,60,2023,6035,0.0014997286012170472
K19,胃部之上,60,2024,7449,-0.005030593576981937
K19,胃部之上,60,2025,7551,0.006690787325326906
K19,胃部之上,60,2026,3257,0.027709592781698864
K19,胃部之上,120,2017,4857,-0.0016891259141995126
K19,胃部之上,120,2018,5700,-0.004687256151536959
K19,胃部之上,120,2019,4995,-0.00533447519546735
K19,胃部之上,120,2020,6138,0.015308743033043
K19,胃部之上,120,2021,6480,-0.004389813567114351
K19,胃部之上,120,2022,6802,-0.007795734685369087
K19,胃部之上,120,2023,5998,-0.002502548230243882
K19,胃部之上,120,2024,7407,-0.007048906830766492
K19,胃部之上,120,2025,7505,0.028093656412777394
K19,胃部之上,120,2026,1157,0.037747562291036416
K20,紅三兵,20,2017,32,-0.04582549770573956
K20,紅三兵,20,2018,42,-0.03448861235618818
K20,紅三兵,20,2019,41,0.0017661067748325028
K20,紅三兵,20,2020,28,0.012529320618991186
K20,紅三兵,20,2021,29,2.7810315621608828e-05
K20,紅三兵,20,2022,33,0.0015982101189529353
K20,紅三兵,20,2023,17,-0.024625998316737226
K20,紅三兵,20,2024,21,0.016436663166100995
K20,紅三兵,20,2025,21,0.011871542097448595
K20,紅三兵,20,2026,12,0.08788611829403692
K20,紅三兵,60,2017,32,-0.021004475191878855
K20,紅三兵,60,2018,39,-0.050335453827949975
K20,紅三兵,60,2019,39,0.05554332223430195
K20,紅三兵,60,2020,28,0.18178853824294325
K20,紅三兵,60,2021,28,-0.0038296810963328294
K20,紅三兵,60,2022,33,0.01982900394853283
K20,紅三兵,60,2023,16,-0.0014539504799372487
K20,紅三兵,60,2024,21,0.03313224568740005
K20,紅三兵,60,2025,20,-0.01629649749204943
K20,紅三兵,60,2026,9,-0.023606588257364464
K20,紅三兵,120,2017,32,-0.004369614482293997
K20,紅三兵,120,2018,38,-0.09126462086978422
K20,紅三兵,120,2019,39,0.04538219816778933
K20,紅三兵,120,2020,28,0.014951475722411494
K20,紅三兵,120,2021,28,0.028309045706678602
K20,紅三兵,120,2022,33,0.029042493573691493
K20,紅三兵,120,2023,16,-0.1196852922700543
K20,紅三兵,120,2024,19,0.09292639047002019
K20,紅三兵,120,2025,19,-0.07939829710400334
K20,紅三兵,120,2026,7,-0.052114435841594656
K21,On Neck,20,2017,328,0.005618908440050927
K21,On Neck,20,2018,418,-0.0024028093484504487
K21,On Neck,20,2019,449,-3.1005197305765204e-05
K21,On Neck,20,2020,408,-0.00316976071177741
K21,On Neck,20,2021,355,0.007119839678517714
K21,On Neck,20,2022,535,-0.0033446988688016575
K21,On Neck,20,2023,367,0.0099636682936993
K21,On Neck,20,2024,428,0.0035325862726646668
K21,On Neck,20,2025,491,0.004077507407936451
K21,On Neck,20,2026,225,0.0024034515981297567
K21,On Neck,60,2017,325,0.015828146354728928
K21,On Neck,60,2018,413,-0.004578025835598641
K21,On Neck,60,2019,446,0.002205910455917683
K21,On Neck,60,2020,407,0.003746686291180336
K21,On Neck,60,2021,354,0.009489435912716778
K21,On Neck,60,2022,531,0.003314173962806188
K21,On Neck,60,2023,366,0.00796553004784611
K21,On Neck,60,2024,428,-0.003959494235611703
K21,On Neck,60,2025,489,0.026202040139844736
K21,On Neck,60,2026,165,0.011477254871958841
K21,On Neck,120,2017,316,0.016380038584856562
K21,On Neck,120,2018,405,0.007214094473632981
K21,On Neck,120,2019,442,-0.01370103451081609
K21,On Neck,120,2020,406,0.009079574386042262
K21,On Neck,120,2021,351,0.018167837792447787
K21,On Neck,120,2022,523,0.007857187025014712
K21,On Neck,120,2023,359,0.010832513431582825
K21,On Neck,120,2024,424,-0.0037611836749457035
K21,On Neck,120,2025,483,0.04560543888616115
K21,On Neck,120,2026,60,0.027702800589727912
K22,力車夫,20,2017,540,0.007529632292135984
K22,力車夫,20,2018,653,0.0008035248287561931
K22,力車夫,20,2019,686,0.002082250146570513
K22,力車夫,20,2020,720,0.0005263600095323598
K22,力車夫,20,2021,770,-5.446866640771791e-05
K22,力車夫,20,2022,745,0.003238692231131555
K22,力車夫,20,2023,776,0.0019983171322131986
K22,力車夫,20,2024,890,-0.001184759345599949
K22,力車夫,20,2025,713,-0.0007026837780235708
K22,力車夫,20,2026,450,0.002629885997732241
K22,力車夫,60,2017,534,-0.007314055739901933
K22,力車夫,60,2018,647,-0.0018448458900080017
K22,力車夫,60,2019,680,0.012285278852383574
K22,力車夫,60,2020,718,0.013489117156494812
K22,力車夫,60,2021,767,0.0054812565184337025
K22,力車夫,60,2022,741,0.022012689313752064
K22,力車夫,60,2023,774,0.00440998844750865
K22,力車夫,60,2024,886,-0.001675131439156399
K22,力車夫,60,2025,709,-0.0016801181305213758
K22,力車夫,60,2026,348,-0.025530134156857284
K22,力車夫,120,2017,526,-0.009453916864946479
K22,力車夫,120,2018,636,-0.0025461728572443534
K22,力車夫,120,2019,676,0.017954991356850657
K22,力車夫,120,2020,709,0.011014378900727607
K22,力車夫,120,2021,758,-0.0016643160254002484
K22,力車夫,120,2022,729,0.02996009625239013
K22,力車夫,120,2023,766,-0.005903784820645177
K22,力車夫,120,2024,882,0.0021586615159238424
K22,力車夫,120,2025,704,0.0061385323186961055
K22,力車夫,120,2026,121,-0.04115825037243232
K23,多頭分離線,20,2017,91,0.007154896479137495
K23,多頭分離線,20,2018,89,4.147251979638036e-05
K23,多頭分離線,20,2019,146,-0.0035965994341591724
K23,多頭分離線,20,2020,91,-0.00927999533959057
K23,多頭分離線,20,2021,104,-0.0031214622278454987
K23,多頭分離線,20,2022,69,-0.0005048702794585074
K23,多頭分離線,20,2023,122,0.00970234228628971
K23,多頭分離線,20,2024,116,0.009424612718250765
K23,多頭分離線,20,2025,70,0.024452034689011207
K23,多頭分離線,20,2026,34,-0.047703057967559276
K23,多頭分離線,60,2017,91,0.004826540913511645
K23,多頭分離線,60,2018,89,-0.0020885197487439653
K23,多頭分離線,60,2019,146,-0.006026545681712129
K23,多頭分離線,60,2020,89,0.013464148525957693
K23,多頭分離線,60,2021,104,-0.022192252880856096
K23,多頭分離線,60,2022,68,-0.0018657040178283023
K23,多頭分離線,60,2023,119,0.021624626014800374
K23,多頭分離線,60,2024,116,0.014876430992706628
K23,多頭分離線,60,2025,69,0.0017203819252480097
K23,多頭分離線,60,2026,26,-0.036371928154681335
K23,多頭分離線,120,2017,91,0.013027998326977507
K23,多頭分離線,120,2018,89,-0.00027717063645249165
K23,多頭分離線,120,2019,144,-0.033468509823607454
K23,多頭分離線,120,2020,86,0.044930745493736705
K23,多頭分離線,120,2021,104,-0.015946708462872265
K23,多頭分離線,120,2022,67,0.026786645546498813
K23,多頭分離線,120,2023,119,0.0025059210810635386
K23,多頭分離線,120,2024,114,0.03454869092224949
K23,多頭分離線,120,2025,69,-0.0317901066575247
K23,多頭分離線,120,2026,11,0.015590448781122306
K24,長腳十字,20,2017,1197,0.0005584017257909521
K24,長腳十字,20,2018,1464,-0.001648410751493907
K24,長腳十字,20,2019,1524,0.0034426096620392777
K24,長腳十字,20,2020,1650,0.00033884313652307395
K24,長腳十字,20,2021,1692,-0.0029351247998145877
K24,長腳十字,20,2022,1572,0.0030740075875806973
K24,長腳十字,20,2023,1647,-0.0016059631499841145
K24,長腳十字,20,2024,1844,-0.006744649638665339
K24,長腳十字,20,2025,1633,-0.0016478703059259778
K24,長腳十字,20,2026,991,0.0027809301274112595
K24,長腳十字,60,2017,1184,-0.007250511129451655
K24,長腳十字,60,2018,1453,-0.004157251416678765
K24,長腳十字,60,2019,1511,0.00840368117453947
K24,長腳十字,60,2020,1643,0.006332261865432181
K24,長腳十字,60,2021,1682,0.0005373692974044534
K24,長腳十字,60,2022,1561,0.016316899063801703
K24,長腳十字,60,2023,1641,0.0021076946627564767
K24,長腳十字,60,2024,1838,-0.007772753359141829
K24,長腳十字,60,2025,1622,-0.0011015687307171123
K24,長腳十字,60,2026,736,-0.018155535702130906
K24,長腳十字,120,2017,1169,-0.016764192175773775
K24,長腳十字,120,2018,1435,-0.0005185003056407604
K24,長腳十字,120,2019,1494,0.009514013586684756
K24,長腳十字,120,2020,1620,0.005039932216547779
K24,長腳十字,120,2021,1661,0.001190324150787926
K24,長腳十字,120,2022,1540,0.018125847032045377
K24,長腳十字,120,2023,1626,0.0026821013938836263
K24,長腳十字,120,2024,1829,-0.0012803987413412753
K24,長腳十字,120,2025,1611,0.0011072298396979936
K24,長腳十字,120,2026,273,-0.039874405783673676
K25,多頭母子線,20,2017,3314,0.003614622002741243
K25,多頭母子線,20,2018,3895,0.0018427241095384822
K25,多頭母子線,20,2019,3137,0.0024865037272453054
K25,多頭母子線,20,2020,3759,0.0013023781845469859
K25,多頭母子線,20,2021,3496,-0.004614692263164599
K25,多頭母子線,20,2022,4822,-0.0005742323607138736
K25,多頭母子線,20,2023,3693,-0.0009917420238390311
K25,多頭母子線,20,2024,4642,0.0005326634815041069
K25,多頭母子線,20,2025,4513,0.002202388038577326
K25,多頭母子線,20,2026,2511,0.003231965555721208
K25,多頭母子線,60,2017,3282,0.006551484093553262
K25,多頭母子線,60,2018,3850,-0.0025481171493571464
K25,多頭母子線,60,2019,3121,0.005068150210101499
K25,多頭母子線,60,2020,3742,-0.0020020611538469285
K25,多頭母子線,60,2021,3474,-0.0013786797888760114
K25,多頭母子線,60,2022,4789,0.001694729812408008
K25,多頭母子線,60,2023,3675,0.005365857606304188
K25,多頭母子線,60,2024,4629,0.0006683343524373578
K25,多頭母子線,60,2025,4497,0.003014833414641717
K25,多頭母子線,60,2026,1787,0.018535131398612282
K25,多頭母子線,120,2017,3243,-0.0009472141131717499
K25,多頭母子線,120,2018,3793,-0.0032484908539496325
K25,多頭母子線,120,2019,3084,0.007707901367886846
K25,多頭母子線,120,2020,3712,0.007597851628141651
K25,多頭母子線,120,2021,3440,-0.004730450926972756
K25,多頭母子線,120,2022,4733,0.004410835776918017
K25,多頭母子線,120,2023,3655,0.004813225158993647
K25,多頭母子線,120,2024,4612,-0.005771914175985912
K25,多頭母子線,120,2025,4475,0.015849114014561582
K25,多頭母子線,120,2026,623,0.045484523473794156
K26,空頭分離線,20,2017,51,0.01637185808251402
K26,空頭分離線,20,2018,89,-0.009286122187387459
K26,空頭分離線,20,2019,64,-0.0102480396272524
K26,空頭分離線,20,2020,73,0.013864005849582993
K26,空頭分離線,20,2021,42,0.01789537561012114
K26,空頭分離線,20,2022,103,-0.00042983551204452846
K26,空頭分離線,20,2023,51,-0.0038610498249900924
K26,空頭分離線,20,2024,54,-0.0003616139729690344
K26,空頭分離線,20,2025,55,-0.0013968855792821468
K26,空頭分離線,20,2026,33,0.015378459251455534
K26,空頭分離線,60,2017,51,0.026451139367090554
K26,空頭分離線,60,2018,88,0.003954716091903512
K26,空頭分離線,60,2019,64,0.003633650334702494
K26,空頭分離線,60,2020,73,0.05182213552261324
K26,空頭分離線,60,2021,41,0.028016670231919442
K26,空頭分離線,60,2022,103,-0.00017503329208143616
K26,空頭分離線,60,2023,51,0.010646848656127991
K26,空頭分離線,60,2024,54,0.024144024535227824
K26,空頭分離線,60,2025,54,0.005755630346180405
K26,空頭分離線,60,2026,26,0.0652245809113963
K26,空頭分離線,120,2017,50,0.01986592096778033
K26,空頭分離線,120,2018,88,0.021917974512497305
K26,空頭分離線,120,2019,62,0.02167867811380732
K26,空頭分離線,120,2020,73,0.09623153919916573
K26,空頭分離線,120,2021,40,0.03497277388398338
K26,空頭分離線,120,2022,102,0.016437973142220622
K26,空頭分離線,120,2023,51,0.014816684371399212
K26,空頭分離線,120,2024,53,-0.01630520405141387
K26,空頭分離線,120,2025,52,0.0209335698751111
K26,空頭分離線,120,2026,8,0.1617521620279107
K27,收盤黑色光頭光腳,20,2017,5131,0.0005853613341539422
K27,收盤黑色光頭光腳,20,2018,5726,0.0004236319624817586
K27,收盤黑色光頭光腳,20,2019,5535,0.00037904706878601804
K27,收盤黑色光頭光腳,20,2020,5632,-0.0019890835196194113
K27,收盤黑色光頭光腳,20,2021,5589,-0.004361325056949143
K27,收盤黑色光頭光腳,20,2022,6290,-0.0005618662763647944
K27,收盤黑色光頭光腳,20,2023,5876,-0.0031387277419182608
K27,收盤黑色光頭光腳,20,2024,6816,-0.00013931235327860987
K27,收盤黑色光頭光腳,20,2025,6642,-0.0010850120961624684
K27,收盤黑色光頭光腳,20,2026,3324,0.001829861190498179
K27,收盤黑色光頭光腳,60,2017,5093,0.004525020416142376
K27,收盤黑色光頭光腳,60,2018,5685,-0.0002334458079395387
K27,收盤黑色光頭光腳,60,2019,5497,-2.7805302238380647e-05
K27,收盤黑色光頭光腳,60,2020,5592,-0.003608989340643377
K27,收盤黑色光頭光腳,60,2021,5557,-0.002370355401795965
K27,收盤黑色光頭光腳,60,2022,6249,0.0010221895716889782
K27,收盤黑色光頭光腳,60,2023,5850,-0.0035249842088865384
K27,收盤黑色光頭光腳,60,2024,6801,-0.0014423357757388825
K27,收盤黑色光頭光腳,60,2025,6616,-0.003990251781523815
K27,收盤黑色光頭光腳,60,2026,2343,0.0052752667965777645
K27,收盤黑色光頭光腳,120,2017,5025,0.012780534786686759
K27,收盤黑色光頭光腳,120,2018,5609,-0.004777038102368154
K27,收盤黑色光頭光腳,120,2019,5445,0.00017729269755863115
K27,收盤黑色光頭光腳,120,2020,5553,-0.004415777636948175
K27,收盤黑色光頭光腳,120,2021,5522,-0.0038332390009234965
K27,收盤黑色光頭光腳,120,2022,6180,0.002779125939911888
K27,收盤黑色光頭光腳,120,2023,5822,0.006364881147269207
K27,收盤黑色光頭光腳,120,2024,6758,-0.00376454929381914
K27,收盤黑色光頭光腳,120,2025,6576,-0.0030217896598685435
K27,收盤黑色光頭光腳,120,2026,803,0.003840700013784907
K28,平頭底部,20,2017,9821,-0.001361343964208853
K28,平頭底部,20,2018,10899,-0.0017992738198801355
K28,平頭底部,20,2019,10691,0.0002908589638506262
K28,平頭底部,20,2020,9684,-0.0013114312367232734
K28,平頭底部,20,2021,9932,0.001340589657795199
K28,平頭底部,20,2022,10530,5.593221565279958e-06
K28,平頭底部,20,2023,10638,-0.00014281008569673963
K28,平頭底部,20,2024,11568,-0.0006057030067741704
K28,平頭底部,20,2025,11100,-0.000133764822890673
K28,平頭底部,20,2026,5941,-0.000968524734843371
K28,平頭底部,60,2017,9711,-0.0026974456178376262
K28,平頭底部,60,2018,10775,-0.002622366990099944
K28,平頭底部,60,2019,10588,0.00033059592492529005
K28,平頭底部,60,2020,9604,-0.0031177418138216774
K28,平頭底部,60,2021,9846,0.0020993474620478255
K28,平頭底部,60,2022,10414,-0.00046651080781501546
K28,平頭底部,60,2023,10569,-0.0026090806092326346
K28,平頭底部,60,2024,11519,-0.001125454742833074
K28,平頭底部,60,2025,11031,-0.0011606480478766636
K28,平頭底部,60,2026,4274,0.0009219506391925418
K28,平頭底部,120,2017,9583,-0.0007102030811920432
K28,平頭底部,120,2018,10615,-0.004051284314671997
K28,平頭底部,120,2019,10470,-0.0028879187185407358
K28,平頭底部,120,2020,9498,-0.0008407209479246415
K28,平頭底部,120,2021,9749,3.1237927389245224e-05
K28,平頭底部,120,2022,10271,-0.0029141832445909012
K28,平頭底部,120,2023,10499,-0.004555683771311121
K28,平頭底部,120,2024,11449,-0.003947629930462753
K28,平頭底部,120,2025,10945,0.0014606080588355802
K28,平頭底部,120,2026,1636,-0.008616614942608772
K30,多久里線,20,2017,3096,-0.0033972066338842487
K30,多久里線,20,2018,4077,0.0054957829410562
K30,多久里線,20,2019,3876,-0.0020974964194752405
K30,多久里線,20,2020,3578,0.001773085368005211
K30,多久里線,20,2021,3264,0.003922178996879884
K30,多久里線,20,2022,4357,-0.0006387244865765481
K30,多久里線,20,2023,3135,-0.0024039958386068115
K30,多久里線,20,2024,3307,0.00139792367063797
K30,多久里線,20,2025,4273,0.0008438784753427793
K30,多久里線,20,2026,2374,0.0009142707048146661
K30,多久里線,60,2017,3020,-0.006868765385462828
K30,多久里線,60,2018,3982,0.007377614723387527
K30,多久里線,60,2019,3787,0.0016085738156705733
K30,多久里線,60,2020,3532,0.0004418460422061942
K30,多久里線,60,2021,3206,0.008776970652218719
K30,多久里線,60,2022,4262,0.000640879817306623
K30,多久里線,60,2023,3091,-0.0007634943045265179
K30,多久里線,60,2024,3276,0.004613718569772287
K30,多久里線,60,2025,4200,-0.001191070628387592
K30,多久里線,60,2026,1624,-0.0023652971876637723
K30,多久里線,120,2017,2946,-0.00416606233876136
K30,多久里線,120,2018,3872,0.00704454782187725
K30,多久里線,120,2019,3711,0.001553552345569148
K30,多久里線,120,2020,3465,0.0005236125175458476
K30,多久里線,120,2021,3134,0.01827897107579523
K30,多久里線,120,2022,4159,0.009953008827995732
K30,多久里線,120,2023,3056,0.005660197090532009
K30,多久里線,120,2024,3225,0.011753282189850597
K30,多久里線,120,2025,4134,-0.0034644708711475567
K30,多久里線,120,2026,572,-0.007977389942973985
K31,最後吞噬底,20,2017,5878,-0.001699021826378669
K31,最後吞噬底,20,2018,6531,0.0017640167385214263
K31,最後吞噬底,20,2019,5839,0.00014831024074693207
K31,最後吞噬底,20,2020,6196,0.00023472203961776727
K31,最後吞噬底,20,2021,6514,0.0004109946122559343
K31,最後吞噬底,20,2022,6902,0.0020487007288560403
K31,最後吞噬底,20,2023,6646,-0.001552409152484669
K31,最後吞噬底,20,2024,7798,-0.0011213076888425052
K31,最後吞噬底,20,2025,7634,-0.003170053797261758
K31,最後吞噬底,20,2026,4514,-0.005673367885557376
K31,最後吞噬底,60,2017,5825,-0.002268660257206484
K31,最後吞噬底,60,2018,6477,0.00143980728990005
K31,最後吞噬底,60,2019,5808,-0.0018247171225454634
K31,最後吞噬底,60,2020,6157,-0.00522515378157517
K31,最後吞噬底,60,2021,6477,-0.002643891537236403
K31,最後吞噬底,60,2022,6846,0.0028071400869760514
K31,最後吞噬底,60,2023,6616,-0.002638238481950154
K31,最後吞噬底,60,2024,7778,-0.0018009431122606304
K31,最後吞噬底,60,2025,7597,-0.004735986558617598
K31,最後吞噬底,60,2026,3162,-0.025417461209498563
K31,最後吞噬底,120,2017,5746,0.00028744114901288335
K31,最後吞噬底,120,2018,6389,0.0018604472192749867
K31,最後吞噬底,120,2019,5745,0.002746354998633226
K31,最後吞噬底,120,2020,6105,-0.01511076253722321
K31,最後吞噬底,120,2021,6431,0.0008238248334363895
K31,最後吞噬底,120,2022,6764,0.0036671117907075166
K31,最後吞噬底,120,2023,6592,-0.002471517432716775
K31,最後吞噬底,120,2024,7735,0.0051754829443970375
K31,最後吞噬底,120,2025,7554,-0.024115541818433273
K31,最後吞噬底,120,2026,1140,-0.02922467462622968
K32,看漲十字星,20,2017,471,0.0030272415135614737
K32,看漲十字星,20,2018,681,-0.00016244664820945124
K32,看漲十字星,20,2019,517,0.002296970492983395
K32,看漲十字星,20,2020,820,-0.007666601474106623
K32,看漲十字星,20,2021,639,0.0003809734394039045
K32,看漲十字星,20,2022,796,-0.00016944711020600107
K32,看漲十字星,20,2023,533,-0.0027159594557531197
K32,看漲十字星,20,2024,668,0.007194365346968688
K32,看漲十字星,20,2025,779,-0.002623558739646372
K32,看漲十字星,20,2026,401,0.0013087299252572929
K32,看漲十字星,60,2017,467,-0.001866385200060939
K32,看漲十字星,60,2018,673,0.007256943995122266
K32,看漲十字星,60,2019,514,0.02051457399535356
K32,看漲十字星,60,2020,814,-0.0034591523380924933
K32,看漲十字星,60,2021,635,0.010199537630958225
K32,看漲十字星,60,2022,789,0.0015994139733862456
K32,看漲十字星,60,2023,528,0.009946851441089727
K32,看漲十字星,60,2024,663,0.006141349829901682
K32,看漲十字星,60,2025,776,-0.005752989430212787
K32,看漲十字星,60,2026,290,0.00040246761684701546
K32,看漲十字星,120,2017,463,0.0006030057423170651
K32,看漲十字星,120,2018,662,-0.00254427728197962
K32,看漲十字星,120,2019,504,0.0337271485499535
K32,看漲十字星,120,2020,804,0.010342385297990192
K32,看漲十字星,120,2021,630,0.026280272099474453
K32,看漲十字星,120,2022,776,0.006953365622540123
K32,看漲十字星,120,2023,519,0.0072448600927063405
K32,看漲十字星,120,2024,659,0.010364042675083127
K32,看漲十字星,120,2025,770,0.006478746526104345
K32,看漲十字星,120,2026,95,-0.005085128915584652
K33,多頭母子十字,20,2017,812,-0.002635966429760786
K33,多頭母子十字,20,2018,999,0.0007012541038462071
K33,多頭母子十字,20,2019,976,-0.0030024519656694035
K33,多頭母子十字,20,2020,747,-0.005157879501118432
K33,多頭母子十字,20,2021,714,-0.005784056326440559
K33,多頭母子十字,20,2022,797,-0.0038647957470884673
K33,多頭母子十字,20,2023,798,-0.0006857611699487497
K33,多頭母子十字,20,2024,790,-0.002534294926865687
K33,多頭母子十字,20,2025,802,0.0054479818169564315
K33,多頭母子十字,20,2026,398,-0.0023585387502776767
K33,多頭母子十字,60,2017,801,0.004297269612075509
K33,多頭母子十字,60,2018,984,0.0027318895398105642
K33,多頭母子十字,60,2019,967,0.001424492369834533
K33,多頭母子十字,60,2020,740,0.007330115346460977
K33,多頭母子十字,60,2021,712,-0.0034563716060048936
K33,多頭母子十字,60,2022,790,-0.007455001318697464
K33,多頭母子十字,60,2023,795,0.0011876540177729726
K33,多頭母子十字,60,2024,790,-0.004863975754483991
K33,多頭母子十字,60,2025,792,0.018697814748946655
K33,多頭母子十字,60,2026,289,0.034608002328837636
K33,多頭母子十字,120,2017,783,0.01548168177923496
K33,多頭母子十字,120,2018,972,0.002860347651464947
K33,多頭母子十字,120,2019,957,-0.014639448847009783
K33,多頭母子十字,120,2020,730,0.008178627555457878
K33,多頭母子十字,120,2021,705,0.0020232934455774905
K33,多頭母子十字,120,2022,778,-0.013574184969501328
K33,多頭母子十字,120,2023,787,0.019520485412272165
K33,多頭母子十字,120,2024,788,-0.015378214760975055
K33,多頭母子十字,120,2025,786,0.0455248876998404
K33,多頭母子十字,120,2026,123,0.06379404658998568
K34,看跌十字星,20,2017,723,0.0012340055860541662
K34,看跌十字星,20,2018,809,0.0017013011111106319
K34,看跌十字星,20,2019,1056,0.0023194185489695484
K34,看跌十字星,20,2020,1186,0.0008376825502521023
K34,看跌十字星,20,2021,1107,2.3319932991275642e-05
K34,看跌十字星,20,2022,916,0.009761628396419607
K34,看跌十字星,20,2023,1237,-0.006102126705880784
K34,看跌十字星,20,2024,1051,0.0016440610653784492
K34,看跌十字星,20,2025,921,0.0002596417393384185
K34,看跌十字星,20,2026,651,0.010768347443868015
K34,看跌十字星,60,2017,718,0.004506465822156056
K34,看跌十字星,60,2018,802,0.0006263614870255466
K34,看跌十字星,60,2019,1052,-0.001628635305085021
K34,看跌十字星,60,2020,1180,-0.004430938449469233
K34,看跌十字星,60,2021,1103,0.0011677174104434565
K34,看跌十字星,60,2022,908,0.014772889915579368
K34,看跌十字星,60,2023,1232,0.002785682492642019
K34,看跌十字星,60,2024,1046,-0.00129794875496475
K34,看跌十字星,60,2025,913,-0.0015558353843603532
K34,看跌十字星,60,2026,452,0.005770894592705542
K34,看跌十字星,120,2017,711,-0.006276937303250462
K34,看跌十字星,120,2018,795,0.005535875495476676
K34,看跌十字星,120,2019,1042,0.011890984855276667
K34,看跌十字星,120,2020,1167,-0.0174569487436902
K34,看跌十字星,120,2021,1099,0.0006324584621313926
K34,看跌十字星,120,2022,902,0.02589237908864633
K34,看跌十字星,120,2023,1227,0.013979704710544369
K34,看跌十字星,120,2024,1038,0.005411523882816873
K34,看跌十字星,120,2025,910,0.00807419550138429
K34,看跌十字星,120,2026,155,-0.02334378722145857
K35,長白日,20,2017,6819,0.003725462547839428
K35,長白日,20,2018,7885,0.002069840458719461
K35,長白日,20,2019,8382,0.00324373885725738
K35,長白日,20,2020,8477,-0.00043590915549251324
K35,長白日,20,2021,8038,-0.00036641153132428684
K35,長白日,20,2022,7450,0.0013543461916974055
K35,長白日,20,2023,8183,0.0005522378106156328
K35,長白日,20,2024,8220,0.0025670700387131567
K35,長白日,20,2025,8544,-0.0011949682298325614
K35,長白日,20,2026,4791,0.0041809803987280176
K35,長白日,60,2017,6709,0.008219670111113554
K35,長白日,60,2018,7782,0.004952380050449597
K35,長白日,60,2019,8280,0.005832489596360971
K35,長白日,60,2020,8398,0.0027952644497484386
K35,長白日,60,2021,7966,0.004248797239855826
K35,長白日,60,2022,7357,0.00206543674546217
K35,長白日,60,2023,8125,0.0038909676107672896
K35,長白日,60,2024,8187,0.0023221235388993103
K35,長白日,60,2025,8472,-0.00013855344079463433
K35,長白日,60,2026,3364,0.01794294319299656
K35,長白日,120,2017,6601,0.01160069068597079
K35,長白日,120,2018,7646,0.009900430715028557
K35,長白日,120,2019,8169,0.011704537244719704
K35,長白日,120,2020,8293,0.0025089872730355172
K35,長白日,120,2021,7864,0.008341578871008629
K35,長白日,120,2022,7234,0.007079766987092827
K35,長白日,120,2023,8067,0.007909725397861384
K35,長白日,120,2024,8131,0.0010005875562851428
K35,長白日,120,2025,8391,0.013594177507426669
K35,長白日,120,2026,1380,0.029893690595484163
K36,上漲受阻,20,2017,185,0.01919216537351064
K36,上漲受阻,20,2018,236,0.0020139071079427846
K36,上漲受阻,20,2019,266,0.013015129144370662
K36,上漲受阻,20,2020,262,0.010187239504962897
K36,上漲受阻,20,2021,273,-0.006567426622755655
K36,上漲受阻,20,2022,356,0.0023053476499132865
K36,上漲受阻,20,2023,346,0.010547936301904058
K36,上漲受阻,20,2024,280,0.010361061474034818
K36,上漲受阻,20,2025,311,0.0036016250796236746
K36,上漲受阻,20,2026,154,-0.0012848530974432296
K36,上漲受阻,60,2017,183,0.013827524715066713
K36,上漲受阻,60,2018,235,-0.007854308008922447
K36,上漲受阻,60,2019,265,0.024030516369054795
K36,上漲受阻,60,2020,262,-0.019669361214776145
K36,上漲受阻,60,2021,271,0.013459802000219023
K36,上漲受阻,60,2022,352,-0.004605543609329988
K36,上漲受阻,60,2023,343,0.019436970085970395
K36,上漲受阻,60,2024,280,0.0050093834937403195
K36,上漲受阻,60,2025,310,-0.00977077383817897
K36,上漲受阻,60,2026,86,-0.013578940563790885
K36,上漲受阻,120,2017,180,-0.011370045200677772
K36,上漲受阻,120,2018,233,0.005459430654340559
K36,上漲受阻,120,2019,262,0.031321214007321095
K36,上漲受阻,120,2020,260,-0.027432819119217133
K36,上漲受阻,120,2021,271,0.039811078044420266
K36,上漲受阻,120,2022,349,-0.014236207087898828
K36,上漲受阻,120,2023,341,0.031631143292294425
K36,上漲受阻,120,2024,280,0.00022961303755758555
K36,上漲受阻,120,2025,310,-0.05230686480387388
