cell,r,cagr,mdd,vol,first,end,trades,eq_sha,eq_sha64,ret_mine
2,16,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,17,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,18,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
2,19,0.22603905606589425,-0.4779428625167318,0.3213992068854531,526,2859,294,12b8fcc22a1cdaad,12b8fcc22a1cdaad2a4e8e286593437f93c67d1dfa84cdc255bd685e95f06dce,5.847828705970515
3,0,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,1,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,2,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,3,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,4,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,5,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,6,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,7,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,8,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,9,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,10,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,11,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,12,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,13,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,14,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,15,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,16,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,17,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,18,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
3,19,0.2306575010644485,-0.4494346387838092,0.31112251929018286,526,2859,294,76b0e0fc8dd32f59,76b0e0fc8dd32f5969976d40f9f0cd3e3853ca2de68389fdbe35e9fb82466a62,6.095267589928401
