族,格,年化,回落,錨年化,錨回落,錨出處,格捨入,錨捨入,註,新判準標籤,捨入內不定,比值,錨比值,年化差pp,回落差pp（負＝比0050深）,年化波動
PREREG10／研究十三,OR｜regime=False｜N20｜H60,0.2258545949664118,-0.4068142160548804,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5551787180808435,0.7294117647058823,-2.2145405033588195,-6.681421605488036,未存
PREREG10／研究十三,OR｜regime=False｜N20｜H120,0.1752995527057346,-0.3940184860952459,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.44490184824312917,0.7294117647058823,-7.270044729426539,-5.40184860952459,未存
PREREG10／研究十三,OR｜regime=False｜N20｜LD,0.1900593055596784,-0.3188845251221907,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.59601294696521,0.7294117647058823,-5.79406944403216,2.1115474877809346,未存
PREREG10／研究十三,OR｜regime=True｜N10｜H60,0.2035640675051033,-0.3386441878621853,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.6011149011302264,0.7294117647058823,-4.443593249489669,0.1355812137814716,未存
PREREG10／研究十三,OR｜regime=True｜N10｜H120,0.1829597517243073,-0.4548909928696524,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.40220570332711303,0.7294117647058823,-6.5040248275692685,-11.489099286965237,未存
PREREG10／研究十三,OR｜regime=True｜N10｜LD,0.1809083643419115,-0.3334337101724137,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5425617111370246,0.7294117647058823,-6.709163565808851,0.6566289827586336,未存
PREREG10／研究十三,OR｜regime=True｜N20｜H60,0.1419300804852318,-0.3385540397842833,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.419224300426796,0.7294117647058823,-10.606991951476818,0.14459602157167462,未存
PREREG10／研究十三,OR｜regime=True｜N20｜H120,0.2062296501085999,-0.3771044361128072,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5468767544461033,0.7294117647058823,-4.177034989140011,-3.7104436112807173,未存
PREREG10／研究十三,OR｜regime=True｜N20｜LD,0.1776286263210614,-0.2975924552130151,0.248,-0.34,results13/summary.md 89 行,0.0,0.0005,,不合格,False,0.5968855164487143,0.7294117647058823,-7.037137367893859,4.240754478698494,未存
PREREG11／研究十三b,AND｜regime=False｜N30｜H60,0.3174806565992503,-0.3385209606140403,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,合格,False,0.9378463774395973,0.7294117647058823,6.948065659925029,0.1479039385959724,未存
PREREG11／研究十三b,AND｜regime=False｜N30｜H120,0.2856433486799683,-0.4276662433181264,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,另列,False,0.667911842804689,0.7294117647058823,3.7643348679968325,-8.76662433181264,未存
PREREG11／研究十三b,AND｜regime=False｜N30｜LD,0.2353667245023512,-0.3755011779067656,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6268068873030037,0.7294117647058823,-1.263327549764881,-3.55011779067656,未存
PREREG11／研究十三b,AND｜regime=False｜N40｜H60,0.324800756738185,-0.2624000684678106,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,合格,False,1.2378074389794957,0.7294117647058823,7.680075673818498,7.759993153218941,未存
PREREG11／研究十三b,AND｜regime=False｜N40｜H120,0.25643036742221,-0.4111837168555439,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,另列,False,0.6236394023168444,0.7294117647058823,0.8430367422209983,-7.118371685554386,未存
PREREG11／研究十三b,AND｜regime=False｜N40｜LD,0.2297694165890418,-0.3226905922325829,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.7120425017641446,0.7294117647058823,-1.8230583410958205,1.7309407767417129,未存
PREREG11／研究十三b,AND｜regime=True｜N30｜H60,0.285641589948173,-0.3061175424321214,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,合格,False,0.9331108164489177,0.7294117647058823,3.7641589948173015,3.388245756787861,未存
PREREG11／研究十三b,AND｜regime=True｜N30｜H120,0.2707407409454044,-0.4224740396666196,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,另列,False,0.6408458639471667,0.7294117647058823,2.27407409454044,-8.24740396666196,未存
PREREG11／研究十三b,AND｜regime=True｜N30｜LD,0.2106649265265969,-0.3421071246106477,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6157864346331716,0.7294117647058823,-3.733507347340309,-0.21071246106476593,未存
PREREG11／研究十三b,AND｜regime=True｜N40｜H60,0.2578152507971336,-0.2411280683858154,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,合格,False,1.0692046451623292,0.7294117647058823,0.9815250797133579,9.887193161418462,未存
PREREG11／研究十三b,AND｜regime=True｜N40｜H120,0.2548126713234369,-0.3882251024338949,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,另列,False,0.6563528986815713,0.7294117647058823,0.6812671323436881,-4.822510243389488,未存
PREREG11／研究十三b,AND｜regime=True｜N40｜LD,0.1892880415314617,-0.2960288195880839,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6394243702179094,0.7294117647058823,-5.87119584685383,4.397118041191611,未存
PREREG11／研究十三b,S｜regime=False｜N30｜H60,0.2332888392006357,-0.3820186451603776,0.248,-0.34,results13b/summary.md 89 行,0.0,0.0005,,不合格,False,0.6106739609599351,0.7294117647058823,-1.4711160799364298,-4.201864516037757,未存
