open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1647648000000,396.910,406.390,394.670,399.710,726942.69,1647734399999,291229787.31945,464088,357359.60,143193378.27855,0
1647734400000,399.700,400.870,386.220,390.740,616312.91,1647820799999,242281673.53963,446904,297111.35,116791522.52812,0
1647820800000,390.740,399.160,385.140,395.810,714847.88,1647907199999,281388117.86291,456987,354809.34,139689274.20752,0
1647907200000,395.820,410.000,394.780,404.050,920796.38,1647993599999,373067634.96313,508508,454858.31,184275412.83893,0
1647993600000,404.040,411.870,397.740,408.360,788232.23,1648079999999,318555006.54753,489080,390158.53,157759305.58668,0
1648080000000,408.350,416.550,404.880,414.080,902179.94,1648166399999,370877141.05761,530545,454702.23,186969784.27291,0
1648166400000,414.090,421.620,405.310,410.150,898707.94,1648252799999,371994899.55073,539257,426554.67,176652933.38964,0
1648252800000,410.160,416.290,407.230,415.640,466483.97,1648339199999,192646083.67081,335399,230359.03,95151501.48711,0
1648339200000,415.640,431.720,411.400,430.490,741824.79,1648425599999,311504434.47851,466865,370724.95,155801044.96671,0
1648425600000,430.480,441.130,427.550,430.430,1045694.35,1648511999999,454889993.99683,602726,513369.97,223343598.72783,0
1648512000000,430.410,442.000,429.490,434.280,860089.24,1648598399999,375023686.02893,497742,407306.98,177609297.62423,0
1648598400000,434.270,449.750,425.500,442.170,1053441.85,1648684799999,463276974.59376,598246,522114.53,229607091.64229,0
1648684800000,442.170,452.700,423.820,428.750,1231302.11,1648771199999,539838601.20659,714276,585017.03,256568492.09686,0
1648771200000,428.710,448.240,413.010,447.660,1117025.02,1648857599999,481954207.23775,673319,537028.40,231928635.94530,0
1648857600000,447.660,454.370,435.510,437.300,815505.10,1648943999999,364019364.38308,582090,390300.30,174260446.17499,0
1648944000000,437.290,455.900,432.010,450.520,735504.22,1649030399999,327314409.24688,513370,372071.18,165641884.88468,0
1649030400000,450.480,450.670,433.390,447.510,855867.61,1649116799999,379638980.82418,564330,396159.35,175751565.50349,0
1649116800000,447.510,460.000,444.010,444.580,938054.31,1649203199999,424394909.87565,652445,456355.84,206539668.52849,0
