vid,型態,族,根數,事前,d,T1,原始_H20,純合併後_H20,合併掉_H20,剔除_硬斷點_H20,剔除_停牌_H20,剔除_開盤漲停_H20,剔除_開盤跌停_H20,保留_H20,保留_另一順序_H20,相異檔數_H20,有事件曆月_H20,n_eff上限_H20,可能出口_H20,每檔每年_H20,上市_H20,上櫃_H20,原始_H60,純合併後_H60,合併掉_H60,剔除_硬斷點_H60,剔除_停牌_H60,剔除_開盤漲停_H60,剔除_開盤跌停_H60,保留_H60,保留_另一順序_H60,相異檔數_H60,有事件區段_H60,n_eff上限_H60,可能出口_H60,每檔每年_H60,上市_H60,上櫃_H60,原始_H120,純合併後_H120,合併掉_H120,剔除_硬斷點_H120,剔除_停牌_H120,剔除_開盤漲停_H120,剔除_開盤跌停_H120,保留_H120,保留_另一順序_H120,相異檔數_H120,有事件區段_H120,n_eff上限_H120,可能出口_H120,每檔每年_H120,上市_H120,上櫃_H120,H20_2017年,H20_2018年,H20_2019年,H20_2020年,H20_2021年,H20_2022年,H20_2023年,H20_2024年,H20_2025年,H20_2026年,可判定_H20,可判定_H60
S15,擴散頂_向下,乙,,,-1,過,70,68,2,2,0,0,0,66,66,65,42,42,①②,0.004,34,32,69,67,2,2,0,0,0,65,65,64,26,26,依構造不可判定,0.004,34,31,67,65,2,3,0,0,0,62,62,61,15,15,只描述（H120 依構造只到①）,0.0039,32,30,6,11,1,13,4,4,7,7,10,3,True,False
S16,擴散底_向上,乙,,,1,過,148,143,5,5,0,6,0,132,132,123,69,69,①②,0.008,77,55,143,139,4,6,0,6,0,127,127,119,34,34,①②,0.0078,73,54,133,129,4,8,0,5,0,116,116,109,19,19,只描述（H120 依構造只到①）,0.0074,65,51,13,20,9,14,12,11,11,12,15,15,True,True
S17,擴散底_向下,乙,,,-1,過,99,95,4,6,1,0,0,88,88,86,45,45,①②,0.0053,55,33,98,94,4,7,1,0,0,86,86,84,25,25,依構造不可判定,0.0053,54,32,96,92,4,8,1,0,0,83,83,81,16,16,只描述（H120 依構造只到①）,0.0053,52,31,8,14,3,8,3,16,2,10,21,3,True,False
S18,鑽石頂_向上,乙,,,1,過,468,455,13,4,0,3,0,448,448,396,104,104,①②③,0.0271,238,210,456,443,13,6,0,3,0,434,434,388,38,38,①②,0.0267,230,204,442,429,13,10,0,3,0,416,416,375,19,19,只描述（H120 依構造只到①）,0.0264,216,200,39,41,34,51,59,44,55,62,30,33,True,True
S19,鑽石頂_向下,乙,,,-1,過,509,487,22,4,2,0,1,480,480,422,108,108,①②③,0.029,255,225,489,467,22,6,2,0,1,458,458,408,38,38,①②,0.0282,245,213,469,448,21,13,2,0,1,432,432,386,19,19,只描述（H120 依構造只到①）,0.0274,232,200,46,50,29,41,73,35,47,70,44,45,True,True
S20,鑽石底_向上,乙,,,1,過,433,416,17,10,6,8,0,392,392,346,101,101,①②③,0.0237,205,187,420,403,17,17,3,7,0,376,376,337,38,38,①②,0.0232,197,179,409,392,17,16,3,7,0,366,366,330,19,19,只描述（H120 依構造只到①）,0.0232,189,177,23,39,33,33,41,50,43,37,65,28,True,True
S21,鑽石底_向下,乙,,,-1,過,456,440,16,12,5,1,1,421,422,372,105,105,①②③,0.0254,190,231,446,430,16,15,5,1,1,408,409,362,37,37,①②,0.0251,184,224,420,405,15,20,5,0,1,379,380,336,19,19,只描述（H120 依構造只到①）,0.024,165,214,30,34,31,28,56,51,28,56,63,44,True,True
S22,圓形底,圓,,,1,過,251,251,0,15,1,10,0,225,225,211,72,72,①②,0.0136,111,114,246,246,0,16,1,10,0,219,219,206,32,32,①②,0.0135,108,111,236,236,0,19,1,9,0,207,207,195,19,19,只描述（H120 依構造只到①）,0.0131,102,105,13,7,40,15,5,10,65,23,23,24,True,True
S23,圓形頂_向上,圓,,,1,過,54,54,0,2,0,0,0,52,52,51,38,38,①②,0.0031,26,26,53,53,0,2,0,0,0,51,51,50,24,24,依構造不可判定,0.0031,25,26,52,52,0,2,0,0,0,50,50,49,17,17,只描述（H120 依構造只到①）,0.0032,25,25,5,6,0,6,9,3,2,12,6,3,True,False
S24,圓形頂_向下,圓,,,-1,過,252,252,0,9,0,6,9,228,228,214,53,53,①②,0.0138,133,95,249,249,0,10,0,6,9,224,224,210,30,30,①②,0.0138,130,94,244,244,0,10,0,6,9,219,219,206,16,16,只描述（H120 依構造只到①）,0.0139,127,92,7,33,3,72,14,32,6,27,26,8,True,True
S25,島型頂,島,,,-1,過,8964,7549,1415,258,197,13,69,7012,7099,1735,113,113,①②③,0.4237,3234,3778,8755,7373,1382,418,164,10,55,6726,6798,1714,38,38,①②,0.4144,3126,3600,8470,7126,1344,584,142,7,48,6345,6403,1678,19,19,只描述（H120 依構造只到①）,0.4024,2963,3382,530,712,749,970,661,743,698,800,667,482,True,True
S26,島型底,島,,,1,過,15172,11624,3548,332,250,343,51,10648,10896,1896,113,113,①②③,0.6434,4948,5700,15009,11493,3516,590,211,326,50,10316,10543,1889,38,38,①②,0.6356,4844,5472,14585,11155,3430,851,180,293,45,9786,9989,1870,19,19,只描述（H120 依構造只到①）,0.6206,4630,5156,526,1415,1042,1668,662,1218,712,830,1990,585,True,True
S27,V型反轉,V,,,1,過,556,529,27,16,5,30,0,478,481,415,69,69,①②,0.0289,237,241,546,519,27,23,5,29,0,462,465,405,37,37,①②,0.0285,229,233,532,505,27,43,4,25,0,433,435,385,19,19,只描述（H120 依構造只到①）,0.0275,216,217,15,48,13,127,20,30,8,26,172,19,True,True
S28,平台整理,平,,,1,過,7725,5303,2422,105,5,158,2,5033,5063,1536,112,112,①②③,0.3041,2863,2170,7657,5249,2408,140,4,149,2,4954,4980,1526,38,38,①②,0.3052,2821,2133,7558,5164,2394,194,4,139,2,4825,4848,1506,19,19,只描述（H120 依構造只到①）,0.306,2750,2075,366,180,493,1174,652,238,675,543,467,245,True,True
