stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1442,名軒,2018Q1,twse,9441858,740875,10182733,1194359,3265532,4459891,3003892,928522,1786813,3615,,5722842,,,,5722842,0,0,0,19.05
1443,立益物流,2018Q1,twse,1053739,3555257,4608996,3355291,877159,4232450,1353430,701,-507707,33452,-9056,870820,,,-494274,376546,0,0,460610,6.46
1444,力麗,2018Q1,twse,5842224,12973356,18815580,5039618,1619368,6658986,9573029,72312,1116748,196754,-28470,10930373,,,1226221,12156594,,0,10774028,11.55
1445,大宇,2018Q1,twse,1016093,1128580,2144673,135375,164578,299953,1386670,172536,259839,25675,0,1844720,,,0,1844720,0,0,0,13.30
1446,宏和,2018Q1,twse,3219156,557805,3776961,503696,1620239,2123935,1377095,240592,92891,-57552,0,1653026,,,0,1653026,0,0,0,12.00
1447,力鵬,2018Q1,twse,9451568,10937765,20389333,6610910,3052665,9663575,9144872,117796,1160719,-136296,-357738,9929353,,,796405,10725758,,0,82948106,11.94
1449,佳和,2018Q1,twse,2012363,3422879,5435242,2202651,2309213,4511864,1200000,35165,-977057,435241,-14290,679059,,,244319,923378,,0,317686,5.67
1451,年興,2018Q1,twse,6437687,4416682,10854369,2534895,892725,3427620,1980000,419715,5351861,-324933,,7426643,,,106,7426749,,0,0,37.51
1452,宏益,2018Q1,twse,1760157,959037,2719194,149166,54036,203202,1326414,151962,1027700,9916,,2515992,,,,2515992,0,0,0,18.97
1453,大將,2018Q1,twse,1143434,214606,1358040,16625,60,16685,896747,2762,428863,0,,1328372,,,12983,1341355,,0,0,14.81
1454,台富,2018Q1,twse,1310113,904547,2214660,526806,83940,610746,1403098,73265,113668,90901,-77032,1603900,,,14,1603914,,0,7714103,12.10
1455,集盛,2018Q1,twse,6069546,6197175,12266721,4088654,287080,4375734,6117634,360356,1386389,26608,,7890987,,,,7890987,,0,0,12.90
1456,怡華,2018Q1,twse,2693080,1989751,4682831,1769741,1735692,3505433,937200,18377,1165657,-943836,,,,,,1177398,0,0,0,12.56
1457,宜進,2018Q1,twse,3461405,11751074,15212479,2772272,5130268,7902540,3016476,345683,1255087,76619,-253740,4440125,,,2869814,7309939,0,0,66112880,18.85
1459,聯發,2018Q1,twse,3475221,4053136,7528357,2406888,1511006,3917894,3586289,251179,382941,-241896,-513573,3464940,,,145523,3610463,,0,41144531,10.91
1460,宏遠,2018Q1,twse,6053336,6109755,12163091,6171918,1051084,7223002,4900367,102487,449465,-46565,-465679,4940075,,,14,4940089,,0,35054848,10.86
1463,強盛新,2018Q1,twse,2030306,1139002,3169308,202506,98806,301312,1732684,219059,832853,-52732,-108791,2623073,,,244923,2867996,0,0,8874795,15.96
1464,得力,2018Q1,twse,7677904,6753107,14431011,6451795,2395057,8846852,3345657,1052939,820251,-321435,-12681,4884731,,,699428,5584159,,0,1137197,14.65
