stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
6146,耕興,2016Q1,tpex,2648473,1822570,4471043,949156,139986,1089142,890987,816825,1538853,7950,,3254615,,,127286,3381901,,0,0,36.53
6147,頎邦,2016Q1,tpex,13577686,22652430,36230116,7632464,4219879,11852343,6492620,6551634,10361629,170088,,23575971,,,801802,24377773,0,0,0,36.31
6148,驊宏資,2016Q1,tpex,4298504,534491,4832995,3393907,179644,3573551,900020,19948,15492,11207,0,946667,,,312777,1259444,0,0,0,10.52
6150,撼訊,2016Q1,tpex,1087429,208535,1295964,1013047,5749,1018796,504401,153,-224636,-2750,0,277168,,,,277168,,0,0,5.49
6151,晉倫,2016Q1,tpex,1034047,705029,1739076,542794,164505,707299,552573,144319,280401,54484,0,1031777,,,0,1031777,0,0,0,18.67
6154,順發,2016Q1,tpex,1365089,453341,1818430,517554,2976,520530,800800,3420,490134,3546,0,1297900,,,0,1297900,0,0,0,16.21
6156,松上,2016Q1,tpex,2571338,743006,3314344,1548091,8775,1556866,773814,11949,156718,16230,0,958711,,,798767,1757478,,0,0,12.39
6158,禾昌,2016Q1,tpex,2508430,958268,3466698,580974,197313,778287,1134689,601391,634891,415277,-97837,2688411,,,,2688411,,0,4980000,24.78
6160,欣技,2016Q1,tpex,1048179,207266,1255445,248885,17786,266671,684891,1062,300196,2625,0,988774,,,0,988774,,0,0,14.44
6161,捷波,2016Q1,tpex,981485,909311,1890796,281384,109722,391106,1208333,145975,126461,36702,-17781,1499690,,,0,1499690,0,0,2000000,12.62
6163,華電網,2016Q1,tpex,2382932,481692,2864624,1519906,140457,1660363,1034817,204028,-2312,-4053,-28219,1204261,0,,0,1204261,0,0,2500000,11.93
6167,久正,2016Q1,tpex,991385,1078372,2069757,743235,390072,1133307,1621732,7903,-702741,9557,,936451,,,-1,936450,0,0,0,5.77
6169,昱泉,2016Q1,tpex,374463,189404,563867,77219,16907,94126,354738,275735,-168975,1769,-4969,458298,,,11443,469741,,0,334000,13.04
6170,統振,2016Q1,tpex,1632630,930377,2563007,645887,253098,898985,896701,109358,165662,9503,0,1181224,,,482798,1664022,0,0,0,13.17
6171,大城地產,2016Q1,tpex,1419303,4559,1423862,339979,,339979,753520,201784,128579,0,0,,,,,1083883,0,0,0,14.38
6173,信昌電,2016Q1,tpex,2300186,1593313,3893499,1064455,35825,1100280,1851163,461748,460623,44724,-25039,2793219,,,,2793219,0,0,2000000,15.25
6174,安碁,2016Q1,tpex,443183,232659,675842,80281,451,80732,500000,,94558,552,,595110,,,,595110,0,0,0,11.90
6175,立敦,2016Q1,tpex,1653787,1991597,3645384,1092403,276440,1368843,1378705,407616,229274,34083,-22898,2026780,,,249761,2276541,0,0,1802000,14.90
6179,亞通,2016Q1,tpex,1118479,163228,1281707,386995,191417,578412,501563,36268,164693,771,,703295,,,,703295,0,0,0,14.02
6180,橘子,2016Q1,tpex,4329258,4382284,8711542,3380688,2286937,5667625,1575936,696523,419103,13472,,2705034,,,338883,3043917,0,0,0,17.16
6182,合晶,2016Q1,tpex,5542002,9743576,15285578,4522298,3983075,8505373,4131733,2114726,68935,-137981,0,6177413,,,602792,6780205,0,0,0,14.95
6185,幃翔,2016Q1,tpex,2004054,863154,2867208,250775,299929,550704,1142869,33529,1007717,132389,,2316504,,,,2316504,0,0,0,20.27
6186,新潤,2016Q1,tpex,4501311,124543,4625854,2858818,353504,3212322,683555,239746,536945,,-46714,,,,,1413532,0,0,1656000,21.19
6187,萬潤,2016Q1,tpex,1610483,687138,2297621,525215,37326,562541,853359,380987,484393,16341,0,1735080,,,,1735080,0,0,0,20.33
6188,廣明,2016Q1,tpex,16340166,2382706,18722872,9710419,407522,10117941,2783589,1997244,3283017,541081,,8604931,,,0,8604931,,0,0,30.91
6190,萬泰科,2016Q1,tpex,2036310,1263801,3300111,1478135,298571,1776706,1207608,23690,59723,-2309,-18618,1270094,,,253311,1523405,0,0,2150000,10.71
6194,育富,2016Q1,tpex,2199447,326511,2525958,151767,37712,189479,800000,46578,1412674,77227,0,2336479,,,,2336479,0,0,0,29.21
6195,詩肯,2016Q1,tpex,652839,849768,1502607,263355,400150,663505,429829,58676,350597,0,0,,,,,839102,,0,0,19.52
6198,瑞築,2016Q1,tpex,93213,54900,148113,41443,695,42138,201354,6092,-106645,2690,0,103491,,,2484,105975,0,0,0,5.14
6199,天品,2016Q1,tpex,523838,212923,736761,29842,17133,46975,617600,684,65579,4981,0,688844,,,942,689786,0,0,0,11.15
