stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1599,宏佳騰,2023Q1,tpex,1349797,1404278,2754075,569199,334842,904041,745287,,418166,792076,-42115,-63380,1850034,,,,1850034,0,0,1500000,25.33
1742,台蠟,2023Q1,tpex,2011549,802159,2813708,1377869,144417,1522286,935593,,165098,194267,13244,-16780,1291422,,,,1291422,0,0,888000,13.94
1777,生泰,2023Q1,tpex,1547334,1274897,2822231,615561,75632,691193,445917,,983776,705656,-4311,,,0,,,2131038,0,0,0,47.79
1781,合世,2023Q1,tpex,476543,219523,696066,294008,44685,338693,474076,,8,-71647,-45064,,357373,,,,357373,0,0,0,7.54
1784,訊聯,2023Q1,tpex,793990,1049894,1843884,286721,240525,527246,496269,,609734,56385,-6398,-85782,1070208,,,246430,1316638,0,0,2675000,22.79
1785,光洋科,2023Q1,tpex,16683476,9622073,26305549,5706225,7220773,12926998,5968762,,4148886,3104230,-244925,,12976953,,,401598,13378551,,0,0,21.74
1788,杏昌,2023Q1,tpex,2816057,2067779,4883836,1408529,500233,1908762,855210,,1130866,993526,-4528,,2975074,,,,2975074,0,3600000,0,67.43
1796,金穎生技,2023Q1,tpex,387257,815734,1202991,290596,113232,403828,414598,,294336,92541,-2312,,799163,,,,799163,0,0,0,19.28
1799,易威,2023Q1,tpex,381360,744368,1125728,73458,335070,408528,1143658,,1111,-471020,14794,,688543,,,28657,717200,0,0,0,6.02
1813,寶利徠,2023Q1,tpex,495713,653179,1148892,335009,14443,349452,466355,,232761,110240,-16708,,792648,,,6792,799440,0,0,0,17.00
1815,富喬,2023Q1,tpex,4067490,9906076,13973566,1781689,4945544,6727233,4413675,,1859752,840691,132215,,7246333,,,,7246333,0,0,0,16.42
2035,唐榮公司,2023Q1,tpex,3347343,13971137,17318480,3062289,8532506,11594795,3500000,,46,2070662,152977,,,,,,5723685,,0,0,16.35
2061,風青,2023Q1,tpex,887869,242034,1129903,590757,34188,624945,466432,,30366,6480,1680,0,504958,,,,504958,0,0,0,10.83
2063,世鎧精密,2023Q1,tpex,1217636,582894,1800530,665861,194060,859921,495995,,194678,251054,-1118,,940609,,,,940609,,0,0,18.96
2064,晉椿,2023Q1,tpex,1185598,1409712,2595310,1422644,89049,1511693,696300,,101549,307297,-18048,-4104,1082994,,,623,1083617,0,0,300000,15.62
2065,世豐,2023Q1,tpex,1728422,1208931,2937353,1296097,163209,1459306,514046,,424597,473806,65598,,1478047,,,,1478047,,0,0,28.75
2066,世德,2023Q1,tpex,2489220,803042,3292262,927082,463199,1390281,408932,,307875,1142589,-1405,-45530,1812461,,,89520,1901981,0,0,747000,45.15
2067,嘉鋼,2023Q1,tpex,660646,1247150,1907796,853135,589317,1442452,451382,,0,-49579,-11244,,390559,,,74785,465344,,0,0,8.65
2070,精湛,2023Q1,tpex,632383,604177,1236560,278530,128156,406686,357828,,18833,473412,-20199,,829874,,,,829874,0,0,0,23.19
2073,雄順,2023Q1,tpex,187089,590200,777289,145327,211233,356560,249980,,19699,151099,-49,,,,,,420729,,0,0,16.83
2221,大甲,2023Q1,tpex,1239789,535126,1774915,389604,224798,614402,423250,0,51422,621438,-3665,0,1092445,0,,68068,1160513,0,0,0,25.81
2230,泰茂,2023Q1,tpex,839035,270181,1109216,145252,310048,455300,399132,,90389,163353,-13966,,638908,,,15008,653916,,0,0,16.01
2235,謚源,2023Q1,tpex,804467,1039787,1844254,400439,79982,480421,358780,,497802,507251,,,,,,,1363833,,0,0,38.01
2596,綠意,2023Q1,tpex,3562977,136353,3699330,1275353,,1275353,1000000,,189208,869007,0,,2058215,,,365762,2423977,,0,0,20.58
2640,大車隊,2023Q1,tpex,1211071,2031832,3242903,1000199,549332,1549531,592650,,505239,500571,-587,,1597873,,,95499,1693372,0,0,0,26.96
2641,正德,2023Q1,tpex,2109543,5756906,7866449,1339009,1514008,2853017,2396982,,1112700,1448553,55197,,5013432,,,,5013432,0,0,0,20.96
2643,捷迅,2023Q1,tpex,2123307,229109,2352416,615773,148887,764660,300000,,167687,1109948,10121,,1587756,,,,1587756,,0,0,52.93
2718,全心投控,2023Q1,tpex,3589627,636352,4225979,2232166,197643,2429809,845760,,642059,308157,194,,1796170,,,,1796170,0,0,0,21.24
2719,燦星旅,2023Q1,tpex,442670,246722,689392,92677,86569,179246,687421,,3417,-180692,,,510146,,,,510146,0,0,0,7.42
2724,藝舍-KY,2023Q1,tpex,283428,441342,724770,149615,338773,488388,596564,,0,-294090,-66092,,236382,,,,236382,0,0,0,3.96
2726,雅茗-KY,2023Q1,tpex,479315,307238,786553,283726,256614,540340,357852,,187517,-209213,-78219,-29605,228332,,,17881,246213,,0,444000,6.46
2729,瓦城,2023Q1,tpex,1011590,3308229,4319819,1086354,900295,1986649,313042,,1450565,674747,-28025,-86020,2324309,,,8861,2333170,0,0,373000,75.14
2732,六角,2023Q1,tpex,1958330,2442009,4400339,1589688,753438,2343126,464476,,1114092,302941,-35021,-96697,1749791,,,307422,2057213,,0,918000,38.43
2734,易飛網,2023Q1,tpex,727212,199929,927141,394238,192278,586516,422598,,53274,-178003,-3047,,294822,,,45803,340625,0,0,0,6.98
2736,富野,2023Q1,tpex,502269,1665230,2167499,475103,472599,947702,489923,,464530,308222,-64704,,1197971,,,21826,1219797,0,0,0,24.45
2740,華軒,2023Q1,tpex,177869,56308,234177,35463,11686,47149,231855,,256476,-300523,-780,,187028,,,,187028,0,0,0,8.07
2743,山富,2023Q1,tpex,1288573,305098,1593671,930438,48804,979242,360117,,192090,62222,,0,614429,,,,614429,,0,0,17.06
2745,五福,2023Q1,tpex,948818,206527,1155345,694850,31834,726684,338085,,244100,-153524,,,428661,,,,428661,,0,0,12.68
2752,豆府,2023Q1,tpex,1141006,748596,1889602,660307,318386,978693,262674,,376727,259577,-84,,898894,,,12015,910909,,0,0,34.22
2754,亞洲藏壽司,2023Q1,tpex,630011,3898164,4528175,861610,2078867,2940477,467172,,582933,537371,222,,1587698,,,,1587698,,2000,0,33.99
2755,揚秦,2023Q1,tpex,627421,780414,1407835,425311,297640,722951,220000,,155268,308886,730,,684884,,,,684884,,0,0,31.13
2756,聯發國際,2023Q1,tpex,577967,383171,961138,311581,148982,460563,204523,,148797,143033,4222,,500575,,,,500575,,0,0,24.48
2916,滿心,2023Q1,tpex,1056416,387282,1443698,441717,45082,486799,546269,,127250,293047,-9667,,,,,,956899,0,0,0,17.52
2924,宏太-KY,2023Q1,tpex,139066,109140,248206,67033,3281,70314,328051,,0,-106095,-44064,,177892,,,,177892,,0,0,5.42
2926,誠品生活,2023Q1,tpex,3444744,9469985,12914729,4028238,8228815,12257053,473897,,399232,-212156,-11360,,649613,,,8063,657676,0,0,0,13.71
2937,集雅社,2023Q1,tpex,1727121,634955,2362076,1516083,30578,1546661,379197,,101395,334823,,,815415,,,,815415,0,0,0,21.50
