stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
1618,合機,2016Q3,twse,2129361,2160991,4290352,260603,20710,281313,2408647,648415,1153995,-202018,0,4009039,,,0,4009039,0,0,0,16.64
1626,艾美特-KY,2016Q3,twse,4381105,2943958,7325063,3838254,761980,4600234,1228846,973740,551022,-47224,-1007,2705377,,,19452,2724829,38000,0,38000,22.03
1702,南僑,2016Q3,twse,7549915,10780021,18329936,5659211,7064402,12723613,2941330,640075,2678912,-269824,-530114,5460379,,,145944,5606323,0,0,46041259,22.01
1707,葡萄王,2016Q3,twse,2262652,6529434,8792086,2245474,1515363,3760837,1339502,608360,2296807,-19916,0,4224753,,,806496,5031249,0,0,0,31.54
1708,東鹼,2016Q3,twse,1956431,7484567,9440998,1504399,2679645,4184044,1918551,77194,3003709,54790,,5054244,,,202710,5256954,,0,0,26.34
1709,和益,2016Q3,twse,5790301,5148788,10939089,2507078,1255983,3763061,4377847,269146,2014157,116906,,6778056,,,397972,7176028,0,0,0,15.48
1710,東聯,2016Q3,twse,7352517,28600986,35953503,9197323,10920697,20118020,8857031,915681,3875976,39862,-187798,13500752,,,2334731,15835483,0,0,13753554,15.48
1711,永光,2016Q3,twse,6387970,7286829,13674799,4187274,1397352,5584626,5477522,473558,1592188,224140,,7767408,,,322765,8090173,0,0,0,14.18
1712,興農,2016Q3,twse,7354026,8164487,15518513,4821678,5189300,10010978,3470013,219266,1919132,-199041,0,5409370,,,98165,5507535,,0,0,15.59
1713,國化,2016Q3,twse,969100,1454143,2423243,40339,136859,177198,1509517,3167,729487,3874,0,,,,,2246045,0,0,0,14.88
1714,和桐,2016Q3,twse,16995758,12170225,29165983,11454578,3047446,14502024,9872074,40343,884830,307234,-143222,10961259,,,3702700,14663959,0,0,17965918,11.31
1717,長興,2016Q3,twse,29164136,21173419,50337555,12962019,15938353,28900372,11039425,359900,8511732,957971,,20869028,,,568155,21437183,,0,0,18.90
1720,生達,2016Q3,twse,2746880,3304392,6051272,1579768,390075,1969843,1786961,286763,1253973,284884,,3612581,,,468848,4081429,0,0,0,20.22
1721,國慶科技,2016Q3,twse,2307968,1825447,4133415,883501,883497,1766998,2223473,35888,106089,-4911,0,2360539,0,,5878,2366417,0,0,0,10.62
1722,台肥,2016Q3,twse,15954678,61086974,77041652,1999762,24487560,26487322,9800000,2232791,38184311,337228,,50554330,,,,50554330,0,0,0,51.59
1723,中碳,2016Q3,twse,3890614,5544597,9435211,2761744,146046,2907790,2369044,732979,3323457,-88337,-125656,6211487,,,315934,6527421,,0,5077537,26.79
1725,元禎,2016Q3,twse,4237612,713237,4950849,2335582,62733,2398315,1818300,1524,542223,200943,-10456,2552534,,,0,2552534,0,0,748000,14.10
1726,永記,2016Q3,twse,7266692,2172675,9439367,1070166,401899,1472065,1620000,109005,6330386,-92089,0,7967302,,,0,7967302,0,0,0,49.18
1727,中華化,2016Q3,twse,1070876,1202174,2273050,826185,20061,846246,1102500,9324,308265,-4573,0,1415516,,,11288,1426804,0,0,0,12.84
1730,花仙子,2016Q3,twse,1288623,567752,1856375,384510,220313,604823,569812,99067,415498,-6658,0,1077719,0,,173833,1251552,0,0,0,18.91
1731,美吾華,2016Q3,twse,1295378,1226502,2521880,616209,207601,823810,1329152,200259,180600,-11941,,1698070,,,,1698070,,0,0,12.78
1732,毛寶,2016Q3,twse,338059,231057,569116,118101,25918,144019,424439,2690,1477,-3509,,425097,,,,425097,,0,0,10.02
1733,五鼎,2016Q3,twse,1783928,1075070,2858998,642761,355451,998212,997267,245400,618730,-761,,1860636,,,150,1860786,,0,0,18.66
