stock_id,name,period,market,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
2719,燦星旅,2019Q1,tpex,554228,130619,684847,480903,46780,527683,362920,0,-201130,-575,-4051,157164,,,,157164,0,0,228000,4.36
2724,藝舍-KY,2019Q1,tpex,172926,2105456,2278382,492049,1763717,2255766,681723,198523,-856444,-1186,0,22616,0,,0,22616,,0,0,0.33
2726,雅茗-KY,2019Q1,tpex,1002057,784981,1787038,573319,441567,1014886,350053,264474,247126,-42658,-66763,752232,,,19920,772152,,0,909000,22.06
2729,瓦城,2019Q1,tpex,1032904,3881506,4914410,873011,1920346,2793357,232660,1210890,675845,-9931,,2109464,,,11589,2121053,0,0,0,90.67
2732,六角,2019Q1,tpex,1501874,1954399,3456273,822150,894523,1716673,382467,644607,353310,-25727,0,1354657,,,384943,1739600,,0,0,35.42
2734,易飛網,2019Q1,tpex,415956,236213,652169,239179,78619,317798,302598,217181,-192461,658,,327976,,,6395,334371,,0,0,10.84
2736,富野,2019Q1,tpex,315694,2406016,2721710,296420,1143426,1439846,489923,464530,315167,12244,,1281864,,,,1281864,,0,0,26.16
2740,華軒,2019Q1,tpex,85437,178737,264174,61054,101435,162489,180282,112161,-187676,-3082,0,101685,0,,0,101685,,0,0,5.64
2745,五福,2019Q1,tpex,1554236,206108,1760344,1169388,25807,1195195,293085,148157,123907,,,,,,,565149,,0,0,19.28
2752,豆府,2019Q1,tpex,527910,299580,827490,214572,126102,340674,164920,105516,214111,0,,484547,,,2269,486816,,0,0,29.38
2916,滿心,2019Q1,tpex,964853,350466,1315319,322103,46611,368714,546269,127250,280335,-7249,,,,,,946605,0,0,0,17.33
2924,宏太-KY,2019Q1,tpex,452796,290034,742830,270090,32087,302177,328051,265361,-124172,-28587,0,440653,0,,0,440653,,0,0,13.43
2926,誠品生活,2019Q1,tpex,3182979,14663876,17846855,4300074,12086996,16387070,473897,616351,364514,-15806,,1438956,,,20829,1459785,0,0,0,30.36
2937,集雅社,2019Q1,tpex,840531,221003,1061534,467972,29636,497608,328600,54779,180547,,,563926,,,,563926,0,0,0,17.16
3064,泰偉,2019Q1,tpex,376241,378838,755079,109386,213929,323315,841051,168000,-630870,11398,0,389579,,,42185,431764,0,0,0,4.63
3066,李洲,2019Q1,tpex,347570,936619,1284189,477282,162392,639674,830706,26660,-551322,166379,,472423,,,172092,644515,,0,0,5.69
3067,全域,2019Q1,tpex,92930,100007,192937,24276,6696,30972,290252,1860,-122893,-7254,0,161965,0,,0,161965,0,0,0,5.58
3071,協禧,2019Q1,tpex,2073712,714598,2788310,1085892,133278,1219170,1200000,33039,350589,-43839,,1539789,,,29351,1569140,0,0,0,12.83
3073,天方能源,2019Q1,tpex,131035,727404,858439,102877,485976,588853,464637,2026,-220874,-1619,,244170,,,25416,269586,,0,0,5.26
3078,僑威,2019Q1,tpex,5208314,1467705,6676019,1815920,296215,2112135,2273911,214286,2073192,2495,,4563884,,,,4563884,,0,0,20.07
