r,w,cagr,mdd,calmar,peak,trough
17,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
17,0.25,0.25689937457008405,-0.3178594906706892,0.8082167816604179,2024-07-11,2025-04-09
17,0.5,0.2719111531141607,-0.3616805376328554,0.7517992394442294,2024-07-08,2025-04-09
17,0.75,0.2855616147786091,-0.40568502787074856,0.7038998118254173,2021-12-08,2025-04-09
17,1.0,0.29808838460738407,-0.47862617363383453,0.6228000076640855,2021-12-08,2025-04-09
18,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
18,0.25,0.235192644318039,-0.32799040446703126,0.7170717225713228,2022-01-04,2022-10-25
18,0.5,0.23000559874623394,-0.3323675918064885,0.6920217386301253,2020-01-02,2020-03-19
18,0.75,0.22462707178829766,-0.35604125588287844,0.6309018072394112,2020-01-02,2020-03-19
18,1.0,0.21904144124513247,-0.37714922457546884,0.58078189473064,2020-01-02,2020-03-19
19,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
19,0.25,0.2572890868637068,-0.3263769840068564,0.7883187218198626,2022-01-04,2022-10-25
19,0.5,0.272615528430886,-0.32426677862462666,0.8407137159939148,2022-01-04,2022-10-25
19,0.75,0.2865263367192441,-0.344711515830284,0.8312061638820128,2018-07-13,2018-10-30
19,1.0,0.2992727792311123,-0.4211062390963251,0.7106823681200689,2018-07-12,2018-10-30
20,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
20,0.25,0.2707660061167292,-0.3086199763677982,0.8773443939158478,2024-07-11,2025-04-09
20,0.5,0.29615512673455213,-0.33614669232277306,0.8810294240532927,2024-07-11,2025-04-09
20,0.75,0.317933650496129,-0.3645855242153742,0.8720413438804382,2024-04-18,2025-04-09
20,1.0,0.33704168549962366,-0.39944647116465215,0.8437718438641427,2024-04-18,2025-04-09
21,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
21,0.25,0.3013689325381872,-0.3315353152742044,0.9090100470561716,2024-07-11,2025-04-09
21,0.5,0.3449993657578636,-0.3703104529932046,0.9316490068515418,2024-04-18,2025-04-09
21,0.75,0.3792011147461223,-0.40491496413396805,0.9364956801662232,2024-04-18,2025-04-09
21,1.0,0.40746248365972804,-0.4253112292621741,0.9580336836311379,2024-04-18,2025-04-09
22,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
22,0.25,0.22962296905870483,-0.30766060772187004,0.746351542236722,2022-01-04,2022-10-25
22,0.5,0.2182148244667408,-0.32966881045267166,0.6619213512103488,2024-07-11,2025-04-09
22,0.75,0.20582669063767556,-0.36160606420633945,0.5692014349632888,2024-07-11,2025-04-09
22,1.0,0.192261065438323,-0.3961127930076434,0.4853694928116425,2024-07-16,2025-04-09
23,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
23,0.25,0.26158770903719963,-0.3141229500930246,0.8327558013820158,2024-07-11,2025-04-09
23,0.5,0.2802915751052715,-0.34646448550282166,0.8090052136180311,2024-07-17,2025-04-09
23,0.75,0.29693935470717414,-0.36737881877091016,0.8082647652377024,2024-07-17,2025-04-09
23,1.0,0.31195791368689396,-0.38112847989489607,0.818511158685708,2024-07-17,2025-04-09
24,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
24,0.25,0.2603242197704698,-0.31190254739951234,0.8346331953391313,2020-01-14,2020-03-19
24,0.5,0.2780527472554688,-0.3386942644466036,0.8209549922842134,2020-01-14,2020-03-19
24,0.75,0.29392071201199,-0.364976886209024,0.8053132215163351,2020-01-20,2020-03-19
24,1.0,0.3082986907111769,-0.4302777841636533,0.716510826396553,2018-07-02,2018-10-11
25,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
25,0.25,0.24873375794685093,-0.35603431087833315,0.698622998814994,2024-07-11,2025-04-09
25,0.5,0.2568000663250749,-0.41265110919686604,0.6223176446196385,2024-07-17,2025-04-09
25,0.75,0.26445171891450014,-0.4555122411184659,0.5805589730479355,2024-07-17,2025-04-09
25,1.0,0.2717314289888211,-0.48584043770410473,0.5593017952003325,2024-07-17,2025-04-09
26,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
26,0.25,0.25281231883827604,-0.31934101273885784,0.7916688078051977,2024-07-11,2025-04-09
26,0.5,0.2644343575258137,-0.3680984153725731,0.7183795052694394,2022-01-04,2025-04-09
26,0.75,0.2752191342101433,-0.47002444448533753,0.5855421721980862,2021-12-29,2025-04-09
26,1.0,0.2852849612892274,-0.5394245666427169,0.5288690558993088,2021-12-29,2025-04-09
27,0.0,0.24020209886370614,-0.3395700527611012,0.7073712681980713,2022-01-17,2022-10-25
27,0.25,0.24113377628622135,-0.3176423560713491,0.7591360902513192,2020-01-14,2020-03-19
27,0.5,0.24205958752216472,-0.351167247620631,0.6893000106424041,2020-01-20,2020-03-19
27,0.75,0.24297961027191395,-0.3844796259499021,0.6319700547762558,2020-01-20,2020-03-19
