arm,seed,r,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades,hold_days
A1,102043,43,f17b25a38ecaf292958cf52f4cecaec8efb793ba55d6f621d9f485f67ce34e7f,15.964164451734607,15.779863935687398,0.34969556839582805,-0.3863900663606014,0.8732155284752534,0.8871002592912706,138,
A1,102044,44,b25868abb614327d674f4f2010fc80bfb44ec0a84ea1bc2efb5268a6699a2af2,16.190440800733857,16.003618105895242,0.3515912147523732,-0.48694871773077725,0.8686863798888889,0.8871002592912706,138,
A1,102045,45,77871c572085664b5d6760fc709386ab49c9304a5dd4240ea62a24add4b22d9d,20.006036391150825,19.77781026240718,0.3805963258603382,-0.4184659399310625,0.8676079354648302,0.8871002592912706,138,
A1,102046,46,cab5ea57763a1f141668b0d229b524ca0bba021ac061bf4253987362bfceaefb,20.415485074603,20.18270116234801,0.3834222336090414,-0.520473858384096,0.8722099192237284,0.8871002592912706,138,
A1,102047,47,23d1212fde38c49379c78a96c941553f5245ad4a9f6990966520dcd094af2280,13.005252229311612,12.853016713996416,0.3225698702721149,-0.48969729546088064,0.8675276170029694,0.8871002592912706,138,
A1,102048,48,e15c042f4890b03f74e889b278fe86f8570ea7c5ce5cd4c71dfbf51a0ff7871e,13.613152141887376,13.454338968049653,0.32853567085633895,-0.45111562250095566,0.8719499165925648,0.8871002592912706,138,
A1,102049,49,51ba1c981ccd9af8e6fdd1aef07d49f25672d0a0b017dfb59eef1b53653fe2fd,7.787452584494456,7.691933964008024,0.258858281245963,-0.43379318686599055,0.8713769895376278,0.8871002592912706,138,
A1,102050,50,676a1621ecfd26cf562549e57135c92b05d8c2ca0f82edb0a3d858795a1ac838,14.798251478842891,14.626522542702373,0.3395542785473671,-0.46217867424700926,0.8722302207550915,0.8871002592912706,138,
A1,102051,51,d1f105df4b62d207069fa14825b144a3b0cc8453bed0a65008268f32be497a1f,9.080496718693999,8.970974260526225,0.27729690711811084,-0.38848764991595064,0.8767578002568689,0.8871002592912706,138,
A1,102052,52,568a142680e17d0eb343ebf98c449cb0936025828d2cef82c87e86570aaab4a4,4.434113784883007,4.375037754436902,0.19637429231599457,-0.46681841111922795,0.8730015233206349,0.8871002592912706,138,
