stock_id,name,market,kind,first_seen,last_seen
00947,台新臺灣IC設計,twse,etf,2026-09-02,2026-09-02
00948B,中信優息投資級債,tpex,etf,2026-09-02,2026-09-02
00949,復華日本龍頭,twse,etf,2026-09-02,2026-09-02
00950B,凱基A級公司債,tpex,etf,2026-09-02,2026-09-02
00951,台新日本半導體,twse,etf,2026-09-02,2026-09-02
00952,凱基台灣AI50,twse,etf,2026-09-02,2026-09-02
00953B,群益優選非投等債,twse,etf,2026-09-02,2026-09-02
00954,中信日本半導體,twse,etf,2026-09-02,2026-09-02
00955,中信日本商社,tpex,etf,2026-09-02,2026-09-02
00956,中信日經高股息,twse,etf,2026-09-02,2026-09-02
00957B,兆豐US優選投等債,tpex,etf,2026-09-02,2026-09-02
00958B,永豐ESG銀行債15+,tpex,etf,2026-09-02,2026-09-02
00959B,大華投等美債15Y+,tpex,etf,2026-09-02,2026-09-02
00960,野村全球航運龍頭,twse,etf,2026-09-02,2026-09-02
00961,FT臺灣永續高息,twse,etf,2026-09-02,2026-09-02
00962,台新AI優息動能,twse,etf,2026-09-02,2026-09-02
00963,中信全球高股息,twse,etf,2026-09-02,2026-09-02
00964,中信亞太高股息,twse,etf,2026-09-02,2026-09-02
00965,元大航太防衛科技,twse,etf,2026-09-02,2026-09-02
00966B,統一ESG投等債15+,tpex,etf,2026-09-02,2026-09-02
00967B,元大優息美債,tpex,etf,2026-09-02,2026-09-02
00968B,元大優息投等債,tpex,etf,2026-09-02,2026-09-02
00969B,元大零息超長美債,tpex,etf,2026-09-02,2026-09-02
00970B,台新BBB投等債20+,tpex,etf,2026-09-02,2026-09-02
00971,野村美國研發龍頭,twse,etf,2026-09-02,2026-09-02
00972,野村日本動能高息,twse,etf,2026-09-02,2026-09-02
009800,中信NASDAQ,twse,etf,2026-09-02,2026-09-02
009801,中信美國創新科技,twse,etf,2026-09-02,2026-09-02
009802,富邦旗艦50,twse,etf,2026-09-02,2026-09-02
009803,玉山市值動能50,twse,etf,2026-09-02,2026-09-02
009804,聯邦台精彩50,twse,etf,2026-09-02,2026-09-02
009805,台新美國電力基建,twse,etf,2026-09-02,2026-09-02
009806,台新標普500,tpex,etf,2026-09-02,2026-09-02
009807,台新標普科技精選,tpex,etf,2026-09-02,2026-09-02
009808,華南永昌優選50,twse,etf,2026-09-02,2026-09-02
009809,富邦淨零ESG50,twse,etf,2026-09-02,2026-09-02
00980A,主動野村臺灣優選,twse,etf,2026-09-02,2026-09-02
