stock_id,name,market,kind,event_date,prev_trade_date,prev_close,close,ratio,missing_trading_days,adj_events_in_range,cause,limit_on_reopen,source_note,in_universe
00625K,富邦上証+R,twse,long_hole,2025-12-05,2025-10-14,8.87,8.7,0.980834,36,0,unknown,flat,,0
6236,中湛,tpex,long_hole,2025-12-26,2025-11-03,29.3,21.75,0.742321,37,0,unknown,down,,1
020011,統一微波高息20N,twse,long_hole,2026-01-05,2025-10-16,10.61,10.52,0.991517,53,0,unknown,flat,,0
020041,兆豐半導體氣候N,tpex,long_hole,2026-01-12,2025-10-15,6.8,8.69,1.277941,59,0,unknown,up,,0
8291,尚茂,tpex,long_hole,2026-02-25,2025-08-19,17.1,15.6,0.912281,122,0,unknown,,,1
6103,合邦,tpex,long_hole,2026-03-11,2026-01-27,34.95,37.4,1.070100,22,0,unknown,,,1
6236,中湛,tpex,long_hole,2026-04-14,2026-02-26,21.6,18,0.833333,29,0,unknown,down,,1
020011,統一微波高息20N,twse,long_hole,2026-05-28,2026-03-06,11.4,15.26,1.338596,55,0,unknown,flat,,0
1435,中福,twse,long_hole,2026-06-18,2026-04-28,12.85,14.1,1.097276,35,0,unknown,flat,,1
1591,駿吉-KY,tpex,long_hole,2026-07-22,2026-06-10,31.15,34.25,1.099518,27,0,unknown,up,,1
020011,統一微波高息20N,twse,long_hole,2026-08-05,2026-05-29,15.3,16.4,1.071895,45,0,unknown,flat,,0
6236,中湛,tpex,long_hole,2026-08-12,2026-07-07,17.05,15.35,0.900293,24,0,unknown,,,1
911613,特藝,tpex,price_jump,2016-03-02,2015-12-29,6.86,2.69,0.392128,37,0,unknown,flat,,0
4415,台原藥,tpex,price_jump,2017-11-22,2017-04-11,5.95,14.75,2.478992,156,0,unknown,down,,0
6131,鈞泰,twse,price_jump,2019-04-10,2018-05-17,13.35,3.42,0.256180,218,0,unknown,flat,,0
00643K,群益深証中小+R,twse,price_jump,2024-09-23,2021-11-23,4.49,2.32,0.516704,686,0,unknown,,,0
8101,華冠,twse,price_jump,2024-11-19,2024-08-21,1.9,10.45,5.500000,58,0,unknown,flat,,1
