stock_id,asof
5345,20260916
5347,20260916
5348,20260916
5349,20260916
5351,20260916
5353,20260916
5355,20260916
5356,20260916
5364,20260916
5371,20260916
5381,20260916
5383,20260916
5384,20260916
5386,20260916
5392,20260916
5395,20260916
5398,20260916
5403,20260916
5410,20260916
5425,20260916
5426,20260916
5432,20260916
5438,20260916
5439,20260916
5443,20260916
5450,20260916
5452,20260916
5455,20260916
5457,20260916
5460,20260916
5464,20260916
5465,20260916
5466,20260916
5468,20260916
5474,20260916
5475,20260916
5478,20260916
5480,20260916
5481,20260916
5483,20260916
5487,20260916
5488,20260916
5489,20260916
5490,20260916
5491,20260916
5493,20260916
5498,20260916
5505,20260916
5506,20260916
5508,20260916
5511,20260916
5512,20260916
5514,20260916
5516,20260916
5520,20260916
5523,20260916
5529,20260916
5530,20260916
5536,20260916
5543,20260916
5547,20260916
5548,20260916
5601,20260916
5603,20260916
5604,20260916
5609,20260916
5701,20260916
5703,20260916
5704,20260916
5820,20260916
5864,20260916
5878,20260916
5902,20260916
5903,20260916
5904,20260916
5905,20260916
6015,20260916
6016,20260916
6020,20260916
6021,20260916
6022,20260916
6023,20260916
6026,20260916
6028,20260916
6101,20260916
6103,20260916
6104,20260916
6105,20260916
6107,20260916
6109,20260916
6111,20260916
6113,20260916
6114,20260916
6118,20260916
6121,20260916
6122,20260916
6123,20260916
6124,20260916
6125,20260916
6126,20260916
6127,20260916
6129,20260916
6130,20260916
6134,20260916
6135,20260916
6138,20260916
6140,20260916
6143,20260916
6144,20260916
6146,20260916
6147,20260916
6148,20260916
6150,20260916
6151,20260916
6154,20260916
6156,20260916
6158,20260916
6160,20260916
6161,20260916
6163,20260916
6167,20260916
6169,20260916
6170,20260916
6171,20260916
6173,20260916
6174,20260916
6175,20260916
6179,20260916
6180,20260916
6182,20260916
6185,20260916
6186,20260916
6187,20260916
6188,20260916
6190,20260916
6194,20260916
6195,20260916
6198,20260916
6199,20260916
6203,20260916
6204,20260916
6207,20260916
6208,20260916
6210,20260916
6211,20260916
6212,20260916
6217,20260916
6218,20260916
6219,20260916
6220,20260916
6221,20260916
6222,20260916
6223,20260916
6227,20260916
6228,20260916
6229,20260916
6231,20260916
6233,20260916
6234,20260916
6236,20260916
6237,20260916
6238,20260916
6240,20260916
6241,20260916
6242,20260916
6244,20260916
6245,20260916
6246,20260916
6247,20260916
6248,20260916
6250,20260916
6259,20260916
6261,20260916
6263,20260916
6264,20260916
6265,20260916
6266,20260916
6270,20260916
6274,20260916
6275,20260916
6276,20260916
6279,20260916
6284,20260916
6287,20260916
6290,20260916
6291,20260916
6292,20260916
6294,20260916
6298,20260916
6404,20260916
6411,20260916
6417,20260916
6418,20260916
6419,20260916
6423,20260916
6425,20260916
6432,20260916
6435,20260916
6441,20260916
6457,20260916
6461,20260916
6462,20260916
6465,20260916
6469,20260916
6470,20260916
6474,20260916
6482,20260916
6485,20260916
6486,20260916
6488,20260916
6492,20260916
6494,20260916
6496,20260916
6497,20260916
6498,20260916
6499,20260916
6506,20260916
6508,20260916
6509,20260916
6510,20260916
6512,20260916
6514,20260916
6516,20260916
6517,20260916
6523,20260916
6527,20260916
6530,20260916
6532,20260916
6535,20260916
6538,20260916
6542,20260916
6546,20260916
6547,20260916
6548,20260916
6554,20260916
6556,20260916
6560,20260916
6561,20260916
6568,20260916
6569,20260916
6570,20260916
6574,20260916
6576,20260916
6577,20260916
6578,20260916
6584,20260916
6588,20260916
6590,20260916
6593,20260916
6594,20260916
6596,20260916
6597,20260916
6603,20260916
6609,20260916
6612,20260916
6613,20260916
6615,20260916
6616,20260916
6617,20260916
6620,20260916
6624,20260916
6629,20260916
6637,20260916
6640,20260916
6642,20260916
6643,20260916
6649,20260916
6651,20260916
6654,20260916
6661,20260916
6662,20260916
6664,20260916
6667,20260916
6679,20260916
6680,20260916
6683,20260916
6684,20260916
6690,20260916
6692,20260916
6693,20260916
6697,20260916
