stock_id,name,market,industry_code,industry_name,source,asof
7871,安立璽榮-KY,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7872,登豐,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7873,瑞峰,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7875,安圖斯,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7876,鼎晉生技,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7877,海利普,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7878,藥祇,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7879,益材科技,esb,05,電機機械,tpex-mopsfin-R:1150908,1150908
7880,聖凰,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7881,科明,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7882,倍利創投,esb,20,其他,tpex-mopsfin-R:1150908,1150908
7883,饗賓,esb,16,觀光餐旅,tpex-mopsfin-R:1150908,1150908
7885,宏羚,esb,31,其他電子業,tpex-mopsfin-R:1150908,1150908
7886,科建,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7887,宇川精材,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7888,麗寶新藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7889,騰勢,esb,02,食品工業,tpex-mopsfin-R:1150908,1150908
7890,明曜科技,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
7891,博研醫藥,esb,22,生技醫療業,tpex-mopsfin-R:1150908,1150908
7892,元鈦科,esb,25,電腦及週邊設備業,tpex-mopsfin-R:1150908,1150908
7893,睿信,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7894,瀚軒,esb,24,半導體業,tpex-mopsfin-R:1150908,1150908
7895,元進莊,esb,33,,tpex-mopsfin-R:1150908,1150908
7896,喬越,esb,28,電子零組件業,tpex-mopsfin-R:1150908,1150908
7897,禾迅綠電,esb,35,綠能環保,tpex-mopsfin-R:1150908,1150908
