stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof
1323,115,3,23.10,18.00,20.40,3627,56901553,2788908,3.05,20260909
1323,115,4,25.55,19.80,22.29,11088,236536687,10611085,11.62,20260909
1323,115,5,20.45,18.95,19.69,3595,50568705,2567233,2.81,20260909
1323,115,6,21.00,19.30,19.97,2445,48271598,2416711,2.64,20260909
1323,115,7,20.70,19.40,20.08,2171,33511358,1668289,1.82,20260909
1323,115,8,22.10,19.40,21.13,1891,29625094,1401914,1.53,20260909
1324,115,1,12.05,10.15,11.23,4584,40696528,3621206,4.82,20260909
1324,115,2,10.95,10.40,10.62,1595,7854549,739573,0.98,20260909
1324,115,3,11.95,10.25,10.90,4431,43337385,3975712,5.29,20260909
1324,115,4,13.25,10.55,11.69,6291,100293821,8573930,11.41,20260909
1324,115,5,10.65,10.10,10.25,2924,21482360,2094981,2.78,20260909
1324,115,6,10.90,10.15,10.48,2784,19720600,1881190,2.50,20260909
1324,115,7,11.00,9.94,10.42,3053,23882301,2290564,3.04,20260909
1324,115,8,10.25,9.87,10.04,1016,5008607,498853,0.66,20260909
1325,115,1,36.30,28.60,32.09,13543,716064715,22311246,26.16,20260909
1325,115,2,33.15,28.90,30.57,8201,316247262,10342442,12.12,20260909
1325,115,3,29.80,26.50,27.64,8471,194103514,7020394,8.23,20260909
1325,115,4,27.90,25.10,26.65,6434,125501789,4707648,5.52,20260909
1325,115,5,29.00,26.00,27.35,6988,270284130,9880957,11.58,20260909
1325,115,6,27.70,23.80,26.09,5912,201819625,7733759,9.06,20260909
1325,115,7,29.35,23.90,27.15,10811,394144261,14515807,17.02,20260909
1325,115,8,27.85,25.75,26.50,4684,143873328,5428667,6.36,20260909
1326,115,1,46.50,30.30,38.02,384107,29864034383,785353609,13.39,20260909
1326,115,2,52.00,38.50,44.34,310350,27797385253,626790141,10.69,20260909
