stock_id,name,susp_date,susp_time,resume_date,resume_time,days
042657,永豐EC,2016-03-30,8:00,2016-03-31,8:00,1
042701,D7富邦,2016-03-30,8:00,2016-03-31,8:00,1
042710,統一CE,2016-03-30,8:00,2016-03-31,8:00,1
042740,日盛B9,2016-03-30,8:00,2016-03-31,8:00,1
042803,群益GZ,2016-03-30,8:00,2016-03-31,8:00,1
042804,群益HA,2016-03-30,8:00,2016-03-31,8:00,1
042822,9C元富,2016-03-30,8:00,2016-03-31,8:00,1
042864,凱基M3,2016-03-30,8:00,2016-03-31,8:00,1
042870,9N元富,2016-03-30,8:00,2016-03-31,8:00,1
042887,元大2A,2016-03-30,8:00,2016-03-31,8:00,1
042916,元大2N,2016-03-30,8:00,2016-03-31,8:00,1
042997,元大6G,2016-03-30,8:00,2016-03-31,8:00,1
043019,元大21,2016-03-30,8:00,2016-03-31,8:00,1
043020,元大22,2016-03-30,8:00,2016-03-31,8:00,1
043027,亞東NK,2016-03-30,8:00,2016-03-31,8:00,1
043040,B4元富,2016-03-30,8:00,2016-03-31,8:00,1
043045,KT兆豐,2016-03-30,8:00,2016-03-31,8:00,1
043069,G7富邦,2016-03-30,8:00,2016-03-31,8:00,1
043070,G8富邦,2016-03-30,8:00,2016-03-31,8:00,1
043088,永昌M3,2016-03-30,8:00,2016-03-31,8:00,1
043089,永昌M4,2016-03-30,8:00,2016-03-31,8:00,1
043090,永昌M5,2016-03-30,8:00,2016-03-31,8:00,1
043205,LB兆豐,2016-03-30,8:00,2016-03-31,8:00,1
043232,群益KW,2016-03-30,8:00,2016-03-31,8:00,1
043290,大展L6,2016-03-30,8:00,2016-03-31,8:00,1
043302,凱基3J,2016-03-30,8:00,2016-03-31,8:00,1
043303,凱基3M,2016-03-30,8:00,2016-03-31,8:00,1
043325,康和DK,2016-03-30,8:00,2016-03-31,8:00,1
043405,永昌AL,2016-03-30,8:00,2016-03-31,8:00,1
043419,6I元大,2016-03-30,8:00,2016-03-31,8:00,1
043420,6K元大,2016-03-30,8:00,2016-03-31,8:00,1
043437,統一DM,2016-03-30,8:00,2016-03-31,8:00,1
043486,台新2H,2016-03-30,8:00,2016-03-31,8:00,1
043488,台新2J,2016-03-30,8:00,2016-03-31,8:00,1
043494,NQ中信,2016-03-30,8:00,2016-03-31,8:00,1
043505,J1元富,2016-03-30,8:00,2016-03-31,8:00,1
043516,永昌AW,2016-03-30,8:00,2016-03-31,8:00,1
043571,ME兆豐,2016-03-30,8:00,2016-03-31,8:00,1
043579,永豐IA,2016-03-30,8:00,2016-03-31,8:00,1
043599,玉山H5,2016-03-30,8:00,2016-03-31,8:00,1
043600,玉山H6,2016-03-30,8:00,2016-03-31,8:00,1
043609,3J第一,2016-03-30,8:00,2016-03-31,8:00,1
043611,日盛H4,2016-03-30,8:00,2016-03-31,8:00,1
043618,L2元富,2016-03-30,8:00,2016-03-31,8:00,1
043655,NT中信,2016-03-30,8:00,2016-03-31,8:00,1
043833,N4元富,2016-03-30,8:00,2016-03-31,8:00,1
043935,兆豐1H,2016-03-30,8:00,2016-03-31,8:00,1
043972,凱基8P,2016-03-30,8:00,2016-03-31,8:00,1
043983,群益3R,2016-03-30,8:00,2016-03-31,8:00,1
044028,凱基9H,2016-03-30,8:00,2016-03-31,8:00,1
044044,元大3Z,2016-03-30,8:00,2016-03-31,8:00,1
044056,台新3K,2016-03-30,8:00,2016-03-31,8:00,1
044059,中信13,2016-03-30,8:00,2016-03-31,8:00,1
044069,AY元富,2016-03-30,8:00,2016-03-31,8:00,1
044089,統一FJ,2016-03-30,8:00,2016-03-31,8:00,1
044113,兆豐1X,2016-03-30,8:00,2016-03-31,8:00,1
044137,群益4W,2016-03-30,8:00,2016-03-31,8:00,1
044171,大展M6,2016-03-30,8:00,2016-03-31,8:00,1
044179,宏遠05,2016-03-30,8:00,2016-03-31,8:00,1
044230,永豐LI,2016-03-30,8:00,2016-03-31,8:00,1
044282,永昌CE,2016-03-30,8:00,2016-03-31,8:00,1
044351,IQ國泰,2016-03-30,8:00,2016-03-31,8:00,1
044362,CU富邦,2016-03-30,8:00,2016-03-31,8:00,1
044370,統一FY,2016-03-30,8:00,2016-03-31,8:00,1
044418,兆豐4F,2016-03-30,8:00,2016-03-31,8:00,1
044421,玉山L7,2016-03-30,8:00,2016-03-31,8:00,1
044427,CZ富邦,2016-03-30,8:00,2016-03-31,8:00,1
044433,永豐LS,2016-03-30,8:00,2016-03-31,8:00,1
044444,中信33,2016-03-30,8:00,2016-03-31,8:00,1
044526,DL富邦,2016-03-30,8:00,2016-03-31,8:00,1
044548,群益7M,2016-03-30,8:00,2016-03-31,8:00,1
044549,群益7N,2016-03-30,8:00,2016-03-31,8:00,1
044603,元大7R,2016-03-30,8:00,2016-03-31,8:00,1
044604,元大7S,2016-03-30,8:00,2016-03-31,8:00,1
044661,統一GJ,2016-03-30,8:00,2016-03-31,8:00,1
044663,EE元富,2016-03-30,8:00,2016-03-31,8:00,1
044666,EH元富,2016-03-30,8:00,2016-03-31,8:00,1
044708,兆豐5P,2016-03-30,8:00,2016-03-31,8:00,1
044710,兆豐5R,2016-03-30,8:00,2016-03-31,8:00,1
