delist_date,stock_id,name,asof,market
2019-06-10,910708,恒大健-DR,2026-09-12,twse
2019-06-26,3579,尚志,2026-09-12,twse
2019-07-31,1566,捷邦國際科技股份有限公司,2026-09-12,tpex
2019-08-05,4180,安成國際藥業股份有限公司,2026-09-12,tpex
2019-08-19,911619,耀傑-DR,2026-09-12,twse
2019-09-02,3431,長天科技股份有限公司,2026-09-12,tpex
2019-09-17,2233,宇隆科技股份有限公司,2026-09-12,tpex
2019-09-30,5317,凱美電機股份有限公司,2026-09-12,tpex
2019-10-14,1262,綠悅-KY,2026-09-12,twse
2019-11-12,9157,陽光能源-DR,2026-09-12,twse
2019-11-29,1787,福盈科技化學股份有限公司,2026-09-12,tpex
2019-12-16,1795,美時化學製藥股份有限公司,2026-09-12,tpex
2019-12-16,4415,台原藥股份有限公司,2026-09-12,tpex
2020-01-09,5259,奕智博,2026-09-12,twse
2020-02-27,3562,頂晶科技股份有限公司,2026-09-12,tpex
2020-05-11,8287,英格爾科技股份有限公司,2026-09-12,tpex
2020-05-28,4947,昂寶電子股份有限公司,2026-09-12,tpex
2020-06-01,1902,台紙,2026-09-12,twse
2020-06-15,910482,聖馬丁-DR,2026-09-12,twse
2020-06-19,6238,勝麗國際股份有限公司,2026-09-12,tpex
2020-08-25,6497,亞獅康股份有限公司,2026-09-12,tpex
2020-10-30,4144,康聯-KY,2026-09-12,twse
2020-10-30,8497,格威傳媒,2026-09-12,twse
2020-11-04,5349,先豐通訊股份有限公司,2026-09-12,tpex
2020-11-10,2499,東貝,2026-09-12,twse
2020-11-17,1333,恩得利工業股份有限公司,2026-09-12,tpex
2020-11-18,8934,衡平股份有限公司,2026-09-12,tpex
2020-11-20,5304,鼎創達股份有限公司,2026-09-12,tpex
2020-11-30,5305,敦南,2026-09-12,twse
2020-12-23,1597,直得科技股份有限公司,2026-09-12,tpex
2021-01-06,2448,晶電,2026-09-12,twse
2021-01-06,3698,隆達,2026-09-12,twse
2021-01-15,5264,鎧勝-KY,2026-09-12,twse
2021-01-18,4725,信昌化,2026-09-12,twse
2021-01-19,6438,迅得機械股份有限公司,2026-09-12,tpex
2021-03-24,6426,統新光訊股份有限公司,2026-09-12,tpex
2021-04-01,6452,康友-KY,2026-09-12,twse
2021-05-13,3092,鴻碩精密電工股份有限公司,2026-09-12,tpex
2021-07-05,6131,鈞泰,2026-09-12,twse
2021-08-31,911616,杜康-DR,2026-09-12,twse
2021-09-03,911613,特藝石油能源有限公司,2026-09-12,tpex
2021-10-08,4152,台灣微脂體股份有限公司,2026-09-12,tpex
2021-10-22,2928,紅馬集團股份有限公司,2026-09-12,tpex
2021-11-01,1724,台硝,2026-09-12,twse
2021-12-13,912398,友佳-DR,2026-09-12,twse
2021-12-20,3144,新揚科技股份有限公司,2026-09-12,tpex
2021-12-27,4803,威馳克媒體集團股份有限公司,2026-09-12,tpex
2021-12-30,2823,中壽,2026-09-12,twse
2022-01-05,2456,奇力新,2026-09-12,twse
2022-01-19,1752,南光化學製藥股份有限公司,2026-09-12,tpex
2022-01-27,1592,英瑞-KY,2026-09-12,twse
2022-03-03,8427,基勝-KY,2026-09-12,twse
2022-03-08,5306,桂盟國際股份有限公司,2026-09-12,tpex
2022-03-18,9188,精熙-DR,2026-09-12,twse
2022-04-21,1507,永大,2026-09-12,twse
2022-04-29,8406,金可國際股份有限公司,2026-09-12,tpex
2022-05-03,4141,龍燈-KY,2026-09-12,twse
2022-05-31,4429,聚紡股份有限公司,2026-09-12,tpex
2022-06-27,2936,客思達-KY,2026-09-12,twse
2022-06-29,6172,互億,2026-09-12,twse
2022-07-15,5102,富強輪胎工廠股份有限公司,2026-09-12,tpex
2022-08-04,2841,台開,2026-09-12,twse
2022-08-25,6251,定穎,2026-09-12,twse
2022-09-21,3652,精聯電子股份有限公司,2026-09-12,tpex
2022-09-26,3383,新世紀,2026-09-12,twse
2022-09-26,6289,華上,2026-09-12,twse
2022-11-11,5820,日盛金融控股股份有限公司,2026-09-12,tpex
2022-12-21,8480,泰昇-KY,2026-09-12,twse
2023-02-10,6247,淇譽電子科技股份有限公司,2026-09-12,tpex
2023-04-01,6594,展匯科技股份有限公司,2026-09-12,tpex
2023-06-09,1258,其祥生物科技控股有限公司,2026-09-12,tpex
2023-06-26,3536,誠創,2026-09-12,twse
2023-06-27,3642,駿熠電子科技股份有限公司,2026-09-12,tpex
2023-10-31,5281,大峽谷半導體照明系統(開曼)股份有限公司,2026-09-12,tpex
2023-10-31,8476,台境企業股份有限公司,2026-09-12,tpex
2023-11-01,4944,兆遠科技股份有限公司,2026-09-12,tpex
2023-12-15,3682,亞太電,2026-09-12,twse
2023-12-19,6472,保瑞藥業股份有限公司,2026-09-12,tpex
2023-12-22,4736,泰博科技股份有限公司,2026-09-12,tpex
2024-01-25,6446,藥華醫藥股份有限公司,2026-09-12,tpex
2024-01-31,8418,捷必勝控股股份有限公司,2026-09-12,tpex
2024-03-04,3089,億杰科技股份有限公司,2026-09-12,tpex
2024-05-31,5383,金利精密工業股份有限公司,2026-09-12,tpex
2024-07-02,6404,中國通訊多媒體集團有限公司,2026-09-12,tpex
2024-09-02,1701,中化,2026-09-12,twse
2024-09-25,4712,福格創新股份有限公司,2026-09-12,tpex
2024-10-18,6514,芮特科技股份有限公司,2026-09-12,tpex
2024-11-19,2358,廷鑫,2026-09-12,twse
2024-11-19,2443,昶虹,2026-09-12,twse
2024-11-29,8420,明揚國際科技股份有限公司,2026-09-12,tpex
2025-01-01,6457,紘康科技股份有限公司,2026-09-12,tpex
2025-06-23,6287,元隆電子股份有限公司,2026-09-12,tpex
2025-07-21,3202,樺晟電子股份有限公司,2026-09-12,tpex
2025-07-21,6589,台康生技股份有限公司,2026-09-12,tpex
2025-07-24,2888,新光金,2026-09-12,twse
2025-08-15,6288,聯嘉光電,2026-09-12,twse
2025-09-08,4945,陞達科技股份有限公司,2026-09-12,tpex
2025-10-01,2809,京城銀,2026-09-12,twse
2025-12-04,6747,亨泰光學股份有限公司,2026-09-12,tpex
2026-01-22,6423,億而得-創,2026-09-12,twse
2026-03-27,3454,晶睿,2026-09-12,twse
2026-05-29,4987,科誠股份有限公司,2026-09-12,tpex
2026-06-08,3426,台興電子企業股份有限公司,2026-09-12,tpex
2026-06-23,6806,森崴能源,2026-09-12,twse
2026-07-16,5236,凌陽創新科技股份有限公司,2026-09-12,tpex
2026-07-28,4130,健亞生物科技股份有限公司,2026-09-12,tpex
2026-09-01,2867,三商壽,2026-09-12,twse
2026-09-03,5371,中強光電股份有限公司,2026-09-12,tpex
