arm,r,seed,cagr,mdd,vol,ca,ma,cb,mb,expo,x50_cagr,x50_mdd,x50_vol,trades,slot,maxw,first,end,eq_sha,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,drop_best_year,drop_best_geo,p2020-03,p2022,p2025-04,dd_單日暴跌型,dd_延續下跌型,dd_混合型,dd_n,x_new_n,x_tr_buys,x_tr_short,x_tr_blocked_days,x_tr_unbought,x_add_n,x_add_short,x_add_trig,x_add_blocked_days,x_trim_n,x_trim_blocked_days,x_mult_n,x_mult_short,x_rt_sell_events,x_rt_sell_n,x_rt_refill_events,x_rt_refill_n,x_rt_refill_short,x_rt_refill_fill_min,x_rt_blocked_days,x_cost_sell,x_buy_amt,x_mbar_nominal,x_mbar_actual,x_open_at_end,mbar,mbar_nominal,rt_cost_sell_pp_yr,rt_cost_refill_pp_yr,rt_cost_pp_yr
Ce,39,99039,0.26660885736733686,-0.3194983120338009,0.2337446825299297,0.2582518812367913,-0.3194983120338009,0.2700851971201137,-0.2573529241135107,0.7363365862807696,0.16163217236624483,-0.28075368706331266,0.1491285471766088,138,0.8871002592912706,0.4367699222140666,523,2837,c47a94fc2e8513366678a9564fc1678b9a98eb2e64bb1571f7292dfb66de162b,0.016163692878494507,-0.005142108733329542,0.5055744629417893,0.5936424087306769,0.35794048951267166,-0.14902883291387226,0.3968078767069634,-0.0968940869963606,0.4083094743104414,0.8700029817607984,2026,0.19992018021656266,-0.11942439465887034,-0.14902883291387226,-0.008755977250093472,0,0,4,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8120895391841423,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,40,99040,0.24271632181172476,-0.36124329426517815,0.2328927649188616,0.2761910074604679,-0.36124329426517815,0.21787176057638669,-0.3030999295641289,0.7213350262796923,0.1462572015915875,-0.28039923181985044,0.14471305537356316,138,0.8871002592912706,0.3402615091529862,523,2837,8a4126893a84e9f1fecd44bb7c8444482272983db8d7a9ce2fefe7cd939572f3,0.17035578071425284,-0.07707994124282258,0.42145888007998566,0.6684593049588408,0.9572335986952689,-0.1703137727463695,0.3978443316148639,-0.09963432460978827,0.28402926109213955,0.15719787690578335,2021,0.17760858177800976,-0.07535843220308025,-0.1703137727463695,0.015173765829466834,1,0,3,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8040307897609087,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,41,99041,0.24088839266234485,-0.36095490982155165,0.22432650507600085,0.19823042721189577,-0.36095490982155165,0.2680358752446841,-0.21208769209684064,0.721752333040536,0.14434408572259816,-0.2821765187938492,0.1451507779809295,138,0.8871002592912706,0.33572809267581427,523,2837,ceda4c3ed7051a51cb4445eee0935e3b884716b7ad51da035c8031e661b1ee3c,0.11021938639416984,-0.09560041369183303,0.3842047804767905,0.44534598051832264,0.46160461156271815,-0.06941357726454589,0.0682290959989611,0.046072613242774674,0.7133135292080046,0.46663617374223776,2025,0.1942549007968455,-0.13307195153468843,-0.06941357726454589,0.0875175286362222,1,0,2,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8029691460346696,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,42,99042,0.24233408311582916,-0.35379772327439724,0.22676108319376279,0.2536833700370358,-0.35379772327439724,0.23498709591471512,-0.2704183686990602,0.7153011966253651,0.15177651752532273,-0.28037019705437644,0.14433059970478718,138,0.8871002592912706,0.3647809198863167,523,2837,a949483cde1e267e148b031d3488b65570541e014ca22f58a84007d292dde428,0.07667162730880284,-0.0858862174228715,0.42018443655227444,0.7111825689018569,0.9324173474451756,-0.0542969514056868,0.5159886803097593,-0.1173283745202045,0.07056561178880427,0.23879280520414548,2021,0.1789844353958676,-0.11302726801348162,-0.0542969514056868,-0.006225497720092954,1,0,3,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.8026451380160633,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,43,99043,0.22417234521039187,-0.40674724350909347,0.23729309735338272,0.18734746588686257,-0.40674724350909347,0.24721379041419356,-0.2633774566208555,0.7274613198052031,0.1479509211794623,-0.27986862783806793,0.1473078532495813,138,0.8871002592912706,0.2709326281698173,523,2837,fad61d6b9e7f27325acaf1eac9cd18b08da2b443270c48c37126e3a736192fdc,0.10407960286989648,-0.11523079897630528,0.31179724973718437,0.5134227010470322,0.4320347228939676,-0.07033726172272459,0.48315785511453235,0.03883963984973415,0.1626022436890795,0.4594934599322311,2020,0.19389578964273335,-0.15943890602648048,-0.07033726172272459,-0.031862816791813575,0,0,4,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8088767602948715,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,44,99044,0.21823965599994666,-0.377977244335942,0.2308901173692107,0.2783296935165145,-0.377977244335942,0.17676744547769396,-0.3562785794181825,0.7296140165053071,0.15627140269142203,-0.2758026250961366,0.14734152032523057,138,0.8871002592912706,0.33787888365494867,523,2837,58240f2074a58f30738f47eb939bc8e6f59b75528d9f5139f0a967c4488d91ec,0.10430215705431412,-0.1262638574889241,0.7724657324547795,0.50761601528835,0.22398493815735798,-0.2039854591722885,0.21487716593592054,0.03586215088567002,0.11669178393023905,0.8263560169911248,2026,0.15396459043640798,-0.14594202834798686,-0.2039854591722885,-0.045583635932451294,0,0,3,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8105884730888913,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,45,99045,0.1894718083411142,-0.3700932422789881,0.22505584036417098,0.20814045464229136,-0.3700932422789881,0.17415148047198614,-0.27192442816545437,0.7147340598462798,0.1498267922045009,-0.27551861334683025,0.14421572588555084,138,0.8871002592912706,0.4097085456585642,523,2837,557608ab500c1433e87d9f44a2c2ea669544e365c7cdc0f5a55f87220a473d3e,0.07855876727342892,0.07128664587267597,0.385595355187883,0.29524738239464,0.9073093746847873,-0.08108419416930979,0.21278889582438598,-0.03550629156724339,0.0585588927741687,0.1433246655624445,2021,0.124758972551539,-0.15774110373310946,-0.08108419416930979,0.019847045973724997,0,0,2,2,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8115942028985508,0.8025418712835598,0.0,0.8115942028985508,0.8115942028985508,,,
Ce,46,99046,0.21892717248239868,-0.3735845907028388,0.23783006341335342,0.1855643937439111,-0.3735845907028388,0.2392682225513152,-0.2962920749154966,0.7233711136425074,0.15288291406870735,-0.2776166706261278,0.1459419133723773,138,0.8871002592912706,0.30380229751801197,523,2837,90eec54ab3ac274d6f20f4d0f6c83ba57be2fe75896a8635149c5abff88f0615,0.02972839618121137,-0.03566980060940339,0.37478233306919173,0.41239917683571226,0.16700037980079552,-0.16667150265131325,0.3814786934517209,-0.08403689209868481,0.3078228498152744,1.0888249487943673,2026,0.13719348366902673,-0.12022025053420249,-0.16667150265131325,-0.02974272033638614,1,0,3,4,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.81055529382959,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,47,99047,0.19085424274423146,-0.40911315347023364,0.23793805401784868,0.23103260883524368,-0.40911315347023364,0.1631589969726719,-0.3133868403916602,0.7298686439174894,0.1580290029038991,-0.27669490454221196,0.14701705405146823,138,0.8871002592912706,0.45163162598770173,523,2837,d41f4d5c2c8a5f6c8b28d9540926741460e4a1f2ad430a855a66ea560ed2d513,0.03999308391516965,0.036424136792783335,0.37430528955291353,0.5049822911069406,0.42382224303368665,-0.21539036703321734,0.13683826283717093,-0.06173615742951666,0.1518427606770001,0.7000368737772398,2026,0.1353846907195011,-0.11520316228268435,-0.21539036703321734,0.012115858863345874,1,0,2,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8134600412723048,0.0,0.8188405797101449,0.8188405797101449,,,
Ce,48,99048,0.13241965610683204,-0.3588545314172045,0.22565177271859369,0.19565860254197798,-0.3588545314172045,0.0880816783366205,-0.31268776475858256,0.7212467893176875,0.14783424822271063,-0.2813388325869304,0.14612831118456932,138,0.8871002592912706,0.422976093621291,523,2837,a265cbb360fb47027b283ce73bb783ed5a2bdbbed09fa1217bd33de433697fdc,0.022309977201917297,-0.09257196280248026,0.43068683477100933,0.5010759120083639,0.09314746052140954,-0.14220438298268512,0.35872972168688344,-0.13855273672826185,0.00504950988950803,0.4720416732651538,2020,0.09528239500811075,-0.19723844719012718,-0.14220438298268512,-0.016653802749408197,1,0,2,3,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8188405797101449,0.8112138350072019,0.0,0.8188405797101449,0.8188405797101449,,,
