cell,kind,version,r,seed,param,cagr,mdd,vol,expo,x_mult_short,n_rebal,ctrl_cost_total
Ba,mbar,pooled,31,99031,1.058940349087199,0.33593512439455053,-0.44798668968476696,0.28169884181347943,0.8761791116617504,23.0,,
Ba,mbar,paired,32,99032,1.062043795620438,0.18626593464076668,-0.4876794746834604,0.279051629232164,0.8862336690159175,27.0,,
Ba,mbar,median,32,99032,1.0583941605839415,0.18768326504055532,-0.4869499975351965,0.27945638147727186,0.8863992029223982,27.0,,
Ba,mbar,pooled,32,99032,1.058940349087199,0.18747344861828608,-0.4870592363374993,0.27939535146722677,0.8863751763166364,27.0,,
Ba,mbar,paired,33,99033,1.0693430656934306,0.3122983779294728,-0.4418320728575293,0.2695580738156354,0.878028969399505,28.0,,
Ba,mbar,median,33,99033,1.0583941605839415,0.3114191451185888,-0.44156507366355113,0.2690364291181295,0.8777220332479946,28.0,,
Ba,mbar,pooled,33,99033,1.058940349087199,0.311478535325028,-0.44157874588481116,0.2690633895983207,0.8777601759447821,28.0,,
Ba,mbar,paired,34,99034,1.0471014492753623,0.3298823208083006,-0.40619871038090954,0.2780148641778913,0.8771013910835481,24.0,,
Ba,mbar,median,34,99034,1.0583941605839415,0.3318469777149695,-0.40303357288079456,0.2785273166681841,0.8772280337055468,26.0,,
Ba,mbar,pooled,34,99034,1.058940349087199,0.33187407154002435,-0.4028803419993216,0.27854657682291856,0.877228521414006,26.0,,
Ba,mbar,paired,35,99035,1.032846715328467,0.36873719790832604,-0.4048055031773869,0.2793916569620505,0.8776103009909938,19.0,,
Ba,mbar,median,35,99035,1.0583941605839415,0.36092271269126774,-0.39726501299699,0.2799140313442407,0.882503010159003,22.0,,
Ba,mbar,pooled,35,99035,1.058940349087199,0.3608461023565315,-0.397104339289687,0.2798696700531913,0.8822216571534681,23.0,,
Ba,mbar,paired,36,99036,1.0474452554744524,0.297545939112003,-0.3971938156555433,0.27415181376164677,0.8892469400025751,24.0,,
Ba,mbar,median,36,99036,1.0583941605839415,0.2994766337451733,-0.39727408364417893,0.27460617572062845,0.8901801821643801,26.0,,
Ba,mbar,pooled,36,99036,1.058940349087199,0.2994826684722285,-0.3972727478221505,0.274592478570327,0.8902098230657404,26.0,,
Ba,mbar,paired,37,99037,1.0547445255474452,0.25787818667592344,-0.4122836301504813,0.262242514902305,0.8769042140869114,23.0,,
