cell,j,r,seed,cagr,mdd,vol
Cc,6,37,99037,0.24569198054358932,-0.39822613973867554,0.2641880048254127
Cc,6,38,99038,0.2907610216484209,-0.4097545885305374,0.2821007662600678
Cc,6,39,99039,0.2488906082397675,-0.36167132293155924,0.2632679027800837
Cc,6,40,99040,0.3619146880561026,-0.3768393732267838,0.27904934248882635
Cc,6,41,99041,0.3076161155900752,-0.36095490977850986,0.2719567096926588
Cc,6,42,99042,0.36834796836422457,-0.3784955630688599,0.2791738920835275
Cc,6,43,99043,0.34516420041527285,-0.40674719356092376,0.2811167754392961
Cc,6,44,99044,0.2621287549693354,-0.42811916186419224,0.2765882881005096
Cc,6,45,99045,0.25660567289352887,-0.45904526302765397,0.27302121048218514
Cc,6,46,99046,0.18404863780203717,-0.39741199759951573,0.2604666193341318
Cc,6,47,99047,0.18733085660985616,-0.4232972844501195,0.2611091565176207
Cc,6,48,99048,0.15229536687291723,-0.4207386327824953,0.2625081909299624
Cc,6,49,99049,0.26095036784528425,-0.42418379406253537,0.2695190947662255
Cc,7,0,99000,0.36179539539854444,-0.3598802145907246,0.2788856357117896
Cc,7,1,99001,0.2829479699117248,-0.42673481247765555,0.2886971011308106
Cc,7,2,99002,0.29136355998364594,-0.4176601167589176,0.28348183174268987
Cc,7,3,99003,0.2809012365967092,-0.47426523059660863,0.28658021438177467
Cc,7,4,99004,0.28460789063230907,-0.43776962019373106,0.2694494914201155
Cc,7,5,99005,0.31123441749076464,-0.3739646034534576,0.2777479636373343
Cc,7,6,99006,0.3761255860891073,-0.39542356939012396,0.27313357818679795
Cc,7,7,99007,0.26438950036615094,-0.4076352429361897,0.26165258109067996
Cc,7,8,99008,0.3408400388876798,-0.39954045694944423,0.27387070525945184
Cc,7,9,99009,0.37122628023723214,-0.39929999491162116,0.28494909146833963
Cc,7,10,99010,0.29307872430210113,-0.48271764045897325,0.2723813559130016
Cc,7,11,99011,0.25056447919681846,-0.4096642734101153,0.2571128970738333
Cc,7,12,99012,0.23527084439340906,-0.4355054512592642,0.272812546671759
Cc,7,13,99013,0.2732908420444564,-0.41376300189581555,0.26542309547824655
Cc,7,14,99014,0.2039144088769307,-0.40841579308228104,0.2632805701302231
Cc,7,15,99015,0.16323456226677213,-0.42170464879948844,0.265607260131687
Cc,7,16,99016,0.28199633996227047,-0.35449353733756717,0.26283818984292895
Cc,7,17,99017,0.2027487435333406,-0.492707758161843,0.2631288184959906
Cc,7,18,99018,0.3444284239077444,-0.38685506223789307,0.2794849575662227
Cc,7,19,99019,0.2765130993496543,-0.45819853120104065,0.28777110816602525
Cc,7,20,99020,0.2724629536712222,-0.41441621214321583,0.27070062960416286
Cc,7,21,99021,0.17000882753189295,-0.46651005731528383,0.25498666020059735
Cc,7,22,99022,0.31470844362775785,-0.4123122140349775,0.26028902570299817
Cc,7,23,99023,0.25756135360486065,-0.36028934681395786,0.2598054565170004
Cc,7,24,99024,0.31867174624929273,-0.4526202997456105,0.2943925286833631
Cc,7,25,99025,0.2105100909652733,-0.3942453488342763,0.2653387194973234
Cc,7,26,99026,0.2941766521156093,-0.48680753939496496,0.2736228704761817
Cc,7,27,99027,0.2799561859280868,-0.44078715326762846,0.2767872989795082
Cc,7,28,99028,0.37038292077980417,-0.425829655698579,0.2838129277095856
Cc,7,29,99029,0.1643321190081899,-0.4244046787316119,0.2605399147524228
Cc,7,30,99030,0.2902931249775478,-0.38273636659747495,0.2786789269772905
Cc,7,31,99031,0.305817054003237,-0.4186168928487646,0.2731450550214629
Cc,7,32,99032,0.25686803195537533,-0.41605381640084055,0.27522187590459113
Cc,7,33,99033,0.26386906971581636,-0.5163636146536863,0.27952841179528454
Cc,7,34,99034,0.3256610639397093,-0.4429490325556292,0.2710101085295253
Cc,7,35,99035,0.25309529464571345,-0.5333488815488784,0.26575013302931516
Cc,7,36,99036,0.20748366274790264,-0.5095765786575758,0.2704865353378053
Cc,7,37,99037,0.22584125138059274,-0.4121475323896591,0.26578558456535745
Cc,7,38,99038,0.3705372502683364,-0.4451096585698769,0.29068139585422403
Cc,7,39,99039,0.3384431975063875,-0.3479559920687227,0.25567468033197205
Cc,7,40,99040,0.29832013860735573,-0.48912359520712284,0.30597074958713105
Cc,7,41,99041,0.3645330445102868,-0.4840144130420952,0.2999053956461993
Cc,7,42,99042,0.2139617110717209,-0.41085221412193423,0.2569192474642978
Cc,7,43,99043,0.3073968878655211,-0.37457626745367156,0.2671741487026142
Cc,7,44,99044,0.2576201934521012,-0.4177360389926343,0.2705668867330583
Cc,7,45,99045,0.20075834392941072,-0.3808206919397094,0.2539977292578967
Cc,7,46,99046,0.36000760884055216,-0.4126090639735442,0.2769617321194093
Cc,7,47,99047,0.34644419560798156,-0.36981862516602215,0.26844694438479394
Cc,7,48,99048,0.21578091992385628,-0.4566422679486675,0.2751745920757441
Cc,7,49,99049,0.19007008190292707,-0.41284866139924126,0.2748524182714236
Cc,8,0,99000,0.14004937300089226,-0.4264865440218765,0.2503837169702133
Cc,8,1,99001,0.1585715830361576,-0.444520140587689,0.26522869644138886
Cc,8,2,99002,0.29030216612017856,-0.5043891729643656,0.27948887652968235
Cc,8,3,99003,0.2809039289246025,-0.4576553913488402,0.28442765232100403
Cc,8,4,99004,0.3571067666236467,-0.41246773583698315,0.27129368382865704
Cc,8,5,99005,0.286893200342176,-0.48513900261147413,0.2777104089713307
Cc,8,6,99006,0.25702302689381384,-0.39985724722516275,0.2726948102771748
