seed,j,cagr,mdd
102008,6,0.14911183355596602,-0.33164761047667
102008,7,0.12514088395902623,-0.31844627103261935
102008,8,0.2278835563254613,-0.376038775682395
102008,9,0.09545886848052776,-0.384810637461
102008,10,0.15059850561395982,-0.4837826971723894
102008,11,0.07828425619071067,-0.4053906849686069
102008,12,0.18635975117963333,-0.3058990928596433
102008,13,0.15889876544364645,-0.3519873023075652
102008,14,0.11266236401764651,-0.49104120960505226
102008,15,0.09150439493669782,-0.4083626485518378
102008,16,0.13303977015587343,-0.3514627016569654
102008,17,0.10180507151205598,-0.3169436859289187
102008,18,0.09546285454769077,-0.34499063808359914
102008,19,0.11958351984069959,-0.4552520767508069
102008,20,0.13210257036751338,-0.4794649746188077
102008,21,0.13712606277759587,-0.30755943351569354
102008,22,0.1645996351262089,-0.4215279108500987
102008,23,0.1556916327227149,-0.39781019429511355
102008,24,0.10202073136896961,-0.39946754097207415
102008,25,0.25838189292304525,-0.36076860900115215
102008,26,0.12319290644061542,-0.3557438376640182
102008,27,0.16516260403200977,-0.45089141425013773
102008,28,0.16615699921914628,-0.3195456146325234
102008,29,0.11999309390760682,-0.4063099231422189
102008,30,0.11558861595958869,-0.3762503099866771
102009,1,0.11105649845541654,-0.3133566499457637
102009,2,0.1096197847235274,-0.44467704456963864
102009,3,0.09546154458098544,-0.3516533146941758
102009,4,0.07090182227707054,-0.34095743106991183
102009,5,0.07645002030980974,-0.40845423941235387
102009,6,0.14017025212747014,-0.3512233005557015
102009,7,0.06742570352726496,-0.46268024137426267
102009,8,0.11278220902050307,-0.42293623095706273
102009,9,0.11507099666524168,-0.43464687948931413
102009,10,0.08193038316685675,-0.5000912946339743
102009,11,0.13881017918833383,-0.2879718174327165
102009,12,0.1625811711261962,-0.2846024703573513
102009,13,0.019268052105154698,-0.5758345213220131
102009,14,0.06620331423943604,-0.4383403676037772
102009,15,0.00997693799587629,-0.542792705864603
102009,16,0.11285119608652705,-0.3374187964968777
102009,17,0.09782155817289984,-0.4019678573404841
102009,18,0.13480986056870714,-0.308679099491147
102009,19,0.05816967687400476,-0.5116059904867698
102009,20,0.09259806972469597,-0.5050841940599062
102009,21,0.07615783867670323,-0.3576724579550199
102009,22,0.1238035647634359,-0.30396895834536136
102009,23,0.1400112613082083,-0.39551855927351454
102009,24,0.11533776840519128,-0.4451094382434747
102009,25,0.046251271869615085,-0.42982637545772945
102009,26,0.14963577987394827,-0.2994751384187039
102009,27,0.09491415821272287,-0.513265785277378
102009,28,0.15465113924387985,-0.28911002120481033
102009,29,0.08702045350503895,-0.3903652909531875
102009,30,0.1163619371459732,-0.3338090917820494
102010,1,0.13488930523453257,-0.4192192476383733
102010,2,0.08711315638745298,-0.3305712487440024
102010,3,0.07362695923746387,-0.4249499327137315
102010,4,0.1262645652262031,-0.42784129978908164
102010,5,0.08948896924625482,-0.39420547845174203
102010,6,0.127386309596077,-0.43157325000000224
