seed,arm,cagr,mdd
102087,碎形k3,0.13919795813346147,-0.3361037772270217
102088,碎形k3,0.18749238549461422,-0.41592522111824654
102089,碎形k3,0.14011335893151133,-0.5723756624563378
102090,碎形k3,0.14745886352665094,-0.373349373329933
102091,碎形k3,0.148936820927706,-0.5372053942806709
102092,碎形k3,0.08612482369717767,-0.46040842844715185
102093,碎形k3,0.27130227252858097,-0.4682900081835926
102094,碎形k3,0.16145271788173798,-0.4077928328238007
102095,碎形k3,0.1597200888230743,-0.44511635233926994
102096,碎形k3,0.10757888177301478,-0.5190821009994585
102097,碎形k3,0.16138483889999344,-0.4164525859865999
102098,碎形k3,0.08718487077953552,-0.5610721473668846
102099,碎形k3,0.07492586089628861,-0.3974325629154334
102100,碎形k3,0.18964165634765018,-0.41189338083852406
102101,碎形k3,0.13528616370614732,-0.4287974247449708
102102,碎形k3,0.2116837627083461,-0.36966282561877845
102103,碎形k3,0.19658066139764951,-0.5806188501885575
102104,碎形k3,0.13250302453348595,-0.3798378971209315
102105,碎形k3,0.12916237232035543,-0.4332080222129096
102106,碎形k3,0.029526159524223772,-0.613999557617839
102107,碎形k3,0.11852348145450864,-0.4051442526676022
102108,碎形k3,0.11228105918847242,-0.4671337219299735
102109,碎形k3,0.2047212970202985,-0.45975391112240377
102110,碎形k3,0.11586469908711705,-0.460927981622833
102111,碎形k3,0.10003383729483417,-0.39621962176881637
102112,碎形k3,0.3195052333749975,-0.29127084771941464
102113,碎形k3,0.11836436296503128,-0.3603226019005141
102114,碎形k3,0.1474302984574194,-0.3155782513879555
102115,碎形k3,0.15417024384058098,-0.40120796532011493
102116,碎形k3,0.13356292209704712,-0.40177637190916254
102117,碎形k3,0.09532807745572991,-0.40310216316421893
102118,碎形k3,0.11005334260855792,-0.4007351379862199
102119,碎形k3,0.14245624801584933,-0.5130191882521153
102120,碎形k3,0.14714176435954074,-0.3503044142150666
102121,碎形k3,0.1401712449777457,-0.5631387851997958
102122,碎形k3,0.1613449970232228,-0.5140585638662845
102123,碎形k3,0.06368896668383761,-0.4682635884753399
102124,碎形k3,0.07585957240303065,-0.5051464607824901
102125,碎形k3,0.21383553207352568,-0.28405591670167973
102126,碎形k3,0.11772910543260107,-0.37480553438284775
102127,碎形k3,0.12237240296770246,-0.3213772532131467
102128,碎形k3,0.12889017115404622,-0.40956451585731873
102129,碎形k3,0.05222422995718645,-0.4456990688572366
102130,碎形k3,0.09983728716943352,-0.42710339416384224
102131,碎形k3,0.1976107446579174,-0.37606339258685284
102132,碎形k3,0.14930416410538028,-0.39787381281871265
102133,碎形k3,0.1395615673889301,-0.3445387265125425
102134,碎形k3,0.04856471531340545,-0.5366481144512181
102135,碎形k3,0.09175199961754399,-0.401889357604763
102136,碎形k3,0.2421471810450293,-0.4915407003422594
102137,碎形k3,0.17750797529250484,-0.5282510592307804
102138,碎形k3,0.20976008769373156,-0.39165837447407326
102139,碎形k3,0.07623717783273265,-0.5200650991331552
102140,碎形k3,0.06741454921006129,-0.47204756813339366
102141,碎形k3,0.11141252880643315,-0.3767490982029798
102142,碎形k3,0.05777778164912384,-0.4608646634031138
102143,碎形k3,0.2026326401867229,-0.4983203651994682
102144,碎形k3,0.09704426391899057,-0.4736391669355476
102145,碎形k3,0.08660616032414437,-0.4867642418284113
102146,碎形k3,0.11090138178049158,-0.41297081903742555
