date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2015-12-11,1307,-48000,0,34000,-14000,34000,0
2015-12-14,1307,5000,335,-17000,-11665,1000,-18000
2015-12-15,1307,-37000,0,-2000,-39000,-2000,0
2015-12-16,1307,18000,0,13000,31000,8000,5000
2015-12-17,1307,-16267,0,-4000,-20267,1000,-5000
2015-12-18,1307,39000,0,1000,40000,1000,0
2015-12-21,1307,67000,0,0,67000,0,0
2015-12-22,1307,17000,0,-1000,16000,0,-1000
2015-12-23,1307,64000,0,-1000,63000,-3000,2000
2015-12-24,1307,-57000,0,2000,-55000,2000,0
2015-12-25,1307,-14000,0,-3000,-17000,-3000,0
2015-12-28,1307,-32000,0,0,-32000,0,0
2015-12-29,1307,15000,-2000,1000,14000,1000,0
2015-12-30,1307,-7290,0,-4000,-11290,0,-4000
2015-12-31,1307,-6000,0,1000,-5000,1000,0
2016-01-04,1307,-27000,0,2000,-25000,7000,-5000
2016-01-05,1307,-224000,0,-6150,-230150,0,-6150
2016-01-06,1307,-78000,0,2000,-76000,2000,0
2016-01-07,1307,-260671,0,3000,-257671,6000,-3000
2016-01-08,1307,5000,-19000,0,-14000,0,0
2016-01-11,1307,3000,-20000,-1000,-18000,1000,-2000
2016-01-12,1307,-173000,-20000,-14000,-207000,-14000,0
2016-01-13,1307,-22000,0,0,-22000,0,0
2016-01-14,1307,-128000,0,-1000,-129000,5000,-6000
2016-01-15,1307,-3000,-2000,-2000,-7000,0,-2000
2016-01-18,1307,19000,0,-2000,17000,-2000,0
2016-01-19,1307,-120000,0,-12000,-132000,-12000,0
2016-01-20,1307,-146620,-2000,-2000,-150620,-2000,0
2016-01-21,1307,-29920,0,-3000,-32920,-3000,0
2016-01-22,1307,-109000,0,0,-109000,0,0
2016-01-25,1307,-77000,0,-1000,-78000,0,-1000
2016-01-26,1307,-70959,0,-6000,-76959,-6000,0
2016-01-27,1307,-155000,0,0,-155000,0,0
2016-01-28,1307,-166000,0,0,-166000,0,0
2016-01-29,1307,-860000,0,-20000,-880000,-21000,1000
2016-01-30,1307,-4000,3000,-2000,-3000,-2000,0
2016-02-01,1307,-105000,0,0,-105000,0,0
2016-02-02,1307,-217000,0,0,-217000,0,0
2016-02-03,1307,-148000,0,-6000,-154000,-2000,-4000
2016-02-15,1307,-5000,-310,0,-5310,0,0
2016-02-16,1307,-65000,0,-6000,-71000,-3000,-3000
2016-02-17,1307,156000,0,1000,157000,1000,0
2016-02-18,1307,-14030,0,5000,-9030,0,5000
2016-02-19,1307,-24000,0,-6000,-30000,0,-6000
2016-02-22,1307,-53000,0,-2000,-55000,-1000,-1000
2016-02-23,1307,-21000,0,-2000,-23000,-2000,0
2016-02-24,1307,-80000,-48410,-1000,-129410,0,-1000
2016-02-25,1307,27000,-50000,0,-23000,0,0
2016-02-26,1307,-25000,-50000,0,-75000,0,0
2016-03-01,1307,17400,0,0,17400,0,0
2016-03-02,1307,-11030,0,0,-11030,0,0
2016-03-03,1307,38000,0,0,38000,0,0
2016-03-04,1307,24000,0,16000,40000,0,16000
2016-03-07,1307,-141481,0,-2000,-143481,0,-2000
2016-03-08,1307,-19000,0,19010,10,20000,-990
2016-03-09,1307,-98000,0,6000,-92000,6000,0
2016-03-10,1307,-11000,0,-14000,-25000,0,-14000
2016-03-11,1307,-50000,0,3000,-47000,3000,0
2016-03-14,1307,-1000,0,0,-1000,0,0
2016-03-15,1307,-48000,0,1000,-47000,1000,0
2016-03-16,1307,40000,0,6000,46000,6000,0
2016-03-17,1307,-36000,0,-3000,-39000,-3000,0
2016-03-18,1307,41000,0,-22000,19000,-32000,10000
2016-03-21,1307,-41000,0,-900,-41900,0,-900
2016-03-22,1307,-99000,113000,0,14000,0,0
2016-03-23,1307,-22000,120000,1000,99000,1000,0
2016-03-24,1307,122000,40000,-10000,152000,0,-10000
2016-03-25,1307,-35000,159000,0,124000,0,0
2016-03-28,1307,33000,0,1000,34000,1000,0
2016-03-29,1307,-5000,0,3000,-2000,3000,0
2016-03-30,1307,-73780,0,0,-73780,0,0
2016-03-31,1307,-39940,0,0,-39940,0,0
2016-04-01,1307,-1000,0,0,-1000,0,0
2016-04-06,1307,-40000,0,-2000,-42000,-2000,0
2016-04-07,1307,40999,0,0,40999,0,0
2016-04-08,1307,8000,0,0,8000,0,0
2016-04-11,1307,20000,0,0,20000,0,0
2016-04-12,1307,-111000,0,1820,-109180,1820,0
2016-04-13,1307,-45881,0,0,-45881,0,0
2016-04-14,1307,20000,0,0,20000,0,0
2016-04-15,1307,180000,-7000,-1000,172000,-1000,0
2016-04-18,1307,-102000,0,0,-102000,0,0
2016-04-19,1307,-59000,0,0,-59000,0,0
2016-04-20,1307,36000,0,-6000,30000,-6000,0
2016-04-21,1307,-31000,0,2000,-29000,2000,0
2016-04-22,1307,-86000,0,0,-86000,0,0
2016-04-25,1307,80000,0,-2000,78000,-2000,0
2016-04-26,1307,-17000,0,2000,-15000,2000,0
2016-04-27,1307,-27000,0,0,-27000,0,0
2016-04-28,1307,-27000,0,-8000,-35000,-8000,0
