stock_id,rows,first,last
1104,2839,2015-01-05,2026-09-03
1108,2671,2015-01-05,2026-09-03
1109,2502,2015-01-05,2026-09-03
1110,2463,2015-01-05,2026-09-03
1201,2841,2015-01-05,2026-09-03
1203,2555,2015-01-05,2026-09-03
1210,2844,2015-01-05,2026-09-03
1213,693,2015-01-05,2026-08-24
1215,2843,2015-01-05,2026-09-03
1216,2843,2015-01-05,2026-09-03
1217,2837,2015-01-05,2026-09-03
1218,2839,2015-01-05,2026-09-03
1219,2490,2015-01-05,2026-09-03
1220,2408,2015-01-05,2026-09-03
1225,2509,2015-01-05,2026-09-03
1227,2841,2015-01-05,2026-09-03
1229,2840,2015-01-05,2026-09-03
1231,2818,2015-01-05,2026-09-03
1232,2756,2015-01-05,2026-09-03
1233,2043,2015-01-05,2026-09-03
1234,2748,2015-01-05,2026-09-03
1235,2104,2015-01-05,2026-09-03
1236,1879,2015-01-05,2026-09-03
1256,2381,2016-03-17,2026-09-03
1262,1162,2015-01-05,2019-10-07
1301,2844,2015-01-05,2026-09-03
1303,2844,2015-01-05,2026-09-03
1304,2840,2015-01-05,2026-09-03
1305,2844,2015-01-05,2026-09-03
1307,2819,2015-01-05,2026-09-03
1308,2839,2015-01-05,2026-09-03
1309,2832,2015-01-05,2026-09-03
1310,2844,2015-01-05,2026-09-03
1312,2844,2015-01-05,2026-09-03
1312A,884,2017-02-23,2023-11-28
1313,2844,2015-01-05,2026-09-03
1314,2842,2015-01-05,2026-09-03
1315,2276,2015-01-05,2026-09-03
1316,2665,2015-01-05,2026-09-03
1319,2844,2015-01-05,2026-09-03
1321,2793,2015-01-05,2026-09-03
1323,2774,2015-01-05,2026-09-03
1324,2006,2015-01-05,2026-09-02
1325,2223,2015-01-05,2026-09-03
1326,2844,2015-01-05,2026-09-03
1337,2835,2015-01-05,2026-09-03
1338,2840,2015-01-05,2026-09-03
1339,2745,2015-01-05,2026-09-03
1340,2838,2015-01-05,2026-09-03
1341,1092,2018-12-28,2026-09-03
1342,1375,2020-11-25,2026-09-03
1402,2844,2015-01-05,2026-09-03
1409,2840,2015-01-05,2026-09-03
1410,2085,2015-01-05,2026-09-03
1413,2341,2015-01-05,2026-09-03
1414,2642,2015-01-05,2026-09-03
1416,2696,2015-01-05,2026-09-03
1417,2760,2015-01-05,2026-09-03
1418,1173,2015-01-05,2026-09-03
1419,2587,2015-01-05,2026-09-03
1423,2440,2015-01-05,2026-09-02
1432,2575,2015-01-05,2026-09-03
1434,2842,2015-01-05,2026-09-03
1435,1574,2015-01-05,2026-09-03
1436,2047,2015-01-05,2026-09-03
1437,2743,2015-01-05,2026-09-03
1438,1983,2015-01-05,2026-09-03
1439,2584,2015-01-05,2026-09-02
1440,2841,2015-01-05,2026-09-03
1441,2219,2015-01-05,2026-09-03
1442,2798,2015-01-05,2026-09-03
1443,2028,2015-01-05,2026-09-03
1444,2840,2015-01-05,2026-09-03
1445,2428,2015-01-05,2026-09-03
1446,2598,2015-01-05,2026-09-03
1447,2839,2015-01-05,2026-09-03
1449,2264,2015-03-18,2026-09-03
1451,2826,2015-01-05,2026-09-03
1452,2816,2015-01-05,2026-09-03
1453,2286,2015-01-05,2026-09-03
1454,2450,2015-01-05,2026-09-03
1455,2841,2015-01-05,2026-09-03
1456,1889,2015-03-18,2026-09-03
1457,2827,2015-01-05,2026-09-03
1459,2664,2015-01-05,2026-09-03
1460,2835,2015-01-05,2026-09-03
1463,2816,2015-01-05,2026-09-03
