版本,r,格,n,D,lo,hi,判過,判過_正
不排除（描述）,2,甲_box_H60,862,-0.00580046403712297,-0.03103983197141893,0.01943890389717299,False,False
不排除（描述）,2,甲_box_H120,862,0.00580046403712297,-0.016066053054855395,0.027666981129101334,False,False
不排除（描述）,3,甲_box_H60,862,-0.0069605568445475635,-0.032858733564503556,0.018937619875408426,False,False
不排除（描述）,3,甲_box_H120,862,0.001160092807424594,-0.024466492333405157,0.026786677948254345,False,False
不排除（描述）,4,甲_box_H60,862,-0.010440835266821345,-0.035536346114541886,0.014654675580899196,False,False
不排除（描述）,4,甲_box_H120,862,-0.013921113689095127,-0.03334512620965712,0.005502898831466867,False,False
不排除（描述）,5,甲_box_H60,862,0.030162412993039442,0.006372370075539535,0.05395245591053935,True,True
不排除（描述）,5,甲_box_H120,862,0.010440835266821345,-0.007227285987806382,0.028108956521449072,False,False
不排除（描述）,6,甲_box_H60,862,-0.029002320185614848,-0.053964377027250404,-0.004040263343979292,True,False
不排除（描述）,6,甲_box_H120,862,-0.019721577726218097,-0.04056888909085418,0.001125733638417989,False,False
不排除（描述）,7,甲_box_H60,862,0.009280742459396751,-0.016123074044320458,0.03468455896311396,False,False
不排除（描述）,7,甲_box_H120,862,-0.004640371229698376,-0.027347929079728127,0.018067186620331376,False,False
不排除（描述）,8,甲_box_H60,862,-0.008120649651972157,-0.029802079626674378,0.013560780322730063,False,False
不排除（描述）,8,甲_box_H120,862,-0.001160092807424594,-0.02237814436263937,0.02005795874779018,False,False
不排除（描述）,9,甲_box_H60,862,-0.009280742459396751,-0.03847576236771488,0.019914277448921384,False,False
不排除（描述）,9,甲_box_H120,862,-0.015081206496519721,-0.03927671861632544,0.009114305623285995,False,False
不排除（描述）,10,甲_box_H60,862,0.01740139211136891,-0.0069790186671187145,0.04178180288985653,False,False
不排除（描述）,10,甲_box_H120,862,0.019721577726218097,-0.0024694958002605787,0.041912651252696775,False,False
不排除（描述）,11,甲_box_H60,862,0.0,-0.022509292431274783,0.022509292431274783,False,False
不排除（描述）,11,甲_box_H120,862,0.0034802784222737818,-0.01767043626766902,0.024630993112216584,False,False
不排除（描述）,12,甲_box_H60,862,0.019721577726218097,-0.0041833557035571844,0.04362651115599338,False,False
不排除（描述）,12,甲_box_H120,862,-0.0069605568445475635,-0.0254006374817606,0.011479523792665473,False,False
不排除（描述）,13,甲_box_H60,862,-0.016241299303944315,-0.04136498390390421,0.008882385296015583,False,False
不排除（描述）,13,甲_box_H120,862,-0.019721577726218097,-0.042636571783808044,0.0031934163313718546,False,False
不排除（描述）,14,甲_box_H60,862,0.013921113689095127,-0.006818332737710819,0.03466056011590107,False,False
不排除（描述）,14,甲_box_H120,862,0.0034802784222737818,-0.017220107125231254,0.024180663969778818,False,False
不排除（描述）,15,甲_box_H60,862,-0.00580046403712297,-0.03098328049147606,0.01938235241723012,False,False
不排除（描述）,15,甲_box_H120,862,-0.019721577726218097,-0.04275691834365232,0.00331376289121613,False,False
不排除（描述）,16,甲_box_H60,862,-0.0069605568445475635,-0.027017762524325428,0.0130966488352303,False,False
不排除（描述）,16,甲_box_H120,862,-0.00580046403712297,-0.02520816984208635,0.013607241767840412,False,False
不排除（描述）,17,甲_box_H60,862,0.022041763341067284,-0.004468739145087983,0.04855226582722255,False,False
不排除（描述）,17,甲_box_H120,862,0.01160092807424594,-0.010761550137234684,0.03396340628572656,False,False
不排除（描述）,18,甲_box_H60,862,0.0034802784222737818,-0.02025046540280634,0.027211022247353903,False,False
不排除（描述）,18,甲_box_H120,862,-0.008120649651972157,-0.0272432827429728,0.011001983439028484,False,False
不排除（描述）,19,甲_box_H60,862,-0.013921113689095127,-0.03940180029916751,0.011559572920977257,False,False
不排除（描述）,19,甲_box_H120,862,-0.010440835266821345,-0.030825501905823446,0.009943831372180755,False,False
不排除（描述）,20,甲_box_H60,862,-0.013921113689095127,-0.03577067228980265,0.007928444911612396,False,False
不排除（描述）,20,甲_box_H120,862,-0.016241299303944315,-0.036632200819078434,0.0041496022111898075,False,False
不排除（描述）,21,甲_box_H60,862,0.004640371229698376,-0.020685716566691274,0.029966459026088025,False,False
不排除（描述）,21,甲_box_H120,862,-0.00580046403712297,-0.029008997761103956,0.017408069686858017,False,False
不排除（描述）,22,甲_box_H60,862,-0.019721577726218097,-0.03887402126409055,-0.000569134188345647,True,False
不排除（描述）,22,甲_box_H120,862,-0.012761020881670533,-0.030070747998972865,0.004548706235631798,False,False
不排除（描述）,23,甲_box_H60,862,-0.019721577726218097,-0.045499182008585395,0.006056026556149199,False,False
不排除（描述）,23,甲_box_H120,862,0.001160092807424594,-0.023012018237848035,0.025332203852697223,False,False
不排除（描述）,24,甲_box_H60,862,-0.013921113689095127,-0.0402212950603173,0.01237906768212704,False,False
不排除（描述）,24,甲_box_H120,862,-0.015081206496519721,-0.03796262704711331,0.007800214054073867,False,False
不排除（描述）,25,甲_box_H60,862,-0.0069605568445475635,-0.028967263016387246,0.015046149327292119,False,False
不排除（描述）,25,甲_box_H120,862,-0.00580046403712297,-0.02624896190076057,0.014648033826514632,False,False
不排除（描述）,26,甲_box_H60,862,-0.01740139211136891,-0.04211607124397197,0.007313287021234155,False,False
不排除（描述）,26,甲_box_H120,862,-0.008120649651972157,-0.028798580092152203,0.012557280788207888,False,False
不排除（描述）,27,甲_box_H60,862,0.0034802784222737818,-0.02092395638507769,0.027884513229625253,False,False
