r,格,n,D,lo,hi,判過
11,乙_box,150636,-0.010005634620583268,-0.010903017075270272,-0.009108252165896264,True
11,乙_cup,397,-0.002744356587982141,-0.012906208701660208,0.007417495525695925,False
11,乙_w,18277,-0.012753316620855484,-0.015306375968880436,-0.010200257272830532,True
11,乙_hs,5022,-0.00717798433473384,-0.011544003447375748,-0.0028119652220919313,True
11,乙_flag,3603,-0.007147514196792975,-0.01490051200470928,0.0006054836111233303,False
11,乙_trend,45169,-0.007887794350421539,-0.00926116247891807,-0.006514426221925008,True
12,甲_box_H60,10238,0.039558507521000194,0.032015034076472035,0.04710198096552835,True
12,甲_box_H120,10238,0.028618870873217427,0.02171489177081394,0.03552284997562091,True
12,甲_cup_H60,127,0.015748031496062992,-0.07677445227735596,0.10827051526948195,False
12,甲_cup_H120,127,0.06299212598425197,-0.02966767689395154,0.1556519288624555,False
12,甲_w_H60,4251,0.11103269818866149,0.09239109927960933,0.12967429709771364,True
12,甲_w_H120,4251,0.08068689720065866,0.06357124744043777,0.09780254696087956,True
12,甲_hs_H60,2709,0.09043927648578812,0.06551904417747564,0.11535950879410059,True
12,甲_hs_H120,2709,0.07124400147655961,0.04787559722248086,0.09461240573063837,True
12,甲_flag_H60,828,0.11835748792270531,0.06948445607539938,0.16723051977001124,True
12,甲_flag_H120,828,0.11594202898550725,0.06935405510635037,0.16253000286466412,True
12,乙_box,150636,-0.010072345209111773,-0.011005708059672124,-0.009138982358551422,True
12,乙_cup,397,0.0016971081157187468,-0.01143200406779041,0.014826220299227902,False
12,乙_w,18277,-0.013761557728339984,-0.01633986306777386,-0.01118325238890611,True
12,乙_hs,5022,-0.006163713244263439,-0.010248478814248181,-0.0020789476742786956,True
12,乙_flag,3603,-0.007533219423107484,-0.013880747683746846,-0.0011856911624681206,True
12,乙_trend,45169,-0.008288981132428362,-0.009579241293974791,-0.006998720970881934,True
13,甲_box_H60,10238,0.03946083219378785,0.031114028720591578,0.04780763566698412,True
13,甲_box_H120,10238,0.03213518265286189,0.02405630281181842,0.040214062493905356,True
13,甲_cup_H60,127,0.047244094488188976,-0.04153407412960897,0.13602226310598692,False
13,甲_cup_H120,127,0.05511811023622047,-0.05486757859622447,0.1651037990686654,False
13,甲_w_H60,4251,0.10091743119266056,0.08253636986313317,0.11929849252218794,True
13,甲_w_H120,4251,0.07033639143730887,0.05291233558708577,0.08776044728753196,True
13,甲_hs_H60,2709,0.07715023994093761,0.05615178954948935,0.09814869033238588,True
13,甲_hs_H120,2709,0.06349206349206349,0.045360412862907006,0.08162371412121996,True
13,甲_flag_H60,828,0.0748792270531401,0.023472614143151875,0.1262858399631283,True
13,甲_flag_H120,828,0.08695652173913043,0.036884703978184025,0.13702833950007684,True
13,乙_box,150636,-0.010263996107998977,-0.011176569661565218,-0.009351422554432736,True
13,乙_cup,397,0.0007321222961542203,-0.011119729100646793,0.012583973692955235,False
13,乙_w,18277,-0.01433376581419674,-0.016941872792103508,-0.011725658836289971,True
13,乙_hs,5022,-0.008353813634026498,-0.013004758854590931,-0.003702868413462064,True
13,乙_flag,3603,-0.005963021072272445,-0.012550996003075358,0.0006249538585304673,False
13,乙_trend,45169,-0.007729916812311806,-0.00901236658164134,-0.006447467042982272,True
14,甲_box_H60,10238,0.052256300058605196,0.04321139767244761,0.06130120244476278,True
14,甲_box_H120,10238,0.037214299667903884,0.029329081910701636,0.045099517425106136,True
14,甲_cup_H60,127,0.08661417322834646,-0.0015142306831419095,0.17474257713983482,False
14,甲_cup_H120,127,0.11023622047244094,0.016223837601874472,0.20424860334300743,True
14,甲_w_H60,4251,0.0995059985885674,0.08201208665047546,0.11699991052665934,True
14,甲_w_H120,4251,0.06680780992707598,0.05114683980154734,0.08246878005260462,True
14,甲_hs_H60,2709,0.067921742340347,0.03993421024354969,0.0959092744371443,True
14,甲_hs_H120,2709,0.060538944259874494,0.035649602398385015,0.08542828612136397,True
14,甲_flag_H60,828,0.05314009661835749,-0.0037741310785602833,0.11005432431527526,False
14,甲_flag_H120,828,0.06521739130434782,0.015442936618220757,0.11499184599047489,True
14,乙_box,150636,-0.01010731892513742,-0.011045452160487627,-0.009169185689787213,True
14,乙_cup,397,0.0008623908724621642,-0.011443154232547333,0.013167935977471661,False
14,乙_w,18277,-0.014072348092184536,-0.016645981765278425,-0.011498714419090648,True
14,乙_hs,5022,-0.00808458725967217,-0.01254490688563372,-0.003624267633710619,True
14,乙_flag,3603,-0.006093981321649987,-0.013017534253543999,0.0008295716102440258,False
14,乙_trend,45169,-0.008074853309364794,-0.00943556364262585,-0.006714142976103738,True
15,甲_box_H60,10238,0.04756788435241258,0.0389400884690187,0.05619568023580647,True
15,甲_box_H120,10238,0.03213518265286189,0.02442501868781256,0.03984534661791122,True
15,甲_cup_H60,127,0.10236220472440945,0.007430702861471808,0.19729370658734707,True
15,甲_cup_H120,127,0.12598425196850394,0.01050791861615974,0.24146058532084813,True
15,甲_w_H60,4251,0.09574217831098565,0.07692075938490958,0.11456359723706172,True
15,甲_w_H120,4251,0.07174782404140202,0.054935696546537835,0.08855995153626621,True
15,甲_hs_H60,2709,0.07235142118863049,0.046175089909869516,0.09852775246739146,True
15,甲_hs_H120,2709,0.04355850867478774,0.019518787611769166,0.06759822973780633,True
