g,H,T_date,s_date,R,遞延天數
乙,60,2025-11-07,2025-11-10,0.17801974213847727,0
乙,60,2025-12-17,2025-12-18,0.2504128050732499,0
乙,60,2026-03-09,2026-03-10,0.39789196310935426,0
乙,60,2026-05-19,2026-05-20,0.15429344488610397,0
乙,120,2017-04-11,2017-04-12,0.09731261004574021,0
乙,120,2017-06-14,2017-06-15,0.08476980259584321,0
乙,120,2017-08-10,2017-08-11,0.07273534700440121,0
乙,120,2017-09-13,2017-09-14,0.05071938013445232,0
乙,120,2017-11-09,2017-11-10,-0.007063244051375817,0
乙,120,2018-02-05,2018-02-06,0.06633181814828548,0
乙,120,2018-03-23,2018-03-26,0.04652830072050085,0
乙,120,2018-05-30,2018-05-31,-0.042827349452542185,0
乙,120,2018-08-13,2018-08-14,-0.0819970915708279,0
乙,120,2018-09-12,2018-09-13,-0.06753626103157218,0
乙,120,2018-11-09,2018-11-12,0.05751810870792862,0
乙,120,2018-12-14,2018-12-17,0.10625255419079638,0
乙,120,2019-03-08,2019-03-11,0.08831537208425466,0
乙,120,2019-05-06,2019-05-07,0.09151360141528109,0
乙,120,2019-08-01,2019-08-02,0.15415010398647988,0
乙,120,2019-11-29,2019-12-02,-0.042178868726370666,0
乙,120,2020-01-06,2020-01-07,0.02178804546357549,0
乙,120,2020-02-17,2020-02-18,0.1549386193896718,0
乙,120,2020-05-22,2020-05-25,0.3234361974570692,0
乙,120,2020-08-20,2020-08-21,0.3888989371521574,0
乙,120,2020-09-22,2020-09-23,0.30266329789389745,0
乙,120,2020-10-28,2020-10-29,0.38138620232618603,0
乙,120,2021-01-29,2021-02-01,0.08271523047430995,0
乙,120,2021-05-03,2021-05-04,-0.010133053686528615,0
乙,120,2021-06-21,2021-06-22,0.0498758985463017,0
乙,120,2021-08-10,2021-08-11,0.06694699260258208,0
乙,120,2021-09-22,2021-09-23,0.022673372285413995,0
乙,120,2021-11-26,2021-11-29,-0.03599649132931293,0
乙,120,2022-01-21,2022-01-24,-0.1732521481518955,0
乙,120,2022-04-07,2022-04-08,-0.18566856026171952,0
乙,120,2022-06-13,2022-06-14,-0.03595471830366004,0
乙,120,2022-08-23,2022-08-24,0.012612773365325625,0
乙,120,2022-12-08,2022-12-09,0.18306295263665717,0
乙,120,2023-02-21,2023-02-22,0.06209628505965559,0
乙,120,2023-04-13,2023-04-14,0.04546505173415327,0
乙,120,2023-07-06,2023-07-07,0.07983156975773364,0
乙,120,2023-08-25,2023-08-28,0.17987006739529154,0
乙,120,2023-10-23,2023-10-24,0.2555909886803551,0
乙,120,2023-12-07,2023-12-08,0.3522012365059599,0
乙,120,2024-04-16,2024-04-17,0.23842169021300053,0
乙,120,2024-05-31,2024-06-03,0.11506704842658166,0
乙,120,2024-07-18,2024-07-19,0.03629139072847676,0
乙,120,2024-09-04,2024-09-05,0.0674890739722267,0
乙,120,2024-10-29,2024-10-30,-0.0883752012090121,0
乙,120,2025-11-07,2025-11-10,0.5421642957398842,0
乙,120,2025-12-17,2025-12-18,0.8066988167790659,0
丙,20,2017-04-19,2017-04-20,0.0461750516884909,0
丙,20,2017-09-22,2017-09-25,0.03494788473329247,0
丙,20,2017-11-30,2017-12-01,-0.005477784540474762,0
丙,20,2018-02-06,2018-02-07,0.0356484326982176,0
丙,20,2018-03-23,2018-03-26,-0.02810018326206476,0
丙,20,2018-05-15,2018-05-16,0.012891344383057168,0
丙,20,2018-06-19,2018-06-20,0.023558586484810906,0
丙,20,2018-10-04,2018-10-05,-0.0692307692307692,0
丙,20,2019-01-23,2019-01-24,0.03786342123056108,0
丙,20,2019-05-16,2019-05-17,-0.007547169811320642,0
丙,20,2019-08-07,2019-08-08,0.036851967520299844,0
丙,20,2020-01-30,2020-01-31,-0.022062879205736352,0
丙,20,2020-05-04,2020-05-05,0.016766467065868484,0
丙,20,2020-09-24,2020-09-25,0.047146401985111774,0
丙,20,2020-10-29,2020-10-30,0.10912602607436006,0
丙,20,2021-05-05,2021-05-06,0.010271460014673384,0
丙,20,2021-06-09,2021-06-10,0.02095588235294099,0
丙,20,2021-07-28,2021-07-29,0.0014722119985279836,0
丙,20,2021-09-22,2021-09-23,-0.01376811594202898,0
丙,20,2021-10-28,2021-10-29,0.02480846406420989,0
丙,20,2021-11-26,2021-11-29,0.03960755813953498,0
丙,20,2022-02-24,2022-02-25,-0.006112909025530522,0
丙,20,2022-08-10,2022-08-11,-0.06343906510851416,0
丙,20,2023-04-19,2023-04-20,0.027766091712242424,0
丙,20,2023-08-10,2023-08-11,-0.016929133858267775,0
丙,20,2023-09-18,2023-09-19,-0.007945967421533529,0
丙,20,2024-01-17,2024-01-18,0.12392494136043775,0
丙,20,2024-08-02,2024-08-05,0.08820882088208815,0
丙,20,2024-11-27,2024-11-28,0.06096256684491985,0
丙,20,2025-01-02,2025-01-03,0.015373121423141622,0
丙,20,2025-02-25,2025-02-26,-0.043545878693623585,0
丙,20,2026-03-31,2026-04-01,0.20666666666666678,0
丙,20,2026-07-17,2026-07-20,0.06833797221274196,0
丙,60,2017-04-19,2017-04-20,0.1309441764300483,0
丙,60,2017-09-22,2017-09-25,-0.009196811771919111,0
丙,60,2017-11-30,2017-12-01,0.025791280961630303,0
丙,60,2018-02-06,2018-02-07,0.003687768899815813,0
丙,60,2018-03-23,2018-03-26,-0.007330482590103937,0
丙,60,2018-05-15,2018-05-16,0.0665236023810305,0
丙,60,2018-06-19,2018-06-20,0.07085155917277297,0
丙,60,2018-10-04,2018-10-05,-0.11183431952662737,0
丙,60,2019-01-23,2019-01-24,0.1325219743069641,0
丙,60,2019-05-16,2019-05-17,0.02249119771799335,0
丙,60,2019-08-07,2019-08-08,0.16614615865084303,0
丙,60,2020-01-30,2020-01-31,-0.08935466078323229,0
丙,60,2020-05-04,2020-05-05,0.23706638538679337,0
丙,60,2020-09-24,2020-09-25,0.1712158808933002,0
丙,60,2020-10-29,2020-10-30,0.35630628238173334,0
丙,60,2021-05-05,2021-05-06,0.004028652441947278,0
丙,60,2021-06-09,2021-06-10,0.031307360232948556,0
丙,60,2021-07-28,2021-07-29,0.004048582995951566,0
丙,60,2021-09-22,2021-09-23,0.02934782608695663,0
丙,60,2021-10-28,2021-10-29,0.06369003869415435,0
丙,60,2021-11-26,2021-11-29,0.03938590938723152,0
丙,60,2022-02-24,2022-02-25,-0.10499820208558086,0
丙,60,2022-08-10,2022-08-11,-0.17487479131886474,0
丙,60,2023-04-19,2023-04-20,0.11064366848969298,0
丙,60,2023-08-10,2023-08-11,-0.003937007874015741,0
丙,60,2023-09-18,2023-09-19,0.0580055621771951,0
丙,60,2024-01-17,2024-01-18,0.22243940578576993,0
丙,60,2024-08-02,2024-08-05,0.14311431143114306,0
丙,60,2024-11-27,2024-11-28,0.012737053131085307,0
丙,60,2025-01-02,2025-01-03,-0.16825268504920443,0
丙,60,2025-02-25,2025-02-26,-0.0635044064282011,0
丙,60,2026-03-31,2026-04-01,0.3926666666666667,0
丙,120,2017-04-19,2017-04-20,0.14136486666313752,0
丙,120,2017-09-22,2017-09-25,0.03270955446903545,0
丙,120,2017-11-30,2017-12-01,0.01580183452499817,0
丙,120,2018-02-06,2018-02-07,0.06783463323829064,0
丙,120,2018-03-23,2018-03-26,0.04652830072050085,0
丙,120,2018-05-15,2018-05-16,-0.026325231256319803,0
丙,120,2018-06-19,2018-06-20,-0.061051347415350565,0
丙,120,2018-10-04,2018-10-05,-0.0068262903977038825,0
丙,120,2019-01-23,2019-01-24,0.1380984386440003,0
丙,120,2019-05-16,2019-05-17,0.1740888380744452,0
丙,120,2019-08-07,2019-08-08,0.17372720960237076,0
丙,120,2020-01-30,2020-01-31,0.09449111132314902,0
丙,120,2020-05-04,2020-05-05,0.2798902339301683,0
丙,120,2020-09-24,2020-09-25,0.37371641246331877,0
丙,120,2020-10-29,2020-10-30,0.364200389518186,0
丙,120,2021-05-05,2021-05-06,0.011751949768423975,0
丙,120,2021-06-09,2021-06-10,0.017301041545009888,0
丙,120,2021-07-28,2021-07-29,0.10636731689363277,0
丙,120,2021-09-22,2021-09-23,0.022673372285413995,0
丙,120,2021-10-28,2021-10-29,-0.039957290698406145,0
丙,120,2021-11-26,2021-11-29,-0.03599649132931293,0
丙,120,2022-02-24,2022-02-25,-0.1134763957778997,0
丙,120,2022-08-10,2022-08-11,0.03189947935781223,0
丙,120,2023-04-19,2023-04-20,0.08375262923668791,0
丙,120,2023-08-10,2023-08-11,0.0825426377152223,0
丙,120,2023-09-18,2023-09-19,0.245709012075088,0
丙,120,2024-01-17,2024-01-18,0.46365687508145115,0
丙,120,2024-08-02,2024-08-05,0.19723997885363342,0
丙,120,2024-11-27,2024-11-28,-0.04635734665011815,0
