stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
3206,志豐,2022Q2,tpex,2143064,1744605,,,398459,,,398459,291520,,106939,41588,148527,37740,110787,,,110787,14643,,125430,110787,0,,125430,,,1.88
3207,耀勝,2022Q2,tpex,582063,465393,,,116670,,,116670,80597,,36073,25565,61638,1374,60264,,,60264,9208,,69472,58847,,1417,70110,,-638,1.34
3211,順達,2022Q2,tpex,8645685,7904431,,,741254,,,741254,389785,,351469,235835,587304,150987,436317,,,436317,218914,,655231,436317,,,655231,,,2.92
3213,茂訊,2022Q2,tpex,1245451,1041784,,,203667,0,,203667,133036,,70631,24360,94991,40297,54694,,,54694,19513,,74207,49091,,5603,68604,,5603,0.84
3217,優群,2022Q2,tpex,1377626,842114,,,535512,,,535512,252539,,282973,119241,402214,82954,319260,,,319260,-138754,,180506,319260,,0,180506,,0,3.54
3218,大學光,2022Q2,tpex,1624875,632263,,,992612,,,992612,484911,,507701,6430,514131,105355,408776,,,408776,9593,,418369,400388,,8388,407343,,11026,5.26
3219,倚強科,2022Q2,tpex,663107,300389,,,362718,,,362718,362950,,-232,79513,79281,5519,73762,,,73762,28789,,102551,64783,,8979,89993,,12558,0.92
3221,台嘉碩,2022Q2,tpex,1997855,1402786,,,595069,3,,595066,226595,,368471,32409,400880,101739,299141,,,299141,-83747,,215394,280839,,18302,194023,,21371,2.76
3224,三顧,2022Q2,tpex,1087661,953239,,,134422,,,134422,148631,,-14209,20460,6251,5902,349,,,349,22452,,22801,18716,,-18367,41168,,-18367,0.27
3226,龍鋒,2022Q2,tpex,1414576,1087636,,,326940,,,326940,118471,,208469,72481,280950,55690,225260,,,225260,45,,225305,,,,,,,3.50
3227,原相,2022Q2,tpex,2982790,1354375,,,1628415,,,1628415,1372498,3750,259667,187336,447003,70207,376796,,,376796,-966903,,-590107,389596,,-12800,-577307,,-12800,2.75
3228,金麗科,2022Q2,tpex,282224,51597,,,230627,,,230627,144295,,86332,13142,99474,19315,80159,,,80159,44,,80203,,,,,,,1.15
3230,錦明,2022Q2,tpex,545436,507972,,,37464,,,37464,93869,3526,-52879,17377,-35502,8360,-43862,0,,-43862,15705,,-28157,-43862,,,-28157,,,-0.62
3232,昱捷,2022Q2,tpex,631658,542191,,,89467,,,89467,57275,,32192,3319,35511,6210,29301,,,29301,1934,,31235,29301,,,31235,,,0.80
3234,光環,2022Q2,tpex,563335,412718,,,150617,580,500,150537,156186,,-5649,9128,3479,-103,3582,,,3582,372,,3954,7305,,-3723,7677,,-3723,0.10
3236,千如,2022Q2,tpex,1465749,1183654,,,282095,,,282095,211898,,70197,39078,109275,35097,74178,,,74178,3823,,78001,74178,,,78001,,,0.80
3252,海灣,2022Q2,tpex,297483,157447,,,140036,,,140036,111340,,28696,-13277,15419,262,15157,,,15157,0,,15157,18378,,-3221,18378,,-3221,0.37
3259,鑫創,2022Q2,tpex,213704,144134,,,69570,,,69570,121445,,-51875,5388,-46487,,-46487,,,-46487,,,-46487,-46487,,,-46487,,,-0.62
3260,威剛,2022Q2,tpex,18543352,16080486,,,2462866,,,2462866,1779568,,683298,-37024,646274,137194,509080,,,509080,250066,,759146,507908,,1172,687415,,71731,1.96
3264,欣銓,2022Q2,tpex,6693506,4110451,,,2583055,,,2583055,712533,,1870522,44828,1915350,375706,1539644,,,1539644,96403,,1636047,1539644,,0,1636047,,0,3.25
3265,台星科,2022Q2,tpex,2086786,1382414,,,704372,,,704372,135373,,568999,72508,641507,100516,540991,,,540991,220917,,761908,540991,,,761908,,,3.97
3268,海德威,2022Q2,tpex,731351,665503,,,65848,,,65848,47878,,17970,23533,41503,387,41116,,,41116,11740,,52856,41116,,,52856,,,1.23
3272,東碩,2022Q2,tpex,2346215,2272650,,,73565,,,73565,236547,,-162982,-5548,-168530,-2631,-165899,,,-165899,31849,,-134050,-165899,,,-134050,,,-3.05
3276,宇環,2022Q2,tpex,939472,840516,,,98956,,,98956,50921,,48035,31909,79944,10374,69570,,,69570,10682,,80252,48742,,20828,59424,,20828,0.70
3284,太普高,2022Q2,tpex,367795,325576,,,42219,,,42219,48638,,-6419,9191,2772,901,1871,,,1871,4283,,6154,1871,0,0,6154,,,0.03
3285,微端,2022Q2,tpex,386261,331277,,,54984,,,54984,81833,,-26849,20423,-6426,294,-6720,,,-6720,-4693,,-11413,-13226,,6506,-19085,,7672,-0.31
3287,廣寰科,2022Q2,tpex,213061,151783,,,61278,,,61278,48767,,12511,-10261,2250,4969,-2719,,,-2719,556,,-2163,-5515,,2796,-4959,,2796,-0.13
3288,點晶,2022Q2,tpex,55252,22017,,,33235,,,33235,27687,,5548,-5195,353,,353,,,353,4539,,4892,361,,-8,4900,,-8,0.02
3289,宜特,2022Q2,tpex,1785753,1306562,,,479191,,,479191,320287,,158904,45275,204179,37150,167029,,,167029,12865,,179894,173198,,-6169,186063,,-6169,2.24
3290,東浦,2022Q2,tpex,683569,590499,,,93070,,,93070,116389,,-23319,21543,-1776,3813,-5589,,,-5589,38518,,32929,-5589,,0,32929,,0,-0.06
3293,鈊象,2022Q2,tpex,5791714,219031,,,5572683,,,5572683,2731237,,2841446,303499,3144945,490671,2654274,,,2654274,-305455,,2348819,2652857,,1417,2347111,,1708,18.83
3294,英濟,2022Q2,tpex,2079724,2017309,,,62415,,,62415,279592,,-217177,30177,-187000,-1463,-185537,,,-185537,85209,,-100328,-182678,,-2859,-97271,,-3057,-1.39
3297,杭特,2022Q2,tpex,120221,83965,,,36256,,,36256,43355,,-7099,13184,6085,3272,2813,,,2813,0,,2813,2813,,,2813,,,0.08
3303,岱稜,2022Q2,tpex,1520047,1064005,,,456042,,,456042,248969,,207073,31538,238611,60429,178182,,,178182,13622,,191804,178299,,-117,191921,,-117,1.89
3306,鼎天,2022Q2,tpex,561343,472962,,,88381,,,88381,121490,897,-32212,61612,29400,3528,25872,,,25872,-111896,,-86024,25872,,,-86024,,,0.51
3310,佳穎,2022Q2,tpex,785513,650484,,,135029,,,135029,88792,,46237,33164,79401,6419,72982,,,72982,6979,,79961,72982,,0,79961,,0,1.41
3313,斐成,2022Q2,tpex,3717,3709,,,8,,,8,18780,,-18772,-59723,-78495,0,-78495,,,-78495,,,-78495,,,,,,,-0.66
3317,尼克森,2022Q2,tpex,1500464,1018443,,,482021,,,482021,236416,,245605,141120,386725,88219,298506,,,298506,564,,299070,298506,,,299070,,,4.87
3322,建舜電,2022Q2,tpex,1328599,1110410,,,218189,,,218189,190778,,27411,30159,57570,13477,44093,,,44093,18391,,62484,44331,,-238,62863,,-379,0.41
3323,加百裕,2022Q2,tpex,5484703,5027571,,,457132,,,457132,379912,,77220,101975,179195,55050,124145,,,124145,16867,,141012,124145,,,141012,,,1.55
3324,雙鴻,2022Q2,tpex,7094591,5777514,,,1317077,,,1317077,734444,,582633,243293,825926,166076,659850,,,659850,75225,,735075,651711,,8139,722154,,12921,7.57
3325,旭品,2022Q2,tpex,557737,539623,,,18114,,,18114,101500,,-83386,30803,-52583,-9764,-42819,,,-42819,18282,,-24537,-37659,,-5160,-20610,,-3927,-0.44
3332,幸康,2022Q2,tpex,807014,548241,,,258773,,,258773,157840,,100933,14198,115131,22248,92883,,,92883,58995,,151878,92883,,,151878,,,1.93
3339,泰谷,2022Q2,tpex,362701,341077,,,21624,,,21624,45041,,-23417,28954,5537,2,5535,,,5535,,,5535,,,,,,,0.11
3349,寶德,2022Q2,tpex,302788,254714,,,48074,,,48074,75881,,-27807,14146,-13661,3877,-17538,,,-17538,405,,-17133,-17538,,,-17133,,,-0.48
3354,律勝,2022Q2,tpex,90225,77536,,,12689,,,12689,57362,,-44673,52370,7697,5199,2498,,,2498,4538,,7036,2498,,,7036,,,0.04
3357,臺慶科,2022Q2,tpex,2863170,1850048,,,1013122,,,1013122,402677,,610445,149177,759622,100290,659332,,,659332,71814,,731146,659332,,,731146,,,6.39
3360,尚立,2022Q2,tpex,5153329,4960280,,,193049,,,193049,111107,,81942,-16463,65479,16715,48764,,,48764,10936,,59700,48764,,,59700,,,0.64
3362,先進光,2022Q2,tpex,2013705,1578203,,,435502,,,435502,292124,,143378,122554,265932,43143,222789,,,222789,23776,,246565,230594,,-7805,254297,,-7732,1.69
3363,上詮,2022Q2,tpex,860144,693509,,,166635,,,166635,101320,,65315,-45177,20138,15993,4145,,,4145,-7660,,-3515,4145,,,-3515,,,0.05
3372,典範,2022Q2,tpex,747180,630002,,,117178,,,117178,55909,,61269,40905,102174,-7409,109583,,,109583,,,109583,,,,,,,0.64
3373,熱映,2022Q2,tpex,283777,222945,,,60832,,,60832,68934,,-8102,25446,17344,5154,12190,,,12190,-441,,11749,12190,,,11749,,,0.28
3374,精材,2022Q2,tpex,3807515,2459497,,,1348018,,,1348018,245550,69497,1171965,21464,1193429,267163,926266,,,926266,,,926266,,,,,,,3.41
3379,彬台,2022Q2,tpex,261403,216498,,,44905,,,44905,72722,,-27817,5134,-22683,1328,-24011,,,-24011,19289,,-4722,-24011,,,-4722,,,-0.63
3388,崇越電,2022Q2,tpex,4745976,3821056,,,924920,,,924920,532591,,392329,21294,413623,96772,316851,,,316851,90635,,407486,310478,,6373,400278,,7208,4.19
3390,旭軟,2022Q2,tpex,536182,463185,,,72997,,,72997,73919,0,-922,72189,71267,14738,56529,,,56529,-29211,,27318,56529,,,27318,,,0.84
3402,漢科,2022Q2,tpex,2210939,1847471,,,363468,,,363468,158088,,205380,20710,226090,65885,160205,,,160205,12437,,172642,160205,,,172642,,,2.19
3430,奇鈦科,2022Q2,tpex,870090,635191,,,234899,,,234899,112054,,122845,19519,142364,37481,104883,,,104883,4980,,109863,104883,,,109863,,,3.53
3434,哲固,2022Q2,tpex,424497,358057,,,66440,,,66440,48419,,18021,12741,30762,7625,23137,,,23137,73,,23210,23137,,,23210,,,0.96
3438,類比科,2022Q2,tpex,665271,411732,,,253539,,,253539,169057,,84482,59798,144280,26204,118076,,,118076,-44297,,73779,118076,,,73779,,,2.50
3441,聯一光電,2022Q2,tpex,249403,148688,,,100715,,,100715,51487,,49228,21341,70569,10891,59678,,,59678,24249,,83927,58277,,1401,82350,,1577,1.46
