stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2404,漢唐,2025Q1,twse,11517514,8844438,,,2673076,,,2673076,479802,,2193274,361118,2554392,538978,2015414,,,2015414,-44380,,1971034,1989414,,26000,1940096,,30938,10.55
2405,輔信,2025Q1,twse,432076,256895,,,175181,,,175181,188650,,-13469,21574,8105,3138,4967,,,4967,10479,,15446,4507,,460,14573,,873,0.01
2406,國碩,2025Q1,twse,1012785,939661,,,73124,,1102,74226,276137,,-201911,60946,-140965,16542,-157507,,,-157507,31464,,-126043,-68178,,-89329,-53831,,-72212,-0.19
2408,南亞科,2025Q1,twse,7187940,8262612,,,-1074672,,,-1074672,2080665,,-3155337,731941,-2423396,-482757,-1940639,,,-1940639,758556,,-1182083,-1940639,,,-1182083,,,-0.63
2409,友達,2025Q1,twse,72101871,63323417,,,8778454,,,8778454,7637953,,1140501,3346528,4487029,1227842,3259187,,,3259187,-669846,,2589341,3293741,,-34554,2554684,,34657,0.43
2412,中華電,2025Q1,twse,55808409,34203238,,,21605171,,,21605171,9083503,1018,12522686,176325,12699011,2503200,10195811,,,10195811,650974,,10846785,9799194,,396617,10444048,,402737,1.26
2413,環科,2025Q1,twse,816076,682275,,,133801,,,133801,138654,,-4853,31513,26660,7603,19057,,,19057,2578,,21635,19107,,-50,21685,,-50,0.15
2414,精技,2025Q1,twse,6327946,5798207,,,529739,,,529739,360251,,169488,15062,184550,37254,147296,0,,147296,9970,,157266,131964,,15332,135895,,21371,0.82
2415,錩新,2025Q1,twse,538704,406387,,,132317,,,132317,81843,1400,51874,-7451,44423,17774,26649,,,26649,50560,,77209,21737,,4912,53719,,23490,0.24
2417,圓剛,2025Q1,twse,765398,336344,,,429054,,,429054,492804,,-63750,57432,-6318,14760,-21078,,,-21078,7160,,-13918,-21738,,660,-18229,,4311,-0.17
2419,仲琦,2025Q1,twse,1895778,1529220,,,366558,,,366558,355585,,10973,306,11279,-7189,18468,,,18468,39347,,57815,-17600,,36068,21612,,36203,-0.05
2420,新巨,2025Q1,twse,543824,303257,,,240567,,,240567,96522,,144045,44338,188383,34795,153588,,,153588,17272,,170860,153682,,-94,170954,,-94,1.01
2421,建準,2025Q1,twse,4162103,2944425,,,1217678,,,1217678,702106,,515572,64465,580037,107842,472195,,,472195,68742,,540937,472195,,0,540937,,0,1.73
2423,固緯,2025Q1,twse,643737,304610,,,339127,,,339127,245635,,93492,32755,126247,29387,96860,,,96860,31360,,128220,96860,,,128220,,,0.67
2424,隴華,2025Q1,twse,64723,40237,,,24486,,,24486,33702,,-9216,1493,-7723,0,-7723,,,-7723,2415,,-5308,-15635,,7912,-14116,,8808,-0.27
2425,承啟,2025Q1,twse,749389,698446,,,50943,,,50943,57051,,-6108,23031,16923,8094,8829,44817,,53646,24197,,77843,31686,,21960,47155,,30688,0.33
2426,鼎元,2025Q1,twse,604748,519836,,,84912,,,84912,87687,,-2775,3797,1022,2801,-1779,,,-1779,303,,-1476,-1779,,0,-1476,,0,-0.01
2427,三商電,2025Q1,twse,1108788,705435,,,403353,,,403353,277586,,125767,3361,129128,25061,104067,,,104067,-8306,,95761,104067,,0,95761,,0,0.53
2428,興勤,2025Q1,twse,1895946,1153359,,,742587,,,742587,294386,,448201,54877,503078,125516,377562,,,377562,106655,,484217,380189,,-2627,486844,,-2627,2.97
2429,銘旺科,2025Q1,twse,118251,110097,,,8154,,,8154,25892,,-17738,908,-16830,17,-16847,,,-16847,768,,-16079,-17574,,727,-16806,,727,-0.21
2430,燦坤,2025Q1,twse,4343865,3669698,,,674167,,,674167,623631,,50536,-7836,42700,8674,34026,,,34026,-941,,33085,34026,,,33085,,,0.29
