stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
6133,金橋,2015Q3,twse,902424,709759,192665,,,192665,173613,,19052,33771,52823,13889,38934,,,38934,17741,,56675,38934,,,56675,,,0.35
6136,富爾特,2015Q3,twse,559880,386450,173430,,,173430,160239,,13191,210080,223271,7244,216027,,,216027,-333966,,-117939,215514,,513,-118869,,930,1.87
6139,亞翔,2015Q3,twse,11359233,10544244,814989,,,814989,537043,,277946,81993,359939,130264,229675,,,229675,-63712,,165963,188241,,41434,98799,,67164,1.00
6141,柏承,2015Q3,twse,1847852,1814923,32929,,,32929,304878,,-271949,-22812,-294761,-29696,-265065,,,-265065,29174,,-235891,-264677,,-388,-235515,,-376,-2.01
6142,友勁,2015Q3,twse,3325154,2935626,389528,,,389528,573256,6560,-177168,73029,-104139,-2799,-101340,,,-101340,-40451,,-141791,-101340,,0,-141791,,0,-0.38
6152,百一,2015Q3,twse,5902840,5388754,514086,,,514086,925275,,-411189,90247,-320942,-33653,-287289,,,-287289,33838,,-253451,-287868,,579,-254185,,734,-1.70
6153,嘉聯益,2015Q3,twse,11407465,10086529,1320936,,,1320936,1172730,,148206,287956,436162,109026,327136,,,327136,94953,,422089,327136,,0,422089,,0,1.01
6155,鈞寶,2015Q3,twse,482399,349152,133247,0,0,133247,84045,,49202,57865,107067,17508,89559,,,89559,-91067,,-1508,89559,,0,-1508,,0,1.05
6164,華興,2015Q3,twse,1284342,971242,313100,,,313100,249788,,63312,1897,65209,19086,46123,,,46123,23980,,70103,45447,,676,69167,,936,0.38
6165,浪凡,2015Q3,twse,113985,88428,25557,,,25557,83469,,-57912,6389,-51523,0,-51523,30883,,-20640,9677,,-10963,-20640,,,-10963,,,-0.42
6166,凌華,2015Q3,twse,6911029,4063843,2847186,,,2847186,2204525,,642661,9394,652055,139897,512158,,,512158,20245,,532403,510209,,1949,530113,,2290,2.55
6168,宏齊,2015Q3,twse,3320980,3085202,235778,,,235778,267106,,-31328,45048,13720,17540,-3820,,,-3820,-63172,,-66992,10694,,-14514,-42984,,-24008,0.05
6176,瑞儀,2015Q3,twse,34168595,30079751,4088844,,,4088844,2551849,202644,1739639,439381,2179020,474879,1704141,0,,1704141,-18897,,1685244,1704141,,,1685244,,,3.66
6177,達麗,2015Q3,twse,1977644,1546264,431380,,,431380,163973,,267407,-21225,246182,18975,227207,,,227207,645,,227852,227207,,,227852,,,1.17
6183,關貿,2015Q3,twse,902769,492169,410600,,,410600,199718,2178,213060,9674,222734,36565,186169,,,186169,499,,186668,186169,,,186668,,,1.24
6184,大豐電,2015Q3,twse,1237848,606280,631568,,,631568,298529,,333039,47941,380980,70825,310155,,,310155,26687,,336842,323558,,-13403,341908,,-5066,2.47
