stock_id,name,period,market,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
5228,鈺鎧,2015Q4,tpex,500521,392568,107953,,,107953,107429,,524,115324,115848,18117,97731,,,97731,-3458,,94273,,,,,,,3.50
5230,雷笛克光學,2015Q4,tpex,1446800,897149,549651,,,549651,385482,,164169,-26540,137629,14903,122726,,,122726,-27020,,95706,122726,0,0,95706,0,0,2.60
5245,智晶,2015Q4,tpex,1284650,911132,373518,,,373518,216032,,157486,18022,175508,30780,144728,,,144728,,,144728,,,,,,,3.89
5251,天鉞電,2015Q4,tpex,676248,473854,202394,-90,,202484,163176,,39308,45325,84633,14919,69714,,,69714,-52,,69662,70981,,-1267,70929,,-1267,2.40
5263,智崴,2015Q4,tpex,705424,371463,333961,,,333961,203549,,130412,21815,152227,32458,119769,,,119769,619,,120388,112384,,7385,113003,,7385,2.57
5272,笙科,2015Q4,tpex,616529,275624,340905,,,340905,280389,,60516,8362,68878,11450,57428,,,57428,,,57428,,,,,,,1.13
5274,信驊,2015Q4,tpex,992560,438002,554558,,,554558,186482,,368076,21089,389165,49257,339908,,,339908,-133,,339775,,,,,,,10.79
5276,達輝-KY,2015Q4,tpex,798521,610246,188275,,,188275,86887,,101388,20418,121806,39112,82694,,,82694,-42663,,40031,82694,,,40031,,,2.09
5278,尚凡*,2015Q4,tpex,243384,49609,193775,,,193775,265583,,-71808,513,-71295,-207,-71088,,,-71088,270,,-70818,-71088,,,-70818,,,-5.68
5287,數字,2015Q4,tpex,1356019,268399,1087620,,,1087620,520373,,567247,31390,598637,100602,498035,,,498035,-14537,,483498,497902,,133,483365,,133,12.16
5289,宜鼎,2015Q4,tpex,4385985,3177475,1208510,,,1208510,572436,,636074,29247,665321,144637,520684,,,520684,2577,,523261,560522,,-39838,563099,,-39838,9.02
5291,邑昇,2015Q4,tpex,1017775,887255,130520,,,130520,144073,,-13553,29876,16323,4950,11373,,,11373,-52,,11321,11373,,,11321,,,0.34
5299,杰力,2015Q4,tpex,499476,388391,111085,,,111085,116867,,-5782,7576,1794,456,1338,,,1338,13,,1351,1338,,,1351,,,0.04
5301,寶得利,2015Q4,tpex,2348269,1052857,1295412,,,1295412,1280860,,14552,43589,58141,-1245,59386,,,59386,-1338,,58048,57548,,1838,56210,,1838,0.58
5302,太欣,2015Q4,tpex,213427,127014,86413,,,86413,151995,,-65582,20714,-44868,-165,-44703,,,-44703,-7270,,-51973,-33797,,-10906,-40910,,-11063,-0.21
5309,系統電,2015Q4,tpex,1580232,1496395,83837,,,83837,558535,,-474698,1149487,674789,119977,554812,,,554812,-103544,,451268,574731,,-19919,480840,,-29572,2.99
5310,天剛,2015Q4,tpex,618528,496929,121599,,,121599,93542,,28057,-656,27401,6404,20997,,,20997,,,20997,20997,,0,20997,,0,0.42
5312,寶島科,2015Q4,tpex,2541479,1025905,1515574,,,1515574,1388661,,126913,331693,458606,85288,373318,,,373318,-29388,,343930,373318,,,343930,,,6.22
5314,世紀*,2015Q4,tpex,169156,88367,80789,1363,,79426,144656,,-65230,2197,-63033,1182,-64215,,,-64215,,,-64215,-64097,,-118,-64097,,-118,-1.07
5315,光聯,2015Q4,tpex,2661682,2116181,545501,,,545501,192837,,352664,25848,378512,,378512,-16581,,361931,-25614,,336317,361933,,-2,336319,,-2,3.40
5321,美而快,2015Q4,tpex,1111489,992142,119347,,,119347,83390,,35957,10572,46529,16882,29647,,,29647,-377,,29270,29329,,318,28955,,315,1.02
5324,士開,2015Q4,tpex,142505,30173,112332,,,112332,280201,,-167869,-63073,-230942,1353,-232295,,,-232295,790,,-231505,-221259,,-11036,-219661,,-11844,-2.87
5328,華容,2015Q4,tpex,1060083,869411,190672,,,190672,168941,,21731,50751,72482,-1313,73795,,,73795,-25515,,48280,73795,,,48280,,,0.41
5340,建榮,2015Q4,tpex,947922,969672,-21750,,,-21750,67593,,-89343,14062,-75281,2115,-77396,,,-77396,-4415,,-81811,-77396,,,-81811,,,-0.40
5344,立衛,2015Q4,tpex,132461,185633,-53172,,,-53172,32083,,-85255,7138,-78117,0,-78117,0,,-78117,10238,,-67879,,,,,,,-0.98
5345,馥鴻,2015Q4,tpex,129222,85517,43705,,,43705,83708,,-40003,162278,122275,7131,115144,,,115144,-596,,114548,115144,,0,114548,,0,2.30
5347,世界,2015Q4,tpex,23319721,16422455,6897266,,,6897266,2285284,,4611982,326529,4938511,780928,4157583,,,4157583,-61886,,4095697,4157583,,,4095697,,,2.54
5348,正能量智能,2015Q4,tpex,206094,150494,55600,0,0,55600,88991,0,-33391,11469,-21922,25,-21947,,,-21947,-3083,,-25030,-21947,,0,-25030,,0,-0.85
5351,鈺創,2015Q4,tpex,7416681,6458773,957908,,,957908,1140918,54980,-128030,-13510,-141540,4454,-145994,,,-145994,-18126,,-164120,-139774,,-6220,-156771,,-7349,-0.32
5353,台林,2015Q4,tpex,1074035,871694,202341,,,202341,196745,,5596,30247,35843,7013,28830,,,28830,-16209,,12621,28830,,,12621,,,0.32
5355,佳總,2015Q4,tpex,1362792,1177255,185537,,,185537,150959,,34578,26598,61176,30187,30989,,,30989,-5504,,25485,30989,,,25485,,,0.18
5356,協益,2015Q4,tpex,9298628,8155669,1142959,,,1142959,524630,,618329,198530,816859,252544,564315,,,564315,41106,,605421,564315,,,605421,,,4.36
5364,力麗店,2015Q4,tpex,435100,370057,65043,,,65043,69277,0,-4234,12580,8346,4270,4076,0,,4076,-1316,,2760,13363,,-9287,12914,,-10154,1.32
5381,光譜,2015Q4,tpex,704547,634744,69803,,,69803,100462,,-30659,-42708,-73367,1738,-75105,-362918,,-438023,-196450,,-634473,-438023,,,-634473,,,-2.34
5386,青雲,2015Q4,tpex,1594702,1494332,100370,0,0,100370,74387,0,25983,3858,29841,2593,27248,0,,27248,828,,28076,,,,,,,2.22
5392,能率,2015Q4,tpex,5954153,5304772,649381,,,649381,851449,,-202068,447024,244956,97652,147304,,,147304,-250335,,-103031,7480,0,139824,-212448,0,109417,0.08
5398,慕康生醫,2015Q4,tpex,202135,152739,49396,,,49396,61272,,-11876,-55140,-67016,483,-67499,-41011,,-108510,-19454,,-127964,-108510,,0,-127964,,0,-3.28
5403,中菲,2015Q4,tpex,1325684,948801,376883,,,376883,209734,,167149,29544,196693,35861,160832,,,160832,-17871,,142961,,,,,,,2.32
