rank,idx,cell,n_cond,A,D,ratio,A_p10,A_p90,vol_med,expo_med,A_minus_0050,ratio_minus_0050,label,cand_order,luck_q,標記
40,51,F03+F04,2,0.12894730482313194,-0.4550678720534289,0.283358401552884,0.03506749592853109,0.2230618163938074,0.2735454415809532,0.9418447659444955,0.021056665996673052,-0.03436879292380807,R,30.0,3.4148514907578926e-15,探索，非結論
41,80,F05+F06,2,0.12806341981461167,-0.45413721217405034,0.28199279068443905,0.047895652785900925,0.23583039362892882,0.285418111346872,0.9184668989547038,0.020172780988152783,-0.03573440379225301,R,31.0,1.4843872010177678e-15,探索，非結論
42,14,F15,1,0.1005635335797785,-0.36350261955112984,0.27665146871282276,0.03211040504875239,0.19504456160356842,0.2182845455831936,0.9184668989547038,-0.007327105246680385,-0.04107572576386931,F,,5.209226438227457e-16,探索，非結論
43,158,F13+F16,2,0.0926644549590255,-0.33522924740088345,0.2764211526216054,0.041054846345192436,0.14902708658829136,0.18970410492985518,0.9182216578237742,-0.01522618386743338,-0.041306041855086684,F,,5.209226438227457e-16,探索，非結論
44,72,F04+F11,2,0.07812456105112014,-0.2828457777317886,0.2762090411164015,0.04163030729394568,0.11643431963430825,0.1543572723409187,0.9421602787456446,-0.02976607777533874,-0.04151815336029058,F,,5.209226438227457e-16,探索，非結論
45,148,F11+F17,2,0.07097934568010539,-0.25785453077422094,0.2752689489961119,0.04056961333958228,0.1059943395905673,0.13303990090637835,0.9184668989547038,-0.0369112931463535,-0.04245824548058019,F,,4.2216604179686968e-16,探索，非結論
46,10,F11,1,0.0656396868673703,-0.2390190753965321,0.2746211228475142,0.03948045358779525,0.09922011113970633,0.119465395057993,0.9184668989547038,-0.04225095195908858,-0.043106071629177845,F,,3.420432310299609e-16,探索，非結論
47,65,F03+F18,2,0.10058282569660115,-0.3681473725683251,0.27321348240216986,0.03163218297678585,0.1735418400889486,0.21549002048686988,0.9184668989547038,-0.007307813129857732,-0.044513712074522205,F,,2.7705504966172955e-16,探索，非結論
48,67,F04+F06,2,0.13557441961744196,-0.49944206956656356,0.27145174161059166,0.04943386960960838,0.23134348720174633,0.30292862359103623,0.9419913650442943,0.027683780790983076,-0.04627545286610041,R,32.0,1.189527365190105e-16,探索，非結論
49,167,F15+F18,2,0.0914438564290459,-0.3383814683523779,0.27023896099954164,0.03535117704830371,0.17044720844789857,0.20365239154766465,0.9184613244064195,-0.016446782397412985,-0.04748823347715042,F,,1.189527365190105e-16,探索，非結論
50,170,F17+F18,2,0.0803419326253873,-0.2977970313712148,0.2697875538095548,0.04156685468136902,0.12615680880476596,0.1676914267258183,0.9184668989547038,-0.027548706201071582,-0.04793964066713724,F,,1.189527365190105e-16,探索，非結論
51,76,F04+F15,2,0.11551689762102475,-0.43069610803308156,0.2682097550139737,0.05236289764924467,0.20332470026433253,0.2474532464618665,0.94177733319832,0.007626258794565868,-0.04951743946271836,R,33.0,6.291936572936392e-17,探索，非結論
52,156,F13+F14,2,0.0900547471532479,-0.33845120689961555,0.26607896594074815,0.03556685805656244,0.13983248474736867,0.2083528554321917,0.9184668989547038,-0.01783589167321098,-0.05164822853594392,F,,2.1652062034056896e-17,探索，非結論
53,53,F03+F06,2,0.1133702428241978,-0.42610161894494203,0.2660638631341289,0.017598082609391993,0.19573032888953068,0.2874212388292562,0.9184668989547038,0.005479603997738919,-0.05166333134256318,R,34.0,2.1652062034056896e-17,探索，非結論
54,163,F14+F17,2,0.0880760925631236,-0.33323485097589145,0.2643063662314709,0.04283925245038452,0.13669860504650957,0.18590145659647606,0.9184668989547038,-0.019814546263335286,-0.05342082824522115,F,,1.1379798787887329e-17,探索，非結論
55,141,F10+F17,2,0.09204741890601906,-0.35533318583384,0.2590453764964752,0.02697225154559449,0.1481237057919946,0.21435467511508394,0.9183141868622253,-0.015843219920439827,-0.05868181798021688,F,,1.0536862272994245e-18,探索，非結論
56,115,F07+F18,2,0.11034303597517385,-0.42630024837160774,0.2588387794674409,0.03430217445849524,0.19375784240548125,0.26400752250393184,0.9181879586845381,0.002452397148714966,-0.05888841500925118,R,35.0,8.473185591615404e-19,探索，非結論
57,56,F03+F09,2,0.0921577375731854,-0.35683844059341896,0.2582617988687765,0.023992550778271587,0.15400804835364784,0.227137880202346,0.9184668989547038,-0.01573290125327348,-0.05946539560791558,F,,6.811790960422904e-19,探索，非結論
58,130,F09+F14,2,0.0920566911906828,-0.3598192014577116,0.2558415193456593,0.03914168109867467,0.1723765060517624,0.22497099717156854,0.9184668989547038,-0.015833947635776086,-0.06188567513103277,F,,2.2777763806764614e-19,探索，非結論
