cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha
F14+F15,102051,0.09657251390747268,-0.35586965803853965,0.7159495417943467,0.9184668989547038,0.21982384686043072,96,2f3838e5a8bab41a
F14+F15,102052,0.005998173440545873,-0.3566721815571835,0.035647892305288975,0.9184668989547038,0.21795521618905644,96,9d3ae0173bb912c1
F14+F15,102053,0.021066498921696653,-0.46414255993600995,0.12987586313195054,0.9184668989547038,0.21491059107492186,96,4175ff9ae7b62e15
F14+F15,102054,0.0851787807991431,-0.39788949431954423,0.6141212144202046,0.9184668989547038,0.2264798035897217,96,a188bbd4f492cbfc
F14+F15,102055,0.10944880944774571,-0.3680847755028193,0.837383090506002,0.9184668989547038,0.21716230158860356,96,fb1d5f8a9210b628
F14+F15,102056,0.031802716300453504,-0.38011957033568367,0.20126167100039272,0.9123951520861544,0.20856324232938792,95,f9987fe6f43241c2
F14+F15,102057,0.005508520484204249,-0.42364408590380004,0.03269888543813293,0.9184668989547038,0.20772135669693034,96,d9f11b18e6b246b1
F14+F15,102058,0.08819977819144809,-0.37283749091385165,0.6406188906082393,0.9184668989547038,0.2251707109381306,96,1aa890fc6a88999c
F14+F15,102059,0.17230757782782935,-0.3542297235706904,1.5373849053474702,0.9184668989547038,0.22798117126297598,96,aeff70bfbb316328
F14+F15,102060,0.08315443317410698,-0.36700781509074565,0.5965646915692784,0.9184668989547038,0.21875656278528763,96,8c17ff88645c8d78
F14+F15,102061,0.05362160742344835,-0.32410988794380136,0.35789861013549573,0.9040666754998147,0.19624579007109633,94,c56b373cb7d21c37
F14+F15,102062,0.09194528480635311,-0.3356326364050196,0.6739712527060284,0.9184668989547038,0.21082108778873807,96,159ed9463dbe172b
F14+F15,102063,0.1060923208968898,-0.33815422548286334,0.8050629506902955,0.9184668989547038,0.22333124866257176,96,f1e2622b795b42e5
F14+F15,102064,0.15883548272514592,-0.3193062869800183,1.3712903718465137,0.9076449974481688,0.21762860008215507,94,f7f4e3eea2b0bf96
F14+F15,102065,0.061488470574336374,-0.35125704144826075,0.41836989709554784,0.9184668989547038,0.2286696497718113,96,33e5cb75e8b6d04e
F14+F15,102066,0.05818677395297578,-0.350820162246039,0.39272403434134917,0.9184668989547038,0.2004346664952656,96,959a1d635aad9b98
F14+F15,102067,0.030297670649161335,-0.38765864656221494,0.19103490927855082,0.9184668989547038,0.20336263180850137,96,98ca2248a9870b42
F14+F15,102068,0.05553099673738959,-0.32995652362024236,0.37237547754236267,0.9178830926398917,0.21320548512682636,96,75b55d68c7bf4a98
F14+F15,102069,0.07983739286692026,-0.37132288871004293,0.5681394954292696,0.9184668989547038,0.22259282808594252,96,66c2c8f0d405ed86
F14+F15,102070,0.1030618523812441,-0.4126927728959857,0.7762884740488272,0.9096085477342853,0.22262994035763248,95,7cbb005533196249
F14+F15,102071,0.08298543389923396,-0.3749592516024867,0.5951062056634377,0.9184441225691032,0.22349618071178567,96,60723b5911453852
F14+F15,102072,0.06662849188087305,-0.3726848993793092,0.4590736001252711,0.9113013144120851,0.1975555104863082,95,160b4e4096cba720
F14+F15,102073,0.052471541047336645,-0.39009231106453907,0.3492401586377287,0.9184668989547038,0.20990132116753815,96,409e5cc672d5f121
F14+F15,102074,0.04315989310792667,-0.39149623650298637,0.28080711827041527,0.9103407897792645,0.21343409015644635,95,0db9511f52d9e9b5
F14+F15,102075,0.1175992837635127,-0.3595523104349473,0.9178678205080315,0.9184668989547038,0.22304811550551634,96,c8acca02c5cbf9cd
F14+F15,102076,0.120039538627009,-0.32344455358898205,0.9425257647663494,0.9184668989547038,0.21103931441306145,96,5a5bcbae4038cecc
F14+F15,102077,0.12511153247632212,-0.38257595080926393,0.9946183209620276,0.9184668989547038,0.2228823555972181,96,6b49d30d73cd3d1f
F14+F15,102078,0.1328220831415885,-0.32796416004552453,1.0760263071145801,0.9184668989547038,0.20660147127827216,96,29dc46279006201e
F14+F15,102079,0.07698402854556674,-0.369631380441286,0.5440247365693749,0.9184668989547038,0.2025996452822174,96,5fb432b6f3428727
F14+F15,102080,0.0669046673166549,-0.3697401154543481,0.4612877549196066,0.9184668989547038,0.22270912669611348,96,e0a736c36c178605
F14+F15,102081,0.07445330237023828,-0.33283405479065037,0.5228948101003987,0.9184668989547038,0.21566116698394724,96,dd4b5233fc67a3d3
F14+F15,102082,0.11084058792842755,-0.3649550332145664,0.8509247414546486,0.9184668989547038,0.19694112068192066,96,0c4b42943d070456
F14+F15,102083,0.07223397031180756,-0.3209565610240099,0.5045627097248664,0.9184668989547038,0.2055534321285974,96,ba91021b51c2fad8
F14+F15,102084,0.09469463915054899,-0.35117790870217797,0.698809430961596,0.9184668989547038,0.20344837131491822,96,337ad0a8bce56a96
F14+F15,102085,0.07099513989651163,-0.3818868804080061,0.49440958038123806,0.9184668989547038,0.2170957302744347,96,90676c4819ac5d3a
