arm,r,seed,eq_sha,tr,tr_prev,cagr,mdd,expo,slot,trades
E1,42,102042,1dd4953d717237defd5db8a0adefed995c898f149f9f08568b7226235424b1f4,-0.6204772246031316,-0.6245384763709969,-0.09753245673677902,-0.7572033140659234,0.30362734545050335,0.3220608261461643,754
E1,43,102043,72f3173df8efc68cff25d16205424fb49f7dd3b1b7008a2ba2eb0278a7469d6c,-0.6121609634091134,-0.6163112070179583,-0.09545804176128558,-0.6724985525310213,0.2966461090656806,0.3139468906037222,757
E1,44,102044,6a58fd8b7e6568ef57e2b832a303ba0537c0b5e1f6d5bd3afa055beb6b059595,-0.4884501846165734,-0.4939242502768084,-0.06853932620228342,-0.6474822703820041,0.2954461058896805,0.31354970494779844,758
E1,45,102045,ec9551a3348c40411870dbe34597c8c3b39981a7b1ae8e6f115848ad6d0b8ba7,-0.7027810376501109,-0.7059615609665951,-0.12059959651614349,-0.7581610679238459,0.301396694791318,0.318656377666818,760
E1,46,102046,16275295d05d39eb08c9ba2ef95109ff2b2259951a1e9d72f6fdb55223dd613f,-0.6399253152794916,-0.6437784541282879,-0.10254691902123547,-0.7421225637787251,0.29759679381195986,0.3148547435315479,753
E1,47,102047,3f080b425577a63d69ed0ca2577107b3ff9855df232a255b452206e1ef37417b,-0.6926436391552031,-0.6959326421999881,-0.11746994799549337,-0.7865292872727394,0.29626682001694804,0.313833408987744,755
E1,48,102048,9b24a0e1b6331410caa589cbc488f78996a6d455bb7db3b28022119080bc7b6e,-0.758292170175137,-0.7608786720001107,-0.13964779537973238,-0.7938115194649586,0.296532244003489,0.3142305946436677,762
E1,49,102049,b9903b86f3d76445956e869bfd0cc3449ca4b51f9908c50e4c5fdf3ff9799edd,-0.6128771145627248,-0.6170196946785536,-0.09563510610322301,-0.6678747996438799,0.29777482328625793,0.31564911484339536,760
E1,50,102050,033d20e8a0cb9e6f8341e27415d22b1f2ea692f656a5b0f13e2a72fe64704232,-0.7668888174915497,-0.7693833270794963,-0.1429417112343988,-0.7922777364179149,0.3067162801371535,0.3248411257376305,741
E1,51,102051,1efe745a8597184af070ec7b89aeab6e26cb9acb2d069fb339fa19612992b6d7,-0.6534995340796814,-0.6572074159803486,-0.10619243125765687,-0.7396312571919446,0.2966376355556437,0.313833408987744,748
E1,52,102052,cf8648fec6d71c4bd1a7da8d6a2cebbc96e674c1f79ce1048087353fc8798ba3,-0.678130470398962,-0.681574778042284,-0.11314636001219414,-0.757407254565608,0.297726914796914,0.31530866999546076,761
E1,53,102053,13b6dd21bc5120863310e12690298d0a6ca8e51793f1949a2953a1cde3410ac5,-0.6021013964453092,-0.6063592869116398,-0.09300127609226272,-0.7309243787771158,0.28947491504772843,0.3069110304130731,763
