stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b,w_mean
main,1,win,47,1047,526,2859,163,98e317ccf804af6a,0.4141609668259265,-0.3948076260361124,0.2838657311588187,523.0,2836.0,
main,1,win,48,1048,526,2859,163,43231d89285aab84,0.398489246991923,-0.448366770360639,0.28820043541910895,523.0,2836.0,
main,1,win,49,1049,526,2859,163,9909eb2e80757e88,0.4292508336512353,-0.384084812852762,0.2886962686887431,523.0,2836.0,
main,1,win,50,1050,526,2859,163,84eadd43a8e312e5,0.4293738878469264,-0.3725310985832052,0.2859255664736247,523.0,2836.0,
main,1,win,51,1051,526,2859,163,d5f90d40d461479d,0.4503266292884982,-0.3866883124072832,0.28549514256101455,523.0,2836.0,
main,1,win,52,1052,526,2859,163,47f4a8730f9d3bf5,0.40820810081040904,-0.36107937344545266,0.2881078216391228,523.0,2836.0,
main,1,win,53,1053,526,2859,163,ad3f432b997a2320,0.4539124616688901,-0.36912156601276364,0.2911455465489853,523.0,2836.0,
main,1,win,54,1054,526,2859,163,aa7bbe9753311f94,0.39618897050241486,-0.3760999780568252,0.2839367857092156,523.0,2836.0,
main,1,win,55,1055,526,2859,163,cc9ef49cbfcf9e34,0.3973279233363842,-0.40755523971773205,0.2864313796313478,523.0,2836.0,
main,1,win,56,1056,526,2859,163,c05e7c217fe9de02,0.4192184775683909,-0.39135442725764963,0.2887649273561972,523.0,2836.0,
main,1,win,57,1057,526,2859,163,a266b23025e2f756,0.4316089504613101,-0.4326232498262595,0.2846690316855619,523.0,2836.0,
main,1,win,58,1058,526,2859,163,0e67b4aab68b2c25,0.3819161861857632,-0.3387291623153823,0.2858335243388864,523.0,2836.0,
main,1,win,59,1059,526,2859,163,db868fb03ba9dd1f,0.40496601258429576,-0.3904185960760845,0.2841043371905408,523.0,2836.0,
main,1,win,60,1060,526,2859,163,3368e492782f8fc7,0.3894836227596079,-0.37582679654871065,0.28408619377313227,523.0,2836.0,
main,1,win,61,1061,526,2859,163,c101325c402b24f6,0.39002697914459983,-0.3761645644132033,0.2851614926196179,523.0,2836.0,
main,1,win,62,1062,526,2859,163,0af80fd4fac15335,0.42061484729214205,-0.3870203993825645,0.28990157425033525,523.0,2836.0,
main,1,win,63,1063,526,2859,163,c74543a8ec3b016c,0.3786130140305155,-0.389015411893266,0.2848743032481241,523.0,2836.0,
main,1,win,64,1064,526,2859,163,5e2313eed7b812d6,0.3731103242544247,-0.449295869587318,0.28475555919680967,523.0,2836.0,
main,1,win,65,1065,526,2859,163,3a77c0cacf63f281,0.4393930099232579,-0.38417063253091255,0.28898848299793717,523.0,2836.0,
main,1,win,66,1066,526,2859,163,979934d62d09b1dd,0.4264347793660439,-0.3824959312084485,0.290642014784944,523.0,2836.0,
main,1,win,67,1067,526,2859,163,b64f2d6e569aa92e,0.42361002793065095,-0.3669155187278606,0.29056972851509344,523.0,2836.0,
main,1,win,68,1068,526,2859,163,a002d9fc53ffe5b7,0.4088802715243538,-0.4260617129113953,0.2859116031459693,523.0,2836.0,
main,1,win,69,1069,526,2859,163,8b0da11f9d0d6cee,0.4059735787253058,-0.4541647680289663,0.28758108825383255,523.0,2836.0,
main,1,win,70,1070,526,2859,163,cdfd73d63ac0ea05,0.3979806483427102,-0.3731041768862591,0.29071111974229946,523.0,2836.0,
main,1,win,71,1071,526,2859,163,9a02844f3724a714,0.4157143821464462,-0.37582309745898335,0.2877017742204867,523.0,2836.0,
main,1,win,72,1072,526,2859,163,8a04610c7c054064,0.4151832043010588,-0.3748199702694229,0.2880296131316271,523.0,2836.0,
main,1,win,73,1073,526,2859,163,9f27ff57f50a0e72,0.3764083993958691,-0.3907237696418239,0.2829395907265455,523.0,2836.0,
main,1,win,74,1074,526,2859,163,98f8dad1e82b623d,0.4022675159308806,-0.38897330043039513,0.28636083738558615,523.0,2836.0,
main,1,win,75,1075,526,2859,163,a1fb3ec91814a27a,0.409920626093363,-0.39344509409502715,0.2914509642332765,523.0,2836.0,
main,1,win,76,1076,526,2859,163,645b0c8b54113e0a,0.3845772795157436,-0.44185629213968325,0.2854443773169345,523.0,2836.0,
main,1,win,77,1077,526,2859,163,bad56cc4909b6437,0.424660858363618,-0.3818097505696427,0.2855765408309338,523.0,2836.0,
main,1,win,78,1078,526,2859,163,7c10a2218449fd9d,0.4023745272101842,-0.368735425224064,0.288570078558367,523.0,2836.0,
main,1,win,79,1079,526,2859,163,2ab08079edba7db9,0.4590924894849333,-0.38612868104438797,0.29294747809646376,523.0,2836.0,
main,1,win,80,1080,526,2859,163,adcb96207c0033d3,0.4123059889914513,-0.38092151170008154,0.2879127236102146,523.0,2836.0,
main,1,win,81,1081,526,2859,163,412c19587e6dba50,0.4079953917110064,-0.4148109706207006,0.28722792008917425,523.0,2836.0,
main,1,win,82,1082,526,2859,163,ef7c1d78d4c0866f,0.3598498960801473,-0.3997481513395293,0.2831729157637448,523.0,2836.0,
main,1,win,83,1083,526,2859,163,0c196004908cad95,0.4099494125425016,-0.4045264494580479,0.28618944821493597,523.0,2836.0,
main,1,win,84,1084,526,2859,163,8aea9a06e7b71d90,0.3909653541028708,-0.37991892958199297,0.282207078255758,523.0,2836.0,
main,1,win,85,1085,526,2859,163,b0b7734e46db80a7,0.36473086169084534,-0.3983882601305261,0.28491713510188477,523.0,2836.0,
main,1,win,86,1086,526,2859,163,635d631826e71197,0.39862940360242227,-0.3944504365749363,0.28349325749686355,523.0,2836.0,
main,1,win,87,1087,526,2859,163,829255433c5b8945,0.3842410341793485,-0.4323246786660713,0.2862933389285946,523.0,2836.0,
main,1,win,88,1088,526,2859,163,27d8c95b90cb0e42,0.41640610004665546,-0.3821106231161274,0.2895409980707973,523.0,2836.0,
main,1,win,89,1089,526,2859,163,cf8ebcab4928d48d,0.38166619971540916,-0.37156523896140586,0.2846787762401709,523.0,2836.0,
main,1,win,90,1090,526,2859,163,a4cd52d4e733d045,0.4122186822220193,-0.3934657621333895,0.28818505898127,523.0,2836.0,
main,1,win,91,1091,526,2859,163,3e97f159add4a52b,0.42367290844399785,-0.35417741547206844,0.2842125014110561,523.0,2836.0,
main,1,win,92,1092,526,2859,163,c218ba3f98f705ec,0.4146901167592394,-0.3849898351513305,0.2879435836561011,523.0,2836.0,
main,1,win,93,1093,526,2859,163,021a853a68859445,0.3993727817907695,-0.40593529526142325,0.28652378038802145,523.0,2836.0,
main,1,win,94,1094,526,2859,163,3bf12da727e9732c,0.4093234587700745,-0.3634886811878108,0.2838066346504376,523.0,2836.0,
main,1,win,95,1095,526,2859,163,ebb054a0bad3a3e9,0.38557617594314575,-0.37392586286166773,0.287595506731578,523.0,2836.0,
main,1,win,96,1096,526,2859,163,76bf58d74394d07a,0.3945402842210044,-0.38935807248092497,0.2857326644976533,523.0,2836.0,
main,1,win,97,1097,526,2859,163,d7af0cef15cb67e6,0.4078746033874807,-0.37328401936647404,0.28309192577977516,523.0,2836.0,
main,1,win,98,1098,526,2859,163,5d93caf3d8127e97,0.37626505750692774,-0.4087622861273852,0.2824861139686265,523.0,2836.0,
main,1,win,99,1099,526,2859,163,5c7cb49bdb40b0dd,0.3897088486166458,-0.42210695567910156,0.28460446973783055,523.0,2836.0,
main,1,win,100,1100,526,2859,163,bf5ddba29978da13,0.388232021019034,-0.3921535366726014,0.28897948277080016,523.0,2836.0,
main,1,win,101,1101,526,2859,163,07e696f24ff4dd5b,0.42806032945088446,-0.35903034160030545,0.2858887385733083,523.0,2836.0,
main,1,win,102,1102,526,2859,163,8187819fe6991f10,0.4056311871536584,-0.43003174291084845,0.2880868396568625,523.0,2836.0,
main,1,win,103,1103,526,2859,163,7da6158d3b9a2e54,0.38863081097982377,-0.445472666523319,0.28199535153646343,523.0,2836.0,
main,1,win,104,1104,526,2859,163,5a9585aa7b5f25a9,0.4177300218136999,-0.3786385500757606,0.28287438207651705,523.0,2836.0,
main,1,win,105,1105,526,2859,163,94d0943f8cd08534,0.3887183613907603,-0.41849883303136415,0.2872680042463409,523.0,2836.0,
main,1,win,106,1106,526,2859,163,3a76a78408f4f819,0.37760251962029945,-0.3825036887957972,0.28552643310937403,523.0,2836.0,
main,1,win,107,1107,526,2859,163,5c4bfc1c6c573ae6,0.3704982535092334,-0.3620594146841682,0.2861342413198812,523.0,2836.0,
main,1,win,108,1108,526,2859,163,8702dd104c01c6ad,0.39539685138395675,-0.3532238573616695,0.2853626813123346,523.0,2836.0,
main,1,win,109,1109,526,2859,163,6b7b6773a393d819,0.4278479321072364,-0.37580823266772234,0.28994111119874044,523.0,2836.0,
main,1,win,110,1110,526,2859,163,9b81c53a3464824a,0.4177551303177096,-0.4219620297525856,0.289058758019419,523.0,2836.0,
main,1,win,111,1111,526,2859,163,477cbfb6e23e5966,0.4203896850017401,-0.4275309245536743,0.289332507628271,523.0,2836.0,
main,1,win,112,1112,526,2859,163,e569d044743db4ec,0.39946210368373936,-0.4109639229537353,0.2817395170826442,523.0,2836.0,
main,1,win,113,1113,526,2859,163,eec0b7ce41f3db17,0.40558933755933424,-0.37355500922918816,0.2873501334161043,523.0,2836.0,
main,1,win,114,1114,526,2859,163,cd6dfe4bf9ea5304,0.38914068999279405,-0.46846598612710133,0.2881772093783743,523.0,2836.0,
main,1,win,115,1115,526,2859,163,82fc25afb103870a,0.4044025694022546,-0.45646205866226713,0.2884697385928847,523.0,2836.0,
main,1,win,116,1116,526,2859,163,9799ca63a9adadbf,0.3582460123265183,-0.3848322535452333,0.28122889982521737,523.0,2836.0,
main,1,win,117,1117,526,2859,163,fa78fd6aeb78124f,0.43624476226806785,-0.3772896807240474,0.28665093781514767,523.0,2836.0,
main,1,win,118,1118,526,2859,163,fa8f8695d84d2887,0.3567465308893063,-0.38750088922746856,0.28130815829597977,523.0,2836.0,
main,1,win,119,1119,526,2859,163,f58d5f7341ad505a,0.3890812254492775,-0.42162489630054917,0.2816366253155516,523.0,2836.0,
main,1,win,120,1120,526,2859,163,fdb14ec301a6e94b,0.38421778408774987,-0.39096252290686495,0.28243114083133175,523.0,2836.0,
main,1,win,121,1121,526,2859,163,3cec81aaba50cd62,0.41685830870443286,-0.4151708925431378,0.28731961254013333,523.0,2836.0,
main,1,win,122,1122,526,2859,163,8657c694dc4f6662,0.37527441219159385,-0.3827550972298075,0.28192114683230096,523.0,2836.0,
main,1,win,123,1123,526,2859,163,ebc87dd75487934c,0.42410377064499727,-0.3740506068670982,0.28841256928939923,523.0,2836.0,
main,1,win,124,1124,526,2859,163,8e125a9ec94a74b5,0.3642555012611064,-0.4056007949893267,0.28246756829087805,523.0,2836.0,
main,1,win,125,1125,526,2859,163,7ac6762980c903ab,0.40344564678236994,-0.3979275976872828,0.2886659471107051,523.0,2836.0,
main,1,win,126,1126,526,2859,163,ccfac471325da950,0.3773176531965525,-0.37247908405290037,0.2851666275657518,523.0,2836.0,
main,1,win,127,1127,526,2859,163,6b1c0150c0837278,0.424146156012283,-0.3663259930602869,0.28967688250560464,523.0,2836.0,
main,1,win,128,1128,526,2859,163,67cc1fa7eb63c246,0.43145136247082294,-0.3564496871320301,0.2849386841766898,523.0,2836.0,
main,1,win,129,1129,526,2859,163,762bc5514e6621ce,0.377106403716589,-0.38670886861823,0.2836120619324755,523.0,2836.0,
main,1,win,130,1130,526,2859,163,622545a7ba18f645,0.44553759243875857,-0.3815815133534908,0.2939198103619219,523.0,2836.0,
main,1,win,131,1131,526,2859,163,de42593c7e938886,0.403234154276354,-0.42135721056258824,0.28966335658616915,523.0,2836.0,
main,1,win,132,1132,526,2859,163,7f8ce7a277be5889,0.40066005911786706,-0.36978311732553,0.28455551337375445,523.0,2836.0,
main,1,win,133,1133,526,2859,163,e04478857281abf8,0.44337356229570757,-0.3603328287986513,0.2877289650870161,523.0,2836.0,
main,1,win,134,1134,526,2859,163,3f5c4ac0564d8dfa,0.42404280150441775,-0.4318881533365975,0.2911672779329587,523.0,2836.0,
main,1,win,135,1135,526,2859,163,6944c68c7d1b6b45,0.40578064748174203,-0.3926091394216446,0.29155259386969024,523.0,2836.0,
main,1,win,136,1136,526,2859,163,7f7b941d97fbc98a,0.40614071899306414,-0.40434843946678883,0.28626088171849834,523.0,2836.0,
main,1,win,137,1137,526,2859,163,9945a6c577f761ba,0.37677266981191404,-0.4317161601262572,0.2859520268920959,523.0,2836.0,
main,1,win,138,1138,526,2859,163,53cb40902d1fc489,0.43046964792143005,-0.39262480535476574,0.28877663058126396,523.0,2836.0,
main,1,win,139,1139,526,2859,163,4edf40de5d1c79a9,0.40912727704263907,-0.4012653293697764,0.28580667507571417,523.0,2836.0,
main,1,win,140,1140,526,2859,163,6f2abb192fbd2dcc,0.41471578047849356,-0.45644185188750724,0.28948907243624544,523.0,2836.0,
