stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
dataonly,1,orig,64,1064,511,2859,166,f0d3130538916b65,0.4639800541429697,-0.4318941902873091,0.2919910460717445,511,2859
dataonly,1,orig,65,1065,511,2859,166,e374917b5f8cfb22,0.5031006459136804,-0.36991104769584177,0.2939932196543131,511,2859
dataonly,1,orig,66,1066,511,2859,166,4b4712155eec6f77,0.475010516948122,-0.3768603861334643,0.2925288559773231,511,2859
dataonly,1,orig,67,1067,511,2859,166,977d224c4fd73e63,0.4614241396227554,-0.41693057473875006,0.29082511253010374,511,2859
dataonly,1,orig,68,1068,511,2859,166,aaec4e805b6b680e,0.4766265905116962,-0.3834260710831109,0.2916834409285272,511,2859
dataonly,1,orig,69,1069,511,2859,166,11d66e04f4dd36a0,0.48817027258270507,-0.4101211546696835,0.2899450702660239,511,2859
dataonly,1,orig,70,1070,511,2859,166,81398dc01c0f3f14,0.48854141819318375,-0.37246591606058477,0.2936431816055488,511,2859
dataonly,1,orig,71,1071,511,2859,166,50d8aa014264e636,0.4905821001554489,-0.3817825035492316,0.29205175878274975,511,2859
dataonly,1,orig,72,1072,511,2859,166,4c28bb57b61a75a7,0.5215768993762082,-0.3259129795357632,0.29241131946295895,511,2859
dataonly,1,orig,73,1073,511,2859,166,ba9e40e008793e0f,0.45180862396176447,-0.4084047062566019,0.28667384414161456,511,2859
dataonly,1,orig,74,1074,511,2859,166,3951d17022d7b8b4,0.49386842124290076,-0.33875573010714627,0.2869585474034018,511,2859
dataonly,1,orig,75,1075,511,2859,166,b9e089c1c4703ccd,0.4958440500847885,-0.38337265613241234,0.29430852805650093,511,2859
dataonly,1,orig,76,1076,511,2859,166,ab7f6d586acafecf,0.499231428216631,-0.3817723251342365,0.29437198931797526,511,2859
dataonly,1,orig,77,1077,511,2859,166,478e575b1b179840,0.458925297102575,-0.38180975056964256,0.28745780017944655,511,2859
dataonly,1,orig,78,1078,511,2859,166,8bedbaa8a20cfb42,0.4545653742778968,-0.39117831264410835,0.28513155859881223,511,2859
dataonly,1,orig,79,1079,511,2859,166,b3023a51f0a68aea,0.4435517504505244,-0.37328406623123106,0.28782574405487765,511,2859
dataonly,1,orig,80,1080,511,2859,166,50ccb820dd12ffb3,0.4564694238102709,-0.43297431914634826,0.2904539779679501,511,2859
dataonly,1,orig,81,1081,511,2859,166,6beedfde3fa32766,0.42779293165197396,-0.42869894209443565,0.28334754909527127,511,2859
dataonly,1,orig,82,1082,511,2859,166,1c1cb2797e0d6af7,0.48548191668579466,-0.40579945975049675,0.290556480179443,511,2859
dataonly,1,orig,83,1083,511,2859,166,1c654b714c50f25a,0.49474214094662305,-0.364965066078337,0.2931353392554843,511,2859
dataonly,1,orig,84,1084,511,2859,166,6e66698c37d2fcf1,0.47121279345781164,-0.379918929581993,0.286004920910532,511,2859
dataonly,1,orig,85,1085,511,2859,166,8e3610b98f4ebc09,0.4894029830057405,-0.40259878312873654,0.28838847931701844,511,2859
dataonly,1,orig,86,1086,511,2859,166,9d297037260cb172,0.47502137071562855,-0.43253449333403937,0.29221363414330254,511,2859
