stage,cell,mode,r,seed,first,end,trades,eq_sha,cagr,mdd,vol,win_a,win_b
winonly,3,win,135,7135,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,136,7136,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,137,7137,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,138,7138,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,139,7139,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,140,7140,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,141,7141,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,142,7142,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,143,7143,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,144,7144,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,145,7145,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,146,7146,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
winonly,3,win,147,7147,526,2850,292,f7122ae00d98830b,0.2976075735851518,-0.3814804062864736,0.3110216107691548,523,2836
