key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-03-09_5388,2016-03-09,5388,中磊,twse,84.60,86.00,84.50,86.00,2545531,216884366,0.9,,,1509,
2016-03-09_5392,2016-03-09,5392,應華,tpex,53.00,53.40,52.00,52.00,396000,20837600,,,99583485,262,
2016-03-09_5403,2016-03-09,5403,中菲,tpex,23.90,24.60,23.90,24.50,200000,4884650,0.50,,62630041,113,
2016-03-09_5410,2016-03-09,5410,國眾,tpex,12.30,12.30,12.15,12.25,132000,1613850,0.00,,89740123,46,
2016-03-09_5425,2016-03-09,5425,台半,tpex,41.05,41.05,39.50,39.90,2882000,115335550,,,240129327,1546,
2016-03-09_5426,2016-03-09,5426,振發,tpex,10.95,11.00,10.90,11.00,79000,862700,,,143800000,31,
2016-03-09_5434,2016-03-09,5434,崇越,twse,59.40,59.80,59.30,59.70,296474,17667187,0.4,,,219,
2016-03-09_5438,2016-03-09,5438,東友,tpex,14.95,15.35,14.95,15.20,1011000,15331150,0.25,,112536565,386,
2016-03-09_5439,2016-03-09,5439,高技,tpex,20.20,20.20,20.05,20.20,52000,1047000,0.00,,77975752,30,
2016-03-09_5443,2016-03-09,5443,均豪,tpex,16.80,17.00,16.50,16.60,2143000,35808150,,,165136144,926,
2016-03-09_5450,2016-03-09,5450,寶聯通,tpex,9.40,9.40,9.31,9.35,20000,187840,,,50392250,7,
2016-03-09_5452,2016-03-09,5452,佶優,tpex,12.00,12.55,12.00,12.20,692000,8480550,0.20,,150865669,298,
2016-03-09_5455,2016-03-09,5455,訊利電,tpex,5.51,6.06,5.51,6.06,7000,41320,0.55,,35501813,5,
2016-03-09_5457,2016-03-09,5457,宣德,tpex,27.00,27.10,26.45,26.60,621000,16547850,,,167800000,318,
2016-03-09_5460,2016-03-09,5460,同協,tpex,12.00,12.60,12.00,12.25,1012000,12433900,0.25,,72032030,266,
2016-03-09_5464,2016-03-09,5464,霖宏,tpex,17.40,17.40,17.25,17.35,61000,1055750,,,71071490,31,
2016-03-09_5465,2016-03-09,5465,富驊,tpex,13.60,13.60,13.20,13.20,148000,2001150,,,144091811,66,
2016-03-09_5468,2016-03-09,5468,凱鈺,tpex,6.05,6.33,6.05,6.30,87000,547100,0.25,,52987909,39,
