key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit
2026-09-02_00715L,2026-09-02,00715L,期街口布蘭特正2,twse,58.00,58.35,56.75,57.00,13411775,772858014,4.75,
2026-09-02_00717,2026-09-02,00717,富邦美國特別股,twse,14.65,14.65,14.60,14.61,33133,484573,-0.06,
2026-09-02_00719B,2026-09-02,00719B,元大美債1-3,tpex,30.95,31.05,30.95,31.02,1763769,54684352,0.07,
2026-09-02_00720B,2026-09-02,00720B,元大投資級公司債,tpex,31.65,31.71,31.61,31.71,2902391,91910174,-0.02,
2026-09-02_00722B,2026-09-02,00722B,群益投資級電信債,tpex,34.00,34.06,33.98,34.06,2608585,88806454,0.00,
2026-09-02_00723B,2026-09-02,00723B,群益投資級科技債,tpex,29.13,29.18,29.10,29.18,143000,4170410,0.00,
2026-09-02_00724B,2026-09-02,00724B,群益投資級金融債,tpex,32.53,32.59,32.49,32.59,3689160,120041962,-0.01,
2026-09-02_00725B,2026-09-02,00725B,國泰投資級公司債,tpex,33.73,33.79,33.70,33.78,4827327,162902384,-0.02,
2026-09-02_00726B,2026-09-02,00726B,國泰新興投等債,tpex,32.08,32.13,32.07,32.13,150701,4839370,0.03,
2026-09-02_00727B,2026-09-02,00727B,國泰優選非投等債,tpex,39.12,39.23,39.02,39.23,185594,7265650,0.11,
2026-09-02_00728,2026-09-02,00728,第一金工業30,twse,70.40,70.40,69.20,69.20,166918,11617515,-1.3,
2026-09-02_00730,2026-09-02,00730,富邦臺灣優質高息,twse,29.24,29.24,28.85,28.95,45262,1310980,-0.31,
2026-09-02_00731,2026-09-02,00731,復華富時高息低波,twse,96.60,97.00,96.45,96.95,599675,58037339,0.5,
2026-09-02_00733,2026-09-02,00733,富邦臺灣中小,twse,67.85,67.85,66.95,67.05,96606,6505678,-0.95,
2026-09-02_00734B,2026-09-02,00734B,台新JPM新興債,tpex,15.48,15.48,15.48,15.48,1000,15480,0.11,up
2026-09-02_00735,2026-09-02,00735,國泰臺韓科技,twse,103.65,103.65,102.05,102.35,1120893,114965290,-2.15,
2026-09-02_00736,2026-09-02,00736,國泰新興市場,twse,31.55,31.58,31.50,31.50,103932,3278721,-0.27,
2026-09-02_00737,2026-09-02,00737,國泰AI機器人,twse,40.89,40.89,40.10,40.22,110034,4429469,-1.1,
2026-09-02_00738U,2026-09-02,00738U,期元大道瓊白銀,twse,50.75,50.95,50.30,50.75,5195995,263119497,-1.95,
2026-09-02_00739,2026-09-02,00739,元大MSCI A股,twse,27.96,27.96,27.33,27.58,50286,1383205,-0.38,
2026-09-02_00740B,2026-09-02,00740B,富邦全球投等債,tpex,36.99,37.13,36.99,37.13,442711,16420916,-0.03,
