r,w_med,w_p10,w_p90,w_min,w_max,w_spread,w_edge_frac,cagr_cost0,mdd_cost0,cagr_shift1,mdd_shift1,placebo_same5,placebo_same7,placebo_len,compose_dev_w0,compose_dev_w1,compose_turn_w0,shuf_mdd_med,shuf_cagr_med
97,0.40325865962278606,0.34314072089750414,0.496480079943944,0.29216245072952923,0.5465830263623731,0.15333935904643986,0.0,0.2484370994289946,-0.3049842653312686,0.24606710111116192,-0.3055990072189461,True,False,22,8.229182079839406e-15,3.155304347317304e-15,0.0,-0.3074313380457363,0.24699670096017134
98,0.4077847663161419,0.3508852205666419,0.53120682526747,0.2871869026202157,0.5732266071732303,0.1803216047008281,0.0,0.24278637721406837,-0.3293333534248328,0.23958575586610031,-0.3296012092905914,True,False,22,8.229182079839406e-15,9.636555325901171e-15,0.0,-0.33423148453093976,0.23288342128725403
99,0.4203777222966097,0.3408254512285531,0.4990267530794853,0.26351253137082725,0.6463444523946619,0.15820130185093217,0.0,0.21880597782898326,-0.36854021543163684,0.21571744027848494,-0.36859589942022025,True,False,22,8.229182079839406e-15,1.6548037308367204e-15,0.0,-0.3557241195451508,0.2109143731596872
100,0.41951823388965065,0.32229396376680947,0.5,0.23872981293658432,0.5439802682784581,0.17770603623319053,0.0,0.30524861648190726,-0.3411220812406957,0.3019800946478788,-0.3411668501788584,True,False,22,8.229182079839406e-15,5.8054606333440265e-15,0.0,-0.32797680634978876,0.2914668589852477
101,0.39954870081614113,0.3517081683867959,0.49567970923218774,0.28025780721286164,0.5225926656979473,0.14397154084539182,0.0,0.32216889860807796,-0.3549731986249026,0.31940397170823154,-0.3547841204043173,True,False,22,8.229182079839406e-15,5.467142003604665e-15,0.0,-0.34389320590439165,0.3199560041932703
102,0.40624798717344607,0.327619194197974,0.5,0.2754217689776874,0.5643120586014866,0.17238080580202603,0.0,0.2952945473297719,-0.32159949049499204,0.29272243835838396,-0.3220056403732308,True,False,22,8.229182079839406e-15,2.9718412641619496e-15,0.0,-0.31980602941704717,0.283150721743581
103,0.392697066685376,0.3426732653496566,0.5017454427803498,0.30720728509269557,0.5526904631407173,0.15907217743069324,0.0,0.31556402156828844,-0.30277427888334413,0.3130764222324409,-0.30325770485122905,True,False,22,8.229182079839406e-15,1.7897895291788904e-15,0.0,-0.30578499582915375,0.3123238889349741
104,0.4254723366353576,0.3539629484048686,0.5210529049086546,0.2676257958702932,0.5441078261798625,0.16708995650378605,0.0,0.2784060987291552,-0.36076571203527963,0.27586270270692004,-0.36093813580231704,True,False,22,8.229182079839406e-15,2.2166569451079956e-15,0.0,-0.346010651661808,0.2740163828586617
105,0.415269547460668,0.3574925988579513,0.5064622791937112,0.29116182670351953,0.5295854613332023,0.1489696803357599,0.0,0.2709469988419966,-0.31139969538501133,0.2685874336425407,-0.3115062418756506,True,False,22,8.229182079839406e-15,4.9821175103395126e-15,0.0,-0.30675334284641714,0.25394951183670245
106,0.4260490839667481,0.35220805230604113,0.49916739458857096,0.29126390846746203,0.5321675283463374,0.14695934228252983,0.0,0.2640747585554384,-0.3619778453821675,0.2618586919412289,-0.3623662240852126,True,False,22,8.229182079839406e-15,4.305482839136516e-15,0.0,-0.3482717540909094,0.2546680009016158
107,0.4026953108517519,0.35776666051327755,0.5,0.3338235679104661,0.5163976974752159,0.14223333948672245,0.0,0.2629332015881263,-0.3746018235951042,0.259985118422978,-0.3747856704501301,True,False,22,8.229182079839406e-15,3.4821751178133716e-15,0.0,-0.3621051195003755,0.2614591562019485
108,0.41879280875488234,0.35306121421240305,0.5,0.3147117347570803,0.5191482509844246,0.14693878578759695,0.0,0.28974528280226464,-0.32149033560910306,0.2870999604737401,-0.3220175838933812,True,False,22,8.229182079839406e-15,3.0823504703489767e-15,0.0,-0.32372712090654926,0.27838567636642564
109,0.4239477366620998,0.34797200084568203,0.5,0.26641205677973934,0.560346400544084,0.15202799915431797,0.0,0.267052969970051,-0.3261793317682536,0.2649894715354979,-0.3264759248450724,True,False,22,8.229182079839406e-15,2.597106664539774e-15,0.0,-0.3176756936424784,0.2562313931820541
110,0.40695010868337494,0.3442855511184405,0.5,0.21522108458530756,0.5538508850565245,0.1557144488815595,0.0,0.25837341648441914,-0.32214676245334145,0.2556000425575282,-0.32240312000715604,True,False,22,8.229182079839406e-15,3.3356095553145357e-15,0.0,-0.31711717364858744,0.24217633634177127
111,0.4050692412536103,0.3418898819401242,0.5,0.3086915496574261,0.5301901372430895,0.1581101180598758,0.0,0.2816504470328032,-0.36175857554137014,0.2793080972559039,-0.36187395781914167,True,False,22,8.229182079839406e-15,5.999780865057422e-15,0.0,-0.34921683426865424,0.27642465186776577
112,0.4093217316422375,0.3324848244439641,0.5003382183442109,0.2761818406746857,0.5838334984172187,0.16785339390024678,0.0,0.31476305201722377,-0.31562903281878,0.31229109195809124,-0.31631132286570807,True,False,22,8.229182079839406e-15,2.9650988630620084e-15,0.0,-0.31976894851475723,0.30644320074142817
113,0.4148222277310704,0.35435748655953414,0.5,0.29600262734553767,0.5505532661033194,0.14564251344046586,0.0,0.31678641166840604,-0.30463853926779816,0.31426821697985496,-0.30474403788422355,True,False,22,8.229182079839406e-15,2.4122735599032677e-15,0.0,-0.30692065475678043,0.3042364641919718
114,0.39591101235253234,0.32811759908859217,0.5,0.21036142594559887,0.5911862901036133,0.17188240091140783,0.0,0.28251591660470043,-0.3660899683643317,0.2795134950093763,-0.366423008867319,True,False,22,8.229182079839406e-15,1.9065785009749976e-15,0.0,-0.34859137094467063,0.27527714658048463
115,0.4118742986260176,0.34473449715613913,0.5127311539729811,0.28535143192553714,0.5596007090723376,0.16799665681684195,0.0,0.2737837207305811,-0.31291280648647407,0.27173958185930913,-0.3131903048107442,True,False,22,8.229182079839406e-15,1.762991572834722e-15,0.0,-0.3078304109487138,0.2627464232478607
116,0.42491414252987114,0.3500927383443893,0.5,0.2747684666311268,0.5522821078991009,0.1499072616556107,0.0,0.2801767058936764,-0.3191988569244221,0.2776274716729328,-0.3192653189915074,True,False,22,8.229182079839406e-15,6.124671413995009e-15,0.0,-0.32158349144697895,0.27368186771193004
117,0.4217077849927816,0.36248996531436845,0.5078444581737568,0.2756807692679107,0.5407303784441374,0.14535449285938834,0.0,0.28219005243738793,-0.3321177594837464,0.2792046178182368,-0.33234308723931205,True,False,22,8.229182079839406e-15,3.1759151398329353e-15,0.0,-0.3380988461742964,0.27233632792417384
118,0.4048815269046939,0.3547442098617773,0.5,0.30754908383774027,0.55817961147508,0.1452557901382227,0.0,0.2835263978194007,-0.3398267032474717,0.2807535680343465,-0.34020411124760264,True,False,22,8.229182079839406e-15,3.1343483415525596e-15,0.0,-0.3436639269302115,0.27118031399382136
119,0.42659814991722167,0.3428609851639633,0.5035559250185441,0.2770858281313813,0.581576115648733,0.16069493985458078,0.0,0.2533326819740025,-0.33634592314635303,0.25101974722752685,-0.3364426599315753,True,False,22,8.229182079839406e-15,4.257812357722146e-15,0.0,-0.32652230695556356,0.251079148921851
120,0.4072237203231854,0.34875183935099013,0.50567611605525,0.2678682370106679,0.5176327657762239,0.15692427670425985,0.0,0.282581237873726,-0.3162215542564562,0.2802187192395251,-0.3167227377550063,True,False,22,8.229182079839406e-15,3.4737882621001875e-15,0.0,-0.3144227020699484,0.2757815080397211
121,0.41020312618560434,0.35351750550851174,0.5,0.27970879167503687,0.5256921630274376,0.14648249449148826,0.0,0.26810441675735075,-0.3102084849438492,0.2658957192172029,-0.3105311047880568,True,False,22,8.229182079839406e-15,5.772217905765304e-15,0.0,-0.3131103151465888,0.2584284293152037
122,0.4127173526650401,0.3538089326265638,0.5,0.2763036463609967,0.556564107960731,0.14619106737343618,0.0,0.2730464796394978,-0.32363679558886016,0.27051072897250705,-0.324163461269376,True,False,22,8.229182079839406e-15,5.925252281384061e-15,0.0,-0.32825225511162237,0.2634755071158116
123,0.4209623149696475,0.35657890240405404,0.5224306140005972,0.26929779829709605,0.5797831321698195,0.16585171159654316,0.0,0.21598515317218325,-0.3799940997198699,0.21291606347428305,-0.380262838091232,True,False,22,8.229182079839406e-15,4.107095414638132e-15,0.0,-0.3568162900176072,0.21465534252151353
124,0.43322159953078054,0.3471702508621467,0.5,0.22478910860188334,0.5720658631512295,0.1528297491378533,0.0,0.2765060146244036,-0.3246133234528571,0.2736689458753172,-0.32527708988381193,True,False,22,8.229182079839406e-15,2.6450227935958178e-15,0.0,-0.32678940905277076,0.2651072397565023
125,0.4204335382754695,0.3709143690162354,0.5156250481238035,0.2923786622452419,0.5733310974330551,0.14471067910756807,0.0,0.24780115005587988,-0.32187865684120537,0.24537433437363343,-0.3228051571495767,True,False,22,8.229182079839406e-15,2.627601850650248e-15,0.0,-0.32660236872058723,0.24237556771083424
126,0.4069651641024517,0.3373446771748795,0.5,0.25912698023240227,0.5480683207859665,0.16265532282512052,0.0,0.2707612353248299,-0.3303004162025199,0.2682853393250295,-0.3308988255234271,True,False,22,8.229182079839406e-15,1.9286132978427745e-15,0.0,-0.3312229503350541,0.26203354454492667
127,0.4217512525696159,0.35639023770926903,0.5166977536102995,0.2773169377686358,0.5499719525015639,0.16030751590103043,0.0,0.2508283722351454,-0.32050833779745536,0.24770233378799777,-0.3203833170483682,True,False,22,8.229182079839406e-15,5.479831778151775e-15,0.0,-0.3131918186685628,0.24034716624114805
128,0.40763444067755983,0.3356597869462337,0.5037984353713324,0.27314890273759285,0.5506416288187929,0.16813864842509868,0.0,0.31242519931054313,-0.3083234289183519,0.3094486748767953,-0.308480844881866,True,False,22,8.229182079839406e-15,2.5498483394726667e-15,0.0,-0.3016874726667525,0.3142461135727319
129,0.398155653397586,0.32330354287212626,0.5063363753786347,0.2282456586472986,0.5480163341735794,0.18303283250650848,0.0,0.3183613758768371,-0.3268510297932616,0.3151629155984852,-0.32710129531016946,True,False,22,8.229182079839406e-15,3.015007542857244e-15,0.0,-0.32256379240778027,0.32048894325050503
130,0.38186450339220773,0.33259471743690566,0.5080118839787782,0.2355941322080959,0.5496040577654626,0.1754171665418725,0.0,0.30193932368917675,-0.3186221919077278,0.2991969559704979,-0.31939551217976553,True,False,22,8.229182079839406e-15,3.5029055537996404e-15,0.0,-0.3201052491537426,0.29413356037383687
131,0.4210398262369966,0.3667482592900621,0.5,0.34103690041435625,0.5476821771218358,0.1332517407099379,0.0,0.24464959960755372,-0.3164269570008434,0.24267412981506298,-0.3169764291693879,True,False,22,8.229182079839406e-15,3.0911753485382576e-15,0.0,-0.3165639082550504,0.23936647873775563
132,0.39878406360551194,0.3470260921584099,0.5040892503006993,0.26190257105480774,0.5560389201721735,0.15706315814228938,0.0,0.29274258323467706,-0.3023794931502934,0.2902546177648706,-0.30301475533925193,True,False,22,8.229182079839406e-15,2.0480943136145856e-15,0.0,-0.30327189457421705,0.28511371066341484
133,0.40445447070050433,0.3366705437983395,0.5071620849369342,0.2542063877366008,0.5543655148247365,0.17049154113859466,0.0,0.27866255134348084,-0.3358342334357192,0.2763209266129929,-0.3361319059129562,True,False,22,8.229182079839406e-15,3.5402018664325374e-15,0.0,-0.3319209993324479,0.27378916819648824
