r,天數_營飆有持股,天數_營飆空手,重疊÷營飆_逐日均值,重疊÷營飆_逐日中位,重疊÷#13_逐日均值,重疊÷#13_逐日中位,同時持有檔數_逐日均值,營飆持股數_逐日均值,#13持股數_逐日均值,營飆進場數,營飆進場_同檔同週也在#13進場,#13進場_同檔同週也在營飆進場
85,2156,157,0.3391303707630238,0.2857142857142857,0.17063819521667015,0.1,2.712926934716818,8.38651102464332,17.830955469087765,163,0.5153374233128835,0.12017167381974249
86,2156,157,0.3546660114262155,0.3,0.17834927424459412,0.1,2.8508430609597926,8.38651102464332,17.830955469087765,163,0.5521472392638037,0.12875536480686695
87,2156,157,0.3433110257089849,0.2857142857142857,0.17287132152281323,0.1,2.7492434068309555,8.38651102464332,17.830955469087765,163,0.5214723926380368,0.12160228898426323
88,2156,157,0.34544994404688284,0.2857142857142857,0.1736681490238846,0.1,2.769130998702983,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
89,2156,157,0.3540923079188385,0.3,0.1778476472471487,0.10526315789473684,2.8443579766536966,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
90,2156,157,0.34467101775775244,0.2857142857142857,0.1738026059864245,0.1,2.761348897535668,8.38651102464332,17.830955469087765,163,0.5276073619631901,0.12303290414878398
91,2156,157,0.3434521968960745,0.2857142857142857,0.17273027168693808,0.1,2.7505404236921747,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
92,2156,157,0.35246561828194484,0.3,0.1769996081378314,0.1111111111111111,2.8296584522265458,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
93,2156,157,0.3498468651529876,0.3,0.17576250382078457,0.10526315789473684,2.8097708603545177,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
94,2156,157,0.35239125953411665,0.3,0.17694890714341077,0.1111111111111111,2.830955469087765,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
95,2156,157,0.3476639573578349,0.3,0.17464237530444157,0.10526315789473684,2.79031560743623,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
96,2156,157,0.3489343139853344,0.3,0.1758301206984915,0.10818713450292397,2.8006917423259834,8.38651102464332,17.830955469087765,163,0.5460122699386503,0.12732474964234622
97,2156,157,0.3478899785022234,0.2857142857142857,0.1747400189186808,0.1,2.791612624297449,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
98,2156,157,0.35299588450098657,0.3,0.17766432753380404,0.1,2.8348465196714225,8.386078685689581,17.830955469087765,163,0.5521472392638037,0.12875536480686695
99,2156,157,0.34548528285773183,0.3,0.1736870708920486,0.10526315789473684,2.7712926934716817,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
100,2156,157,0.3535278072267868,0.3,0.17778648603982325,0.1111111111111111,2.8426286208387377,8.386078685689581,17.830955469087765,163,0.5460122699386503,0.12732474964234622
101,2156,157,0.3487784182937244,0.3,0.1756552847956491,0.10526315789473684,2.8019887591872026,8.386078685689581,17.830955469087765,163,0.5398773006134969,0.12589413447782546
102,2156,157,0.3445340798657125,0.2857142857142857,0.17355643153414654,0.1,2.761348897535668,8.386078685689581,17.830955469087765,163,0.5276073619631901,0.12303290414878398
103,2156,157,0.3438860176105074,0.3,0.17296614147977185,0.10526315789473684,2.7552961521833117,8.386078685689581,17.830955469087765,163,0.5214723926380368,0.12160228898426323
104,2156,157,0.34934383926730866,0.3,0.1757139254284524,0.1,2.802853437094682,8.386078685689581,17.830955469087765,163,0.5337423312883436,0.12446351931330472
