seed,段,sid,vol60,回看無成交日比,段內無成交日比,段內報酬
102015,1,4528,0.025346147289194838,0.0,0.0,-0.3983237994389772
102015,1,4147,0.026573363427795794,0.0,0.0,-0.40032680219604744
102015,2,2352,0.010714712417989325,0.0,0.0,-0.36619722700282553
102015,2,2929,0.012596337047428444,0.0,0.0,-0.48046466530464105
102015,2,2385,0.0126341252939978,0.0,0.0,-0.1768018355803106
102015,2,4915,0.01273966824462143,0.0,0.0,-0.4695787798373531
102015,2,2377,0.013068258678752978,0.0,0.0,-0.19010122507269323
102015,2,4107,0.013241223372640384,0.0,0.0,-0.3749019742598344
102015,2,9958,0.01425674796254969,0.0,0.0,-0.01377407936865882
102015,2,2059,0.014377405604272725,0.0,0.0,-0.15909097757274615
102015,3,2912,0.007066831879868646,0.0,0.0,-0.08480827015007875
102015,3,2884,0.010056057339144341,0.0,0.0,-0.08394868428664948
102015,3,2409,0.018135784357655123,0.0,0.0,-0.418428559039705
102015,3,2515,0.01907414066965365,0.0,0.0,-0.4251979774135425
102015,3,2206,0.019138731048718955,0.0,0.0,-0.1703650760862374
102015,3,1314,0.019707541216893935,0.0,0.0,-0.44566207512393197
102015,3,8155,0.020528654502698043,0.0,0.0,-0.29859576869710613
102015,3,6274,0.02544697347465147,0.0,0.0,-0.30357139084640605
102016,1,2633,0.008541656290662612,0.0,0.0,0.215325597250708
102016,1,1102,0.014993159545584174,0.0,0.0,0.15916974313573684
102016,1,1710,0.020066731896744447,0.0,0.0,-0.538711228078891
102016,1,8489,0.02252461055786175,0.0,0.0,-0.7859236060451502
102016,1,5274,0.02383175583740755,0.0,0.0,0.045369267334345986
102016,1,2408,0.024801506380465875,0.0,0.0,-0.4584047178993046
102016,1,4528,0.025346147289194838,0.0,0.0,-0.5579249663387091
102016,1,4147,0.026573363427795794,0.0,0.0,-0.8287581668825079
102016,2,2887,0.016759914910271633,0.01666666666666672,0.0,-0.21978022357842297
102016,2,8462,0.023240395142797448,0.0,0.0,-0.12790695803217889
102016,2,3029,0.026918355306995698,0.0,0.0,0.15526866333692912
102016,2,8390,0.027609560979626774,0.0,0.0,-0.33198922899724814
102016,2,3008,0.027882884591798354,0.0,0.0,-0.27051670085480317
102016,2,1584,0.027963167116679212,0.0,0.0,-0.35055388529740117
102016,2,1773,0.02824529575076027,0.0,0.0,-0.3784530261733998
102016,2,2308,0.02976854762511303,0.0,0.0,-0.24697980512903384
102016,3,2542,0.011479160287535076,0.0,0.0,-0.03355015718883669
102016,3,4942,0.018703269916842305,0.0,0.0,-0.059494357202881876
102016,3,8942,0.018936530525022793,0.0,0.0,-0.11169510642600966
102016,3,3023,0.01973837914572733,0.0,0.0,-0.012565512331378814
102016,3,6147,0.019741537760142105,0.0,0.0,-0.23940149107376674
102016,3,3546,0.021491850609761127,0.0,0.0,-0.1292691809587324
102016,3,6213,0.023504634048204128,0.0,0.0,-0.0724637560077287
102016,3,3019,0.02464427208532979,0.0,0.0,-0.1534883696157009
