seed,peak_pos,trough_pos,深度,peak_pos_交件,trough_pos_交件,深度_交件,own_dd,peak_date,trough_date
102091,839,934,-0.3964510684572422,839,934,-0.3964510684572422,-0.3964510684572422,2018-06-12,2018-10-26
102092,1711,1907,-0.3406790207362804,1711,1907,-0.3406790207362804,-0.3406790207362804,2021-12-30,2022-10-21
102093,1235,1270,-0.40064368321576593,1235,1270,-0.40064368321576593,-0.40064368321576593,2020-01-20,2020-03-19
102094,641,923,-0.37361097449901004,641,923,-0.37361097449901004,-0.37361097449901004,2017-08-21,2018-10-11
102095,2321,2498,-0.3778241999561409,2321,2498,-0.3778241999561409,-0.3778241999561409,2024-07-10,2025-04-09
102096,839,923,-0.3586889745796632,839,923,-0.3586889745796632,-0.3586889745796632,2018-06-12,2018-10-11
102097,839,936,-0.408183364188237,839,936,-0.408183364188237,-0.408183364188237,2018-06-12,2018-10-30
102098,1609,2498,-0.4524993395175254,1609,2498,-0.4524993395175254,-0.4524993395175254,2021-08-05,2025-04-09
102099,2326,2498,-0.46600307459682955,2326,2498,-0.46600307459682955,-0.46600307459682955,2024-07-17,2025-04-09
102100,839,923,-0.4213395033730487,839,923,-0.4213395033730487,-0.4213395033730487,2018-06-12,2018-10-11
102101,2326,2498,-0.45681890322312413,2326,2498,-0.45681890322312413,-0.45681890322312413,2024-07-17,2025-04-09
102102,1235,1270,-0.38416415714583263,1235,1270,-0.38416415714583263,-0.38416415714583263,2020-01-20,2020-03-19
102103,1235,1270,-0.34408707415095685,1235,1270,-0.34408707415095685,-0.34408707415095685,2020-01-20,2020-03-19
102104,2071,2498,-0.4691957785891241,2071,2498,-0.4691957785891241,-0.4691957785891241,2023-07-03,2025-04-09
102105,839,936,-0.42120719453940836,839,936,-0.42120719453940836,-0.42120719453940836,2018-06-12,2018-10-30
102106,2318,2498,-0.45647564048155254,2318,2498,-0.45647564048155254,-0.45647564048155254,2024-07-05,2025-04-09
102107,2326,2498,-0.48042052447502137,2326,2498,-0.48042052447502137,-0.48042052447502137,2024-07-17,2025-04-09
102108,1532,1910,-0.3762981180312778,1532,1910,-0.3762981180312778,-0.3762981180312778,2021-04-16,2022-10-26
102109,839,936,-0.42440809876452823,839,936,-0.42440809876452823,-0.42440809876452823,2018-06-12,2018-10-30
102110,860,1270,-0.44794154508804584,860,1270,-0.44794154508804584,-0.44794154508804584,2018-07-12,2020-03-19
102111,2326,2498,-0.4508243748385997,2326,2498,-0.4508243748385997,-0.4508243748385997,2024-07-17,2025-04-09
102112,1710,1901,-0.32856067188661264,1710,1901,-0.32856067188661264,-0.32856067188661264,2021-12-29,2022-10-13
102113,839,934,-0.3733439386216628,839,934,-0.3733439386216628,-0.3733439386216628,2018-06-12,2018-10-26
102114,1710,2498,-0.47586785823804145,1710,2498,-0.47586785823804145,-0.47586785823804145,2021-12-29,2025-04-09
102115,839,935,-0.4098711400954833,839,935,-0.4098711400954833,-0.4098711400954833,2018-06-12,2018-10-29
102116,1223,1270,-0.3778020965898754,1223,1270,-0.3778020965898754,-0.3778020965898754,2020-01-02,2020-03-19
102117,2320,2498,-0.3940305381194429,2320,2498,-0.3940305381194429,-0.3940305381194429,2024-07-09,2025-04-09
102118,2326,2498,-0.39863614003358894,2326,2498,-0.39863614003358894,-0.39863614003358894,2024-07-17,2025-04-09
102119,2326,2498,-0.4084590271890466,2326,2498,-0.4084590271890466,-0.4084590271890466,2024-07-17,2025-04-09
102120,861,934,-0.3786457986936662,861,934,-0.3786457986936662,-0.3786457986936662,2018-07-13,2018-10-26
102121,836,1270,-0.3950551042446434,836,1270,-0.3950551042446434,-0.3950551042446434,2018-06-07,2020-03-19
102122,836,936,-0.41623292200004813,836,936,-0.41623292200004813,-0.41623292200004813,2018-06-07,2018-10-30
102123,1868,2498,-0.5287736840759131,1868,2498,-0.5287736840759131,-0.5287736840759131,2022-08-25,2025-04-09
102124,860,935,-0.36941780103197486,860,935,-0.36941780103197486,-0.36941780103197486,2018-07-12,2018-10-29
102125,1235,1270,-0.3973075404948889,1235,1270,-0.3973075404948889,-0.3973075404948889,2020-01-20,2020-03-19
102126,1235,1270,-0.411321591689365,1235,1270,-0.411321591689365,-0.411321591689365,2020-01-20,2020-03-19
102127,2318,2498,-0.3702579385888497,2318,2498,-0.3702579385888497,-0.3702579385888497,2024-07-05,2025-04-09
102128,2073,2498,-0.3670010784789277,2073,2498,-0.3670010784789277,-0.3670010784789277,2023-07-05,2025-04-09
102129,860,935,-0.40756265181846574,860,935,-0.40756265181846574,-0.40756265181846574,2018-07-12,2018-10-29
102130,839,936,-0.4575745879094727,839,936,-0.4575745879094727,-0.4575745879094727,2018-06-12,2018-10-30
102131,1747,2498,-0.3754769012781425,1747,2498,-0.3754769012781425,-0.3754769012781425,2022-03-03,2025-04-09
102132,838,936,-0.4035017286457482,838,936,-0.4035017286457482,-0.4035017286457482,2018-06-11,2018-10-30
102133,839,936,-0.41157219129365585,839,936,-0.41157219129365585,-0.41157219129365585,2018-06-12,2018-10-30
