key,date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2008-04-23_2546,2008-04-23,2546,根基,twse,19.30,19.30,18.20,18.35,1692000,31514700,-0.95,,,605,,
2008-04-23_2547,2008-04-23,2547,日勝生,twse,44.80,45.35,43.00,45.00,5116488,226856710,0.1,,,2187,,
2008-04-23_2548,2008-04-23,2548,華固,twse,122.00,123.50,117.50,120.00,5381742,643879040,-5.5,,,2328,,
2008-04-23_2601,2008-04-23,2601,益航,twse,84.80,84.90,83.00,83.50,5273522,442428570,0.5,,,2147,,
2008-04-23_2603,2008-04-23,2603,長榮,twse,30.15,30.45,30.00,30.00,14916447,450853310,0.15,,,3888,,
2008-04-23_2605,2008-04-23,2605,新興,twse,63.50,63.70,62.90,63.00,3305447,208915961,0.2,,,1359,,
2008-04-23_2606,2008-04-23,2606,裕民,twse,99.50,99.70,98.10,98.10,5991545,592147055,0.1,,,2828,,
2008-04-23_2607,2008-04-23,2607,榮運,twse,31.60,33.00,31.45,32.45,27873343,899022561,1.05,,,8330,,
2008-04-23_2608,2008-04-23,2608,嘉里大榮,twse,19.85,20.20,19.60,19.80,5146046,102647054,0.0,,,1611,,
2008-04-23_2609,2008-04-23,2609,陽明,twse,23.65,24.00,23.55,23.60,15269757,363038299,-0.1,,,4271,,
2008-04-23_2610,2008-04-23,2610,華航,twse,16.80,16.90,16.65,16.85,32252191,540765500,-0.1,,,4665,,
2008-04-23_2611,2008-04-23,2611,志信,twse,25.00,25.15,24.65,24.80,690936,17191124,0.1,,,241,,
2008-04-23_2612,2008-04-23,2612,中航,twse,110.50,114.50,109.50,112.00,1895793,212008917,3.0,,,896,,
2008-04-23_2613,2008-04-23,2613,中櫃,twse,29.70,31.00,28.90,30.10,5822024,176154972,0.4,,,2206,,
2008-04-23_2614,2008-04-23,2614,東森,twse,11.30,11.45,11.25,11.25,15503736,175650113,0.0,,,2375,,
2008-04-23_2615,2008-04-23,2615,萬海,twse,27.95,28.15,27.80,28.00,10578409,296453952,0.35,,,3815,,
2008-04-23_2616,2008-04-23,2616,山隆,twse,18.00,18.05,17.70,18.00,416511,7441243,-0.05,,,154,,
2008-04-23_2617,2008-04-23,2617,台航,twse,59.50,60.30,59.00,59.00,1743072,103910248,0.1,,,1008,,
2008-04-23_2618,2008-04-23,2618,長榮航,twse,18.25,18.30,18.00,18.05,37775093,684713535,-0.25,,,7562,,
2008-04-23_2701,2008-04-23,2701,萬企,twse,20.10,20.15,19.90,20.00,336859,6732890,-0.15,,,174,,
2008-04-23_2702,2008-04-23,2702,華園,twse,40.50,40.50,39.60,39.60,204076,8127974,-0.4,,,111,,
