fake_i,seed_f,n_selected,sig_rows,A,D,ratio_cell,ratio_seedmed,eq_sha_200
108,103108,3139,3139,0.013237587981869692,-0.4275256415651336,0.030963260901517044,0.03472770589018151,d7b972815dce1134
109,103109,3139,3139,0.056624437968459174,-0.40334287899956456,0.14038784596596363,0.13713663006270915,49ee3029002c610e
110,103110,3139,3139,0.04902700064452137,-0.3978242605680626,0.12323783515493641,0.12902924819649858,c371822dc255511d
111,103111,3139,3139,0.03833914101926139,-0.4205369753892305,0.09116711077254591,0.09371565917528168,c1ea6e8666216394
112,103112,3139,3139,0.032849433821499296,-0.4602888154155341,0.07136700419679733,0.07507307552783599,f2d3fcf966a55ebe
113,103113,3139,3139,0.06885499490589853,-0.4077501235289743,0.168865662896619,0.1710153939394885,3cab8b0e01cd180d
114,103114,3139,3138,0.06345624667184024,-0.43198808076812845,0.14689351280018456,0.1458237648581458,f7e2aa0bd6b70ac0
115,103115,3139,3138,0.019831415646038297,-0.4248019477094804,0.04668390941465478,0.045004374192364444,1c015ff6907beaae
116,103116,3139,3139,0.030959485781094864,-0.4384200477442586,0.07061603578665342,0.0671899218513744,5718bf17c8d3eb5c
117,103117,3139,3139,0.009595931095158772,-0.42877771631838124,0.02237973367075234,0.02128739393966074,097494bbdc2051cb
118,103118,3139,3139,0.0446017820525445,-0.42055967445812004,0.10605339684555519,0.10730742758894321,9d38b452c10aaca0
119,103119,3139,3139,0.049643870338448526,-0.4421197181486525,0.1122860354347664,0.11076306827808521,eb1825ef48102fff
120,103120,3139,3138,0.05909033558035082,-0.3944674024470327,0.14979776583259044,0.15088156723772295,306efe269b730b4c
121,103121,3139,3139,0.034218739441982726,-0.3974111197730057,0.08610413181575763,0.08293220748468422,b18b9802b0c6683d
122,103122,3139,3139,0.06249582813151233,-0.40284988457344695,0.15513428332661763,0.150472548954741,0f0d74e67a71f970
123,103123,3139,3139,0.04003663807027935,-0.43011841303309495,0.09308282755892801,0.09499838436297,cc8e3411f30e494b
124,103124,3139,3139,0.0689591772155822,-0.4209720715784848,0.1638093875373052,0.16087342004658295,a6a8a262f8434e3a
125,103125,3139,3139,0.134656551395815,-0.37034067547704475,0.3636018409869795,0.3621745184818493,e9915a89868d97e9
126,103126,3139,3138,0.045242390202276606,-0.390425852818702,0.11587959628094952,0.11238424970602032,f697a5464a0bd877
127,103127,3139,3139,0.07225021724859726,-0.42724256189266496,0.1691081921439009,0.16742465339602766,960d375e15d0882b
128,103128,3139,3138,0.041789244918277624,-0.43190572902534774,0.09675547720235286,0.09796521920431864,587867455990c901
129,103129,3139,3139,0.0755572103480533,-0.40163254767150364,0.18812521740606478,0.18476795870792542,0c9213598afd916c
130,103130,3139,3138,0.06854803623936367,-0.4094381821745464,0.16741974545534974,0.1697388643436219,3efbe40e759e64d3
131,103131,3139,3139,0.05854796066252421,-0.40891322520960915,0.14317942549427815,0.13568318671763785,9d3238fda841ab48
132,103132,3139,3139,0.0748406302212532,-0.41862158159447727,0.17877871928196964,0.17121616805657466,5ad1df775a4000e4
133,103133,3139,3139,0.03693372403999151,-0.4224918408792967,0.08741878650987546,0.08315405963797953,7a603124ea09da44
134,103134,3139,3138,0.04270690932960419,-0.45635570069632225,0.09358250431503455,0.09368383566120456,5f99fa6bca31535f
135,103135,3139,3139,0.0405604835130301,-0.42055030909860447,0.09644621020482967,0.099509608782989,3e487226349e9167
136,103136,3139,3137,0.05726579047728109,-0.4059773801008464,0.14105660385082547,0.14271532380741903,266178b6823e9381
137,103137,3139,3139,0.04334266393973929,-0.41760504409394705,0.1037886504311204,0.11308073187680329,80949bdaf711f878
138,103138,3139,3137,0.04325497322424432,-0.42327445696776633,0.10219131467112914,0.1100557089715434,f73635d5dbdf566b
