fake_i,seed_f,cell,seed,cagr,mdd,tr,expo,vol,trades,eq_sha,n_selected,sig_rows
0,103000,FAKE000,102105,0.03965650342471072,-0.4105892341031415,0.2558171458569982,0.9183576550103344,0.21036376853821873,96,49d63f540eae3443,3139,3139
0,103000,FAKE000,102106,0.004284853172757064,-0.4076240966159912,0.025359601486512506,0.9184668989547038,0.23785139262128951,96,76f14f583c24c470,3139,3139
0,103000,FAKE000,102107,0.1719725187422716,-0.447541064231477,1.5331401706473895,0.917225222319954,0.26357009281444377,96,ac76755bcb87d12e,3139,3139
0,103000,FAKE000,102108,0.1718156012734009,-0.4298320028798293,1.531154269217729,0.9184668989547038,0.2436234112842172,96,f8d85a428e35348f,3139,3139
0,103000,FAKE000,102109,0.09784529655189078,-0.46080850254511674,0.7276480778748229,0.9184668989547038,0.24867556486016382,96,dcf6bb30a59960f6,3139,3139
0,103000,FAKE000,102110,-0.00018597227200267685,-0.38741004483431735,-0.0010887743184667675,0.9184668989547038,0.20997513587968025,96,1457af84dca8aa56,3139,3139
0,103000,FAKE000,102111,0.0564410757265108,-0.39376954377577034,0.3793205422108479,0.9184668989547038,0.21524657123585778,96,ce8e427f303fd332,3139,3139
0,103000,FAKE000,102112,0.05113722580074387,-0.4742867887873387,0.33925198405288737,0.9184668989547038,0.24594990063900649,96,4c9723253283095e,3139,3139
0,103000,FAKE000,102113,0.07691049291830643,-0.5598291614963621,0.5434073508293464,0.9184668989547038,0.24685048387978914,96,3a7955b53157b4d9,3139,3139
0,103000,FAKE000,102114,-0.02279484586959124,-0.47019986670306313,-0.12633467178712532,0.9184668989547038,0.2246746651610966,96,433b5076cac38201,3139,3139
0,103000,FAKE000,102115,0.0608050321795619,-0.4202755390864001,0.41302941617439193,0.9175086304101245,0.2528523662593119,96,c2117a452e8c856f,3139,3139
0,103000,FAKE000,102116,-0.019060116699409435,-0.5010216528848164,-0.10659516353184695,0.9184668989547038,0.2218167824883425,96,77710845ec84e615,3139,3139
0,103000,FAKE000,102117,-5.290720146100547e-06,-0.4860214430164097,-3.098810554780229e-05,0.9184668989547038,0.2312526241539392,96,f5c28f029caca3bb,3139,3139
0,103000,FAKE000,102118,-0.018030566900204992,-0.43172483050812477,-0.10108903753333232,0.9184668989547038,0.2196194846762297,96,c54f1af386b8edc3,3139,3139
0,103000,FAKE000,102119,0.01226823799082255,-0.4447952906578552,0.07403181270700387,0.9184668989547038,0.21748341892391143,96,f48c5ee285172394,3139,3139
0,103000,FAKE000,102120,0.12195932326567438,-0.41416297936131163,0.962108790714981,0.918270385753092,0.22857396715351833,96,2ebb9db8beefb4a7,3139,3139
0,103000,FAKE000,102121,-0.018347914339118643,-0.41833208883075956,-0.10278923229177772,0.9184668989547038,0.21581437636066925,96,97ecefe282907920,3139,3139
0,103000,FAKE000,102122,0.04247995217632217,-0.3714574678020783,0.2759250661300898,0.9184668989547038,0.2249369706773343,96,0511398cb9927451,3139,3139
0,103000,FAKE000,102123,0.10171930330265022,-0.421425455570915,0.7636630484743159,0.9184668989547038,0.23034009408140863,96,255819308a3445e5,3139,3139
0,103000,FAKE000,102124,0.10696794240068708,-0.45109559252028797,0.8134486291730869,0.9183155774746299,0.231769135086466,96,f083435f9f931f5a,3139,3139
0,103000,FAKE000,102125,0.09272434661008888,-0.5077480120624203,0.6809786603856327,0.9184668989547038,0.2508290124227911,96,e50659cdcd2668dd,3139,3139
0,103000,FAKE000,102126,0.1461854687528199,-0.43517169947245754,1.2236396212417695,0.9174574365687604,0.22874042971858863,96,9511d4ad79bd35f9,3139,3139
0,103000,FAKE000,102127,0.043697973358856945,-0.3753941738276031,0.2846815657779509,0.9184668989547038,0.2182127125624469,96,dfd8a0d57be07ed7,3139,3139
0,103000,FAKE000,102128,0.0261193325682052,-0.3933593010769354,0.16302091342457437,0.9177332565967398,0.22639630461372245,96,424e231c3bef599d,3139,3139
0,103000,FAKE000,102129,0.07653804024429345,-0.43857079909627134,0.5402834797547176,0.9182240869066208,0.236927700417053,96,a2ec8637f4115902,3139,3139
0,103000,FAKE000,102130,-0.0815242633356803,-0.4755087545382927,-0.392309883684714,0.9182115697644919,0.20055346581737057,96,f6d62218a529b5cb,3139,3139
0,103000,FAKE000,102131,0.12677037892335807,-0.3694600470855558,1.0119049952555268,0.9177801275117252,0.23725250634171594,96,1bf69cb6500ca086,3139,3139
0,103000,FAKE000,102132,0.011329340921945041,-0.45358241355930035,0.06821014875508546,0.9182871536920653,0.23679093015122904,96,dba88b391dc5bb07,3139,3139
0,103000,FAKE000,102133,0.0990496643044183,-0.5136900161377714,0.73877861734655,0.917210150992993,0.23414032495632614,96,6d5148bb6d2e74ea,3139,3139
0,103000,FAKE000,102134,0.04480559291155051,-0.4542764336166204,0.2926875822378838,0.9184286330075195,0.22162305291499268,96,b78c4f55d85a1dbb,3139,3139
0,103000,FAKE000,102135,0.014857408566892438,-0.39670079495577965,0.09022253577161954,0.9184668989547038,0.2267838101811318,96,8e3dbf06041f82d3,3139,3139
0,103000,FAKE000,102136,0.09222102861966075,-0.4034617017888254,0.6764487036241789,0.9184668989547038,0.23580200195264928,96,2ffb36af4c57ccc6,3139,3139
0,103000,FAKE000,102137,0.024961409795826173,-0.4237182454439038,0.15535498128134528,0.9184668989547038,0.2113656229174613,96,7a000c5df2bec213,3139,3139
