讀法,鍵,選項,是否◇,型態,買法,事件數,區段數,買到比例,同日比例_全部,同日比例_買到中,狀態,該讀法下可判定格數
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,B,5057,38,0.6555269922879178,0.3535693098675104,0.539366515837104,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,C,5057,38,0.5900731659086415,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,D,5057,38,0.7417441170654538,0.7417441170654538,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,E,5057,38,0.1184496737195966,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,W 底,F,5057,38,0.06446509788412103,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,A,3075,38,0.9830894308943089,0.9830894308943089,1.0,基準（不判）,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,B,3075,38,0.5928455284552846,0.3099186991869919,0.5227646736149204,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,C,3075,38,0.6133333333333333,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,D,3075,38,0.6214634146341463,0.6214634146341463,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,E,3075,38,0.15252032520325204,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,頭肩底,F,3075,38,0.05723577235772358,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,箱型,A,10704,38,0.9952354260089686,0.9952354260089686,1.0,基準（不判）,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,箱型,B,10704,38,0.8505231689088192,0.7285127055306427,0.8565465729349736,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,箱型,D,10704,38,0.22851270553064276,0.22851270553064276,1.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,箱型,E,10704,38,0.16068759342301944,0.0,0.0,可判定,14
Q3 A 的 T＋1 停牌或開盤漲停,a_untrd,zero,False,箱型,F,10704,38,0.020366218236173392,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,A,4897,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,B,4897,38,0.6716356953236675,0.36593832958954464,0.5448464578899361,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,C,4897,38,0.5885235858688993,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,D,4897,38,0.7670002042066572,0.7670002042066572,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,E,4897,38,0.1206861343679804,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,W 底,F,4897,38,0.0649377169695732,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,A,3023,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,B,3023,38,0.600396956665564,0.31524975190208404,0.525068870523416,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,C,3023,38,0.6146212371816077,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,D,3023,38,0.6321534899106848,0.6321534899106848,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,E,3023,38,0.15415150512735692,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,頭肩底,F,3023,38,0.057227919285478004,0.0,0.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,箱型,A,10653,38,1.0,1.0,1.0,基準（不判）,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,箱型,B,10653,38,0.8545010795081198,0.7320003754810851,0.8566406679116775,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,箱型,D,10653,38,0.2296066835633155,0.2296066835633155,1.0,可判定,14
Q4 過濾臂的進場日（條件成立日的次日開盤）停牌或開盤漲停,untrd,zero,True,箱型,E,10653,38,0.16136299633905943,0.0,0.0,可判定,14
