stock_id,name,period,market,報表日期,出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
3481,群創,2026-08,twse,1150912,1150912,11508,3481,群創,光電業,18696603,18890249,18692317,-1.0251108918680745,0.022929206689571976,167931047,150120795,11.863947296575402,-
3494,誠研,2026-08,twse,1150912,1150912,11508,3494,誠研,電腦及週邊設備業,101544,97141,89229,4.532586652391884,13.801566755202906,698599,644957,8.31714362352839,-
3501,維熹,2026-08,twse,1150912,1150912,11508,3501,維熹,電子零組件業,444657,506773,450335,-12.257164450355484,-1.260839153074933,3571824,3823656,-6.586157332144942,-
3504,揚明光,2026-08,twse,1150912,1150912,11508,3504,揚明光,光電業,242727,266608,206876,-8.957345616035528,17.3297047506719,1932567,1773260,8.983848956159841,-
3515,華擎,2026-08,twse,1150912,1150912,11508,3515,華擎,電腦及週邊設備業,3819304,6610427,3696561,-42.22303642412207,3.3204646156251716,33897545,29002706,16.877180356894975,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異"
3518,柏騰,2026-08,twse,1150912,1150912,11508,3518,柏騰,其他電子業,22709,23271,27990,-2.415022989987538,-18.86745266166488,160425,214072,-25.060260099405806,-
3528,安馳,2026-08,twse,1150912,1150912,11508,3528,安馳,電子通路業,1204326,1207978,841397,-0.30232338668419456,43.13409722164448,9114908,5208824,74.9897481658048,AI伺服器應用帶動測試相關需求增加，週邊電源應用及工控需求上升。
3530,晶相光,2026-08,twse,1150912,1150912,11508,3530,晶相光,半導體業,178015,172444,156091,3.230613996427826,14.045652856346619,1490783,1091454,36.58688318518234,-
3532,台勝科,2026-08,twse,1150912,1150912,11508,3532,台勝科,半導體業,1331863,1303041,1030234,2.2119027720539877,29.27771748942473,9553809,8019220,19.136387329441018,-
3533,嘉澤,2026-08,twse,1150912,1150912,11508,3533,嘉澤,電子零組件業,3198344,3368915,2674635,-5.063084108681875,19.58057828451359,25478513,21646111,17.70480618897316,-
3535,晶彩科,2026-08,twse,1150912,1150912,11508,3535,晶彩科,光電業,27767,52322,19989,-46.930545468445395,38.91140127069888,608820,128461,373.93372307548594,本公司以銷售機台為主，115年累計出售機台較去年同期增加，此為產業特性，尚屬正常。
3543,州巧,2026-08,twse,1150912,1150912,11508,3543,州巧,光電業,274723,291108,228939,-5.628495266361625,19.998340169215382,2229292,2204537,1.122911522918418,-
3545,敦泰,2026-08,twse,1150912,1150912,11508,3545,敦泰,半導體業,913037,910914,995325,0.23306261622941354,-8.267450330294125,7052510,8101964,-12.953081499745,-
3550,聯穎,2026-08,twse,1150912,1150912,11508,3550,聯穎,電子零組件業,372842,412542,278938,-9.623262601141217,33.664828743304966,3003336,2318777,29.522416342753097,-
3557,嘉威,2026-08,twse,1150912,1150912,11508,3557,嘉威,居家生活,261352,210515,221675,24.148873001923853,17.898725611819106,2867168,3145598,-8.851417123230622,-
3563,牧德,2026-08,twse,1150912,1150912,11508,3563,牧德,光電業,361158,359659,266188,0.4167836756483224,35.677791635986594,2631861,2300717,14.39307833166791,-
3576,聯合再生,2026-08,twse,1150912,1150912,11508,3576,聯合再生,光電業,244757,307968,281434,-20.525184434746468,-13.032185165971418,1830840,2143414,-14.582997031837992,-
3583,辛耘,2026-08,twse,1150912,1150912,11508,3583,辛耘,半導體業,1068346,973288,904939,9.766687763539672,18.057239217229007,8156998,7544441,8.119315930762797,-
3588,通嘉,2026-08,twse,1150912,1150912,11508,3588,通嘉,半導體業,156044,153552,111650,1.6229029905178702,39.76175548589342,1141038,903335,26.313936690153707,-
3591,艾笛森,2026-08,twse,1150912,1150912,11508,3591,艾笛森,光電業,271207,269503,188165,0.632274965399272,44.13254324661866,1812643,1584870,14.371715030254848,-
3592,瑞鼎,2026-08,twse,1150912,1150912,11508,3592,瑞鼎,半導體業,2213089,2100048,1801520,5.382781726893861,22.845652560060394,16571593,15320260,8.167831355342534,-
3593,力銘,2026-08,twse,1150912,1150912,11508,3593,力銘,電子零組件業,52454,60838,74724,-13.780860646306584,-29.803008404261014,442713,801958,-44.79598682225254,-
3596,智易,2026-08,twse,1150912,1150912,11508,3596,智易,通信網路業,4731510,4846705,4641818,-2.376769372181719,1.9322601618589959,36244643,35305669,2.659555891718126,-
3605,宏致,2026-08,twse,1150912,1150912,11508,3605,宏致,電子零組件業,1097137,1154175,935790,-4.941884896137934,17.241795702027165,8423202,7189235,17.164093258879422,-
3607,谷崧,2026-08,twse,1150912,1150912,11508,3607,谷崧,電子零組件業,292945,251098,236171,16.66560466431433,24.039361310237073,1967092,1924669,2.204171210738054,-
3617,碩天,2026-08,twse,1150912,1150912,11508,3617,碩天,其他電子業,1255008,1247424,1107623,0.6079729105741112,13.30642285326325,8773128,7964647,10.150870465445612,-
3622,洋華,2026-08,twse,1150912,1150912,11508,3622,洋華,光電業,102989,143912,160804,-28.436127633553838,-35.95370761921345,1032035,1124110,-8.190924375728354,-
3645,達邁,2026-08,twse,1150912,1150912,11508,3645,達邁,電子零組件業,184726,140604,207467,31.380330573810134,-10.96126130902746,1570029,1613201,-2.676169925508353,-
3652,精聯,2026-08,twse,1150912,1150912,11508,3652,精聯,電腦及週邊設備業,254750,253924,196006,0.3252941825113026,29.970511106802853,1890330,1602930,17.929666298590707,-
3653,健策,2026-08,twse,1150912,1150912,11508,3653,健策,電子零組件業,3225888,3213171,1689803,0.39577725555222554,90.90319995881177,19018791,13306153,42.93230357414348,因客戶端需求成長，致本月較去年同期增加百分比達50%以上。
3661,世芯-KY,2026-08,twse,1150912,1150912,11508,3661,世芯-KY,半導體業,8776286,7433152,2349049,18.069508063335714,273.61017160561573,27894843,24558910,13.583391933925407,本月營收較去年同期增加，係因量產產品增加所致。
3665,貿聯-KY,2026-08,twse,1150912,1150912,11508,3665,貿聯-KY,其他電子業,8891805,9630165,5774218,-7.667158350869378,53.99150153319462,62632523,44735332,40.00683620722877,高效能運算和半導體客戶出貨量持續強勁
3669,圓展,2026-08,twse,1150912,1150912,11508,3669,圓展,通信網路業,179620,230577,233181,-22.099775779891317,-22.969710225104105,1812423,1675843,8.149928125725381,-
3673,TPK-KY,2026-08,twse,1150912,1150912,11508,3673,TPK-KY,光電業,6364138,6394077,5479899,-0.46823020742477767,16.136045573102717,49883020,43278862,15.259546334651775,-
3679,新至陞,2026-08,twse,1150912,1150912,11508,3679,新至陞,電子零組件業,441444,420332,344395,5.022696344794115,28.179561259600167,2943193,3028725,-2.824026611858125,-
3686,達能,2026-08,twse,1150912,1150912,11508,3686,達能,半導體業,9407,7950,7004,18.32704402515723,34.30896630496859,62236,54688,13.801930953774137,-
3694,海華,2026-08,twse,1150912,1150912,11508,3694,海華,通信網路業,1140464,842256,1162152,35.40586235063923,-1.866193062525384,7890995,7696918,2.5214897703210557,-
3701,大眾控,2026-08,twse,1150912,1150912,11508,3701,大眾控,電腦及週邊設備業,820257,883895,770507,-7.199723949111602,6.456787543786104,5748278,6979254,-17.637644367148695,-
3702,大聯大,2026-08,twse,1150912,1150912,11508,3702,大聯大,電子通路業,142237739,146095597,78819858,-2.640639471153946,80.45926827221638,1063111989,654662435,62.39086469044157,全球科技與能源設施擴建帶動半導體及電子零組件動能，車用、工控需求穩步推進，智能倉儲管理與資訊系統整合服務需求同步擴增。
3703,欣陸,2026-08,twse,1150912,1150912,11508,3703,欣陸,建材營造,2453561,2336895,2128477,4.99235096142531,15.273080235304398,18576491,19845089,-6.392503455136936,-
3704,合勤控,2026-08,twse,1150912,1150912,11508,3704,合勤控,通信網路業,2615664,1916606,2041763,36.47374577769244,28.10811049078664,19593759,17435432,12.378970592756176,-
3705,永信,2026-08,twse,1150912,1150912,11508,3705,永信,生技醫療業,632910,719465,605107,-12.030467083179863,4.594724569373681,5122921,5610124,-8.684353500920835,-
3706,神達,2026-08,twse,1150912,1150912,11508,3706,神達,電腦及週邊設備業,13557215,12833645,6165360,5.638070867629579,119.89332334202707,99209054,65025751,52.56887075398791,營收增長主要是因為超大規模雲端資料中心及雲端服務客戶需求維持強勁。加上智慧物聯及車載資通訊出貨維持穩健。
3708,上緯投控,2026-08,twse,1150912,1150912,11508,3708,上緯投控,綠能環保,124554,133276,19628,-6.544314055043669,534.5730588954555,845772,686243,23.246721642333693,循環經濟材料及先進材料需求增加
3711,日月光投控,2026-08,twse,1150912,1150912,11508,3711,日月光投控,半導體業,82247374,73783701,56465628,11.470924994667861,45.65918579706578,520756749,406911246,27.977969181023816,-
3712,永崴投控,2026-08,twse,1150912,1150912,11508,3712,永崴投控,電腦及週邊設備業,539558,3356888,1979093,-83.9268393821897,-72.73710735170101,13544987,19334250,-29.943044079806562,主要係因子公司承接工程案件依進度認列收入
