r,eq_sha,部位,dn_觸發,dn_成交,dn_到出場都成交不了,up_觸發,up_成交,up_到出場都成交不了,dn_現金不足_近似
190,1e87fab3b24af345b1f627652de5f7a35fa8d7a976bb84f529061cb0df3c6bce,138,76,76,0,79,79,0,63
191,69e019ee3d97624781f0625a60422ba3a2e5a9bf87a6e4cc1a85ab23abe5a62b,138,81,81,0,80,80,0,71
192,576668c219725796e78adb4d7853972d6db7273d80bc6a9c7d361e37591a4643,138,79,79,0,80,80,0,72
193,cf62bf66fcf5e0b133e9467a9566b2316670023f8d0e7262f727a7cf5b1b9549,138,84,84,0,73,73,0,69
194,72d43680c56eaf028777d0a90ba32591aa54a30b2edbdbcbe539a3548ba181c8,138,75,75,0,78,78,0,55
195,18d679830f4d904abfbf58bdea0f0a7624b94ecf54654aafbabf50d77a3c6639,138,92,92,0,77,77,0,80
196,3b520c1d601d2c3ad80177a4597b3003664917d132857d330f3fbc347d128d45,138,85,85,0,80,80,0,69
197,d9f893d3c7a2ebb61d44e907917b150093f749262dfc883f8cf005b616d5fa35,138,86,86,0,67,67,0,67
198,d181f94c248ced329723cd89a0b77bf4727e81d56e886f2a52a3676043a894e4,138,82,82,0,73,73,0,66
199,557d4b6b73c66afdddffb19ab5fb49630702a4c5f5dd0fdc09cbfbe62a690de9,138,81,81,0,76,76,0,64
