date,stocks_traded,all_traded,collapse
2016-10-25,1578,1660,False
2016-10-26,1584,1661,False
2016-10-27,1573,1652,False
2016-10-28,1576,1653,False
2016-10-31,1569,1651,False
2016-11-01,1577,1658,False
2016-11-02,1576,1654,False
2016-11-03,1582,1663,False
2016-11-04,1572,1650,False
2016-11-07,1585,1665,False
2016-11-08,1588,1670,False
2016-11-09,1594,1673,False
2016-11-10,1589,1671,False
2016-11-11,1578,1659,False
2016-11-14,1580,1659,False
2016-11-15,1586,1668,False
2016-11-16,1584,1661,False
2016-11-17,1584,1667,False
2016-11-18,1589,1669,False
2016-11-21,1581,1657,False
2016-11-22,1587,1667,False
2016-11-23,1589,1668,False
2016-11-24,1591,1666,False
2016-11-25,1589,1665,False
2016-11-28,1595,1675,False
2016-11-29,1581,1659,False
2016-11-30,1597,1673,False
2016-12-01,1586,1663,False
2016-12-02,1580,1659,False
2016-12-05,1582,1661,False
2016-12-06,1592,1673,False
2016-12-07,1586,1665,False
2016-12-08,1595,1677,False
2016-12-09,1589,1667,False
2016-12-12,1589,1670,False
2016-12-13,1592,1672,False
2016-12-14,1591,1672,False
2016-12-15,1591,1666,False
2016-12-16,1600,1676,False
2016-12-19,1589,1667,False
2016-12-20,1594,1669,False
2016-12-21,1596,1670,False
2016-12-22,1588,1667,False
2016-12-23,1598,1675,False
2016-12-26,1584,1660,False
2016-12-27,1592,1670,False
2016-12-28,1594,1668,False
2016-12-29,1590,1666,False
2016-12-30,1597,1674,False
2017-01-03,1598,1678,False
2017-01-04,1594,1676,False
2017-01-05,1600,1679,False
2017-01-06,1601,1680,False
2017-01-09,1597,1675,False
2017-01-10,1596,1677,False
2017-01-11,1600,1678,False
2017-01-12,1606,1684,False
2017-01-13,1588,1667,False
2017-01-16,1585,1661,False
2017-01-17,1593,1676,False
2017-01-18,1610,1696,False
2017-01-19,1599,1685,False
2017-01-20,1602,1687,False
2017-01-23,1602,1688,False
2017-01-24,1607,1690,False
2017-02-02,1600,1682,False
2017-02-03,1607,1692,False
2017-02-06,1620,1706,False
2017-02-07,1607,1695,False
2017-02-08,1614,1698,False
2017-02-09,1621,1704,False
2017-02-10,1619,1706,False
2017-02-13,1614,1701,False
2017-02-14,1613,1699,False
2017-02-15,1618,1704,False
2017-02-16,1615,1702,False
2017-02-17,1617,1704,False
2017-02-18,1608,1689,False
2017-02-20,1618,1700,False
2017-02-21,1613,1701,False
2017-02-22,1618,1701,False
2017-02-23,1610,1696,False
2017-02-24,1611,1699,False
2017-03-01,1607,1696,False
2017-03-02,1610,1699,False
2017-03-03,1612,1702,False
2017-03-06,1610,1698,False
2017-03-07,1610,1699,False
2017-03-08,1615,1703,False
2017-03-09,1607,1695,False
2017-03-10,1610,1700,False
2017-03-13,1614,1704,False
2017-03-14,1612,1700,False
2017-03-15,1616,1702,False
