stock_id,roc_year,month,high,low,avg_price,transactions,amount,volume,turnover,asof,days,n_markets,avg_close_ours,avg_close_trunc_ours,high_ours,high_date_ours,low_ours,low_date_ours,volume_ours,amount_ours,tx_ours,avg_price_ours,status,high_ok,low_ok,avg_price_ok,volume_ok,amount_ok,transactions_ok,qty_note
1201,115,6,12.75,11.95,12.37,8034,134603857,10880229,2.14,20260909,21,1,12.39,12.39,12.75,2026-06-04,11.95,2026-06-01,10880229.0,134603857.0,8034.0,12.37,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,7,12.9,12.0,12.46,8062,143445003,11509531,2.27,20260909,22,1,12.48,12.47,12.9,2026-07-17,12.0,2026-07-28,11509531.0,143445003.0,8062.0,12.46,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1201,115,8,12.5,11.9,12.21,5511,82383929,6743356,1.33,20260909,21,1,12.22,12.22,12.5,2026-08-21,11.9,2026-08-06,6743356.0,82383929.0,5511.0,12.21,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,1,40.35,39.2,39.64,1553,13423858,338584,0.14,20260909,21,1,39.65,39.64,40.35,2026-01-27,39.2,2026-01-19,338584.0,13423858.0,1553.0,39.64,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,2,41.75,39.0,40.41,1447,14941913,369707,0.15,20260909,12,1,40.1,40.09,41.75,2026-02-23,39.0,2026-02-02,369707.0,14941913.0,1447.0,40.41,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,3,42.2,37.35,39.21,4347,27133591,691956,0.28,20260909,22,1,39.23,39.22,42.2,2026-03-02,37.35,2026-03-09,691956.0,27133591.0,4347.0,39.21,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,4,44.5,39.4,42.26,5180,34030885,805161,0.33,20260909,20,1,42.24,42.23,44.5,2026-04-22,39.4,2026-04-02,805161.0,34030885.0,5180.0,42.26,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,5,44.0,40.15,42.71,1684,24667728,577491,0.24,20260909,20,1,42.72,42.72,44.0,2026-05-29,40.15,2026-05-19,577491.0,24667728.0,1684.0,42.71,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,6,44.3,41.15,42.92,1489,17612499,410300,0.17,20260909,21,1,43.05,43.04,44.3,2026-06-17,41.15,2026-06-10,410300.0,17612499.0,1489.0,42.92,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,7,50.8,42.25,46.09,1987,44763543,971168,0.4,20260909,22,1,45.61,45.6,50.8,2026-07-30,42.25,2026-07-01,971168.0,44763543.0,1987.0,46.09,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1203,115,8,49.55,42.8,45.8,1382,20478617,447098,0.18,20260909,21,1,45.73,45.72,49.55,2026-08-03,42.8,2026-08-19,447098.0,20478617.0,1382.0,45.8,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,1,53.0,50.9,51.82,29173,1517801530,29285290,3.27,20260909,21,1,51.76,51.75,53.0,2026-01-27,50.9,2026-01-30,29285290.0,1517801530.0,29173.0,51.82,比對,1.0,1.0,1.0,1.0,1.0,1.0,
1210,115,2,52.0,50.4,51.07,19441,1074662816,21042593,2.35,20260909,12,1,51.04,51.04,52.0,2026-02-23,50.4,2026-02-02,21042593.0,1074662816.0,19441.0,51.07,比對,1.0,1.0,1.0,1.0,1.0,1.0,
